# capturedAtLocal=2026-09-24T14:23:33.8824019+02:00
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Craggy Cliffs.map
# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=5
# candidateId=0
# aivName=Default 1
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\emir1.aivjson
# aivJsonSha256=ffa393f8dfb7899742c7647645d3cd3fa582090c7770cf9d32d89c96d46bd658
# orientation=0
# originX=375
# originY=476
# keepX=418
# keepY=519
# evaluatedCells=2616
# nativeBlockedCells=783
# resultGridBlockedCells=699
# validatorCalls=2532
# validatorBlockedCells=699
gridRow	gridColumn	worldX	worldY	rawMapper	effectiveMapper	scoreGridValue	resultGridValue	blocked
17	46	421	493	110	110	139	0	False
17	47	422	493	110	110	139	0	False
17	48	423	493	110	110	139	0	False
18	46	421	494	110	110	139	0	False
18	47	422	494	110	110	139	0	False
18	48	423	494	110	110	139	0	False
19	46	421	495	110	110	139	0	False
19	47	422	495	110	110	139	0	False
19	48	423	495	110	110	139	0	False
20	46	421	496	26	26	190	0	False
20	47	422	496	25	25	138	0	False
20	48	423	496	26	26	191	0	False
21	46	421	497	26	26	190	0	False
21	47	422	497	25	25	138	0	False
21	48	423	497	26	26	191	0	False
22	46	421	498	26	26	190	0	False
22	47	422	498	25	25	138	0	False
22	48	423	498	26	26	191	0	False
23	46	421	499	26	26	190	0	False
23	47	422	499	25	25	138	0	False
23	48	423	499	26	26	191	0	False
24	16	391	500	110	110	101	0	False
24	17	392	500	110	110	101	0	False
24	18	393	500	110	110	101	0	False
24	46	421	500	26	26	190	0	False
24	47	422	500	25	25	138	0	False
24	48	423	500	26	26	191	0	False
25	16	391	501	110	110	101	0	False
25	17	392	501	110	110	101	0	False
25	18	393	501	110	110	101	0	False
25	19	394	501	26	26	185	0	False
25	46	421	501	26	26	190	0	False
25	47	422	501	25	25	138	0	False
25	48	423	501	26	26	191	0	False
25	76	451	501	110	110	95	0	False
25	77	452	501	110	110	95	0	False
25	78	453	501	110	110	95	0	False
26	16	391	502	110	110	101	0	False
26	17	392	502	110	110	101	0	False
26	18	393	502	110	110	101	0	False
26	19	394	502	25	25	97	0	False
26	20	395	502	26	26	185	0	False
26	46	421	502	26	26	190	0	False
26	47	422	502	25	25	138	0	False
26	48	423	502	26	26	191	0	False
26	75	450	502	26	26	177	0	False
26	76	451	502	110	110	95	0	False
26	77	452	502	110	110	95	0	False
26	78	453	502	110	110	95	0	False
27	17	392	503	26	26	184	0	False
27	18	393	503	25	25	99	0	False
27	19	394	503	25	25	96	0	False
27	20	395	503	25	25	97	0	False
27	21	396	503	26	26	185	0	False
27	36	411	503	114	114	39	0	False
27	37	412	503	114	114	39	0	False
27	38	413	503	114	114	39	0	False
27	39	414	503	114	114	39	0	False
27	40	415	503	114	114	39	0	False
27	41	416	503	114	114	39	0	False
27	46	421	503	26	26	190	0	False
27	47	422	503	25	25	138	0	False
27	48	423	503	26	26	191	0	False
27	52	427	503	114	114	37	0	False
27	53	428	503	114	114	37	0	False
27	54	429	503	114	114	37	0	False
27	55	430	503	114	114	37	0	False
27	56	431	503	114	114	37	0	False
27	57	432	503	114	114	37	0	False
27	74	449	503	26	26	177	0	False
27	75	450	503	25	25	91	0	False
27	76	451	503	110	110	95	0	False
27	77	452	503	110	110	95	0	False
27	78	453	503	110	110	95	0	False
28	18	393	504	26	26	184	0	False
28	19	394	504	25	25	99	1	True
28	20	395	504	25	25	96	0	False
28	21	396	504	25	25	97	0	False
28	22	397	504	26	26	185	1	True
28	34	409	504	26	26	188	0	False
28	35	410	504	26	26	188	0	False
28	36	411	504	114	114	39	0	False
28	37	412	504	114	114	39	0	False
28	38	413	504	114	114	39	0	False
28	39	414	504	114	114	39	0	False
28	40	415	504	114	114	39	0	False
28	41	416	504	114	114	39	0	False
28	42	417	504	26	26	189	0	False
28	43	418	504	26	26	189	0	False
28	44	419	504	26	26	189	0	False
28	45	420	504	26	26	189	0	False
28	46	421	504	26	26	189	0	False
28	47	422	504	25	25	138	0	False
28	48	423	504	26	26	191	0	False
28	49	424	504	26	26	192	0	False
28	50	425	504	26	26	192	0	False
28	51	426	504	26	26	192	0	False
28	52	427	504	114	114	37	0	False
28	53	428	504	114	114	37	0	False
28	54	429	504	114	114	37	0	False
28	55	430	504	114	114	37	0	False
28	56	431	504	114	114	37	0	False
28	57	432	504	114	114	37	0	False
28	58	433	504	26	26	180	0	False
28	59	434	504	26	26	179	0	False
28	73	448	504	26	26	177	0	False
28	74	449	504	25	25	91	0	False
28	75	450	504	25	25	90	0	False
28	76	451	504	25	25	93	0	False
28	77	452	504	26	26	176	0	False
29	19	394	505	26	26	184	1	True
29	20	395	505	25	25	99	1	True
29	21	396	505	25	25	96	1	True
29	22	397	505	25	25	97	1	True
29	23	398	505	26	26	185	1	True
29	33	408	505	26	26	187	0	False
29	34	409	505	25	25	84	0	False
29	35	410	505	25	25	83	0	False
29	36	411	505	114	114	39	0	False
29	37	412	505	114	114	39	0	False
29	38	413	505	114	114	39	0	False
29	39	414	505	114	114	39	0	False
29	40	415	505	114	114	39	0	False
29	41	416	505	114	114	39	0	False
29	42	417	505	25	25	82	0	False
29	43	418	505	25	25	82	0	False
29	44	419	505	25	25	82	0	False
29	45	420	505	25	25	82	0	False
29	46	421	505	25	25	82	0	False
29	47	422	505	25	25	82	0	False
29	48	423	505	25	25	82	0	False
29	49	424	505	25	25	82	0	False
29	50	425	505	25	25	82	0	False
29	51	426	505	25	25	82	0	False
29	52	427	505	114	114	37	0	False
29	53	428	505	114	114	37	0	False
29	54	429	505	114	114	37	0	False
29	55	430	505	114	114	37	0	False
29	56	431	505	114	114	37	0	False
29	57	432	505	114	114	37	0	False
29	58	433	505	25	25	81	0	False
29	59	434	505	25	25	80	0	False
29	60	435	505	26	26	179	0	False
29	72	447	505	26	26	177	0	False
29	73	448	505	25	25	91	0	False
29	74	449	505	25	25	90	0	False
29	75	450	505	25	25	93	0	False
29	76	451	505	26	26	176	0	False
30	20	395	506	26	26	184	1	True
30	21	396	506	25	25	99	1	True
30	22	397	506	25	25	96	1	True
30	23	398	506	25	25	97	1	True
30	24	399	506	26	26	185	1	True
30	32	407	506	26	26	187	0	False
30	33	408	506	25	25	84	0	False
30	34	409	506	25	25	40	0	False
30	35	410	506	25	25	40	0	False
30	36	411	506	114	114	39	0	False
30	37	412	506	114	114	39	0	False
30	38	413	506	114	114	39	0	False
30	39	414	506	114	114	39	0	False
30	40	415	506	114	114	39	0	False
30	41	416	506	114	114	39	0	False
30	42	417	506	25	25	38	0	False
30	43	418	506	25	25	38	0	False
30	44	419	506	25	25	38	0	False
30	45	420	506	25	25	38	0	False
30	46	421	506	25	25	38	0	False
30	47	422	506	25	25	38	0	False
30	48	423	506	25	25	38	0	False
30	49	424	506	25	25	38	0	False
30	50	425	506	25	25	38	0	False
30	51	426	506	25	25	38	0	False
30	52	427	506	114	114	37	0	False
30	53	428	506	114	114	37	0	False
30	54	429	506	114	114	37	0	False
30	55	430	506	114	114	37	0	False
30	56	431	506	114	114	37	0	False
30	57	432	506	114	114	37	0	False
30	58	433	506	25	25	36	0	False
30	59	434	506	25	25	35	0	False
30	60	435	506	25	25	80	0	False
30	61	436	506	26	26	179	0	False
30	71	446	506	26	26	177	0	False
30	72	447	506	25	25	91	0	False
30	73	448	506	25	25	90	0	False
30	74	449	506	25	25	93	0	False
30	75	450	506	26	26	176	0	False
31	21	396	507	26	26	184	1	True
31	22	397	507	25	25	99	1	True
31	23	398	507	25	25	96	1	True
31	24	399	507	25	25	97	1	True
31	25	400	507	26	26	185	1	True
31	31	406	507	26	26	187	0	False
31	32	407	507	25	25	84	0	False
31	33	408	507	25	25	41	0	False
31	36	411	507	114	114	39	0	False
31	37	412	507	114	114	39	0	False
31	38	413	507	114	114	39	0	False
31	39	414	507	114	114	39	0	False
31	40	415	507	114	114	39	0	False
31	41	416	507	114	114	39	0	False
31	48	423	507	318	318	121	0	False
31	49	424	507	318	318	121	0	False
31	50	425	507	318	318	120	0	False
31	51	426	507	318	318	120	0	False
31	52	427	507	114	114	37	0	False
31	53	428	507	114	114	37	0	False
31	54	429	507	114	114	37	0	False
31	55	430	507	114	114	37	0	False
31	56	431	507	114	114	37	0	False
31	57	432	507	114	114	37	0	False
31	60	435	507	25	25	35	0	False
31	61	436	507	25	25	80	0	False
31	62	437	507	26	26	179	0	False
31	70	445	507	26	26	177	0	False
31	71	446	507	25	25	91	0	False
31	72	447	507	25	25	90	0	False
31	73	448	507	25	25	93	0	False
31	74	449	507	26	26	176	0	False
32	22	397	508	26	26	184	1	True
32	23	398	508	25	25	99	1	True
32	24	399	508	25	25	96	1	True
32	25	400	508	25	25	97	1	True
32	26	401	508	26	26	185	1	True
32	30	405	508	26	26	187	0	False
32	31	406	508	25	25	84	0	False
32	32	407	508	25	25	41	0	False
32	36	411	508	114	114	39	0	False
32	37	412	508	114	114	39	0	False
32	38	413	508	114	114	39	0	False
32	39	414	508	114	114	39	0	False
32	40	415	508	114	114	39	0	False
32	41	416	508	114	114	39	0	False
32	43	418	508	88	88	60	0	False
32	44	419	508	88	88	60	0	False
32	45	420	508	88	88	60	0	False
32	46	421	508	88	88	60	0	False
32	47	422	508	88	88	60	0	False
32	48	423	508	318	318	121	0	False
32	49	424	508	318	318	121	0	False
32	50	425	508	318	318	120	0	False
32	51	426	508	318	318	120	0	False
32	52	427	508	114	114	37	0	False
32	53	428	508	114	114	37	0	False
32	54	429	508	114	114	37	0	False
32	55	430	508	114	114	37	0	False
32	56	431	508	114	114	37	0	False
32	57	432	508	114	114	37	0	False
32	61	436	508	25	25	35	0	False
32	62	437	508	25	25	80	0	False
32	63	438	508	26	26	179	0	False
32	69	444	508	26	26	177	0	False
32	70	445	508	25	25	91	0	False
32	71	446	508	25	25	90	0	False
32	72	447	508	25	25	93	0	False
32	73	448	508	26	26	176	0	False
33	23	398	509	26	26	184	1	True
33	24	399	509	25	25	99	1	True
33	25	400	509	25	25	96	1	True
33	26	401	509	25	25	97	1	True
33	27	402	509	26	26	185	1	True
33	28	403	509	26	26	186	1	True
33	29	404	509	26	26	186	1	True
33	30	405	509	25	25	84	0	False
33	31	406	509	25	25	41	0	False
33	43	418	509	88	88	60	0	False
33	44	419	509	88	88	60	0	False
33	45	420	509	88	88	60	0	False
33	46	421	509	88	88	60	0	False
33	47	422	509	88	88	60	0	False
33	59	434	509	318	318	122	0	False
33	60	435	509	318	318	122	0	False
33	62	437	509	25	25	35	0	False
33	63	438	509	25	25	80	0	False
33	64	439	509	26	26	179	0	False
33	68	443	509	26	26	177	0	False
33	69	444	509	25	25	91	0	False
33	70	445	509	25	25	90	0	False
33	71	446	509	25	25	93	0	False
33	72	447	509	26	26	176	0	False
34	17	392	510	324	324	197	1	True
34	18	393	510	324	324	197	1	True
