# capturedAtLocal=2026-09-24T14:23:36.0267346+02:00
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Craggy Cliffs.map
# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=7
# candidateId=0
# aivName=Default 5
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\jewel5.aivjson
# aivJsonSha256=fe15c680d1515b8b401f1edb19b99f79cdb726e0169cf2db096df6c139a46eb8
# orientation=6
# originX=463
# originY=309
# keepX=506
# keepY=352
# evaluatedCells=2077
# nativeBlockedCells=364
# resultGridBlockedCells=179
# validatorCalls=1892
# validatorBlockedCells=179
gridRow	gridColumn	worldX	worldY	rawMapper	effectiveMapper	scoreGridValue	resultGridValue	blocked
20	80	543	329	26	26	120	0	False
20	81	544	329	26	26	119	0	False
20	82	545	329	26	26	119	0	False
20	83	546	329	26	26	119	0	False
20	84	547	329	26	26	119	0	False
20	85	548	329	26	26	119	0	False
20	86	549	329	26	26	119	0	False
20	87	550	329	26	26	118	0	False
21	46	509	330	26	26	131	0	False
21	47	510	330	26	26	130	0	False
21	48	511	330	26	26	130	0	False
21	49	512	330	26	26	130	0	False
21	50	513	330	26	26	130	0	False
21	51	514	330	26	26	130	0	False
21	52	515	330	26	26	130	0	False
21	53	516	330	26	26	127	0	False
21	80	543	330	26	26	120	0	False
21	81	544	330	113	113	39	0	False
21	82	545	330	113	113	39	0	False
21	83	546	330	113	113	39	0	False
21	84	547	330	113	113	39	0	False
21	85	548	330	113	113	39	0	False
21	86	549	330	113	113	39	0	False
21	87	550	330	26	26	118	0	False
22	46	509	331	26	26	131	0	False
22	47	510	331	113	113	43	0	False
22	48	511	331	113	113	43	0	False
22	49	512	331	113	113	43	0	False
22	50	513	331	113	113	43	0	False
22	51	514	331	113	113	43	0	False
22	52	515	331	113	113	43	0	False
22	53	516	331	26	26	127	0	False
22	63	526	331	26	26	122	0	False
22	64	527	331	26	26	121	0	False
22	65	528	331	26	26	121	0	False
22	66	529	331	26	26	121	0	False
22	67	530	331	26	26	121	0	False
22	68	531	331	26	26	121	0	False
22	69	532	331	26	26	121	0	False
22	70	533	331	26	26	121	0	False
22	71	534	331	26	26	121	0	False
22	72	535	331	26	26	121	0	False
22	73	536	331	26	26	121	0	False
22	74	537	331	26	26	121	0	False
22	75	538	331	26	26	121	0	False
22	76	539	331	26	26	121	0	False
22	77	540	331	26	26	121	0	False
22	78	541	331	26	26	121	0	False
22	79	542	331	26	26	121	0	False
22	80	543	331	26	26	120	0	False
22	81	544	331	113	113	39	0	False
22	82	545	331	113	113	39	0	False
22	83	546	331	113	113	39	0	False
22	84	547	331	113	113	39	0	False
22	85	548	331	113	113	39	0	False
22	86	549	331	113	113	39	0	False
22	87	550	331	26	26	118	0	False
23	41	504	332	26	26	133	0	False
23	42	505	332	26	26	132	0	False
23	43	506	332	26	26	132	0	False
23	44	507	332	26	26	132	0	False
23	45	508	332	26	26	132	0	False
23	46	509	332	26	26	131	0	False
23	47	510	332	113	113	43	0	False
23	48	511	332	113	113	43	0	False
23	49	512	332	113	113	43	0	False
