# capturedAtLocal=2026-09-24T14:23:36.0277377+02:00
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Craggy Cliffs.map
# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=7
# orientation=0
# keepX=506
# keepY=352
# occupiedCells=5254
tileId	buildingId	ownerId	terrainFlags
54283	291	0	33792
54284	291	0	33792
54285	291	0	33792
54286	291	0	33792
54287	291	0	33792
54750	291	0	33792
54751	291	0	33792
54752	291	0	33792
54753	291	0	33792
54754	291	0	33792
55219	291	0	33792
55220	291	0	33792
55221	291	0	33792
55222	291	0	33792
55223	291	0	33792
55690	291	0	33792
55691	291	0	33792
55692	291	0	33792
55693	291	0	33792
55694	291	0	33792
56163	291	0	33792
56164	291	0	33792
56165	291	0	33792
56166	291	0	33792
56167	291	0	33792
56626	287	0	33792
56627	287	0	33792
56628	287	0	33792
56629	287	0	33792
56630	286	0	33792
56631	286	0	33792
56632	286	0	33792
56633	286	0	33792
57103	287	0	33792
57104	287	0	33792
57105	287	0	33792
57106	287	0	33792
57107	286	0	33792
57108	286	0	33792
57109	286	0	33792
57110	286	0	33792
57115	281	0	32768
57116	281	0	32768
57117	281	0	32768
57118	281	0	32768
57119	280	0	33792
57120	280	0	33792
57121	280	0	33792
57122	280	0	33792
57123	258	0	32768
57124	258	0	32768
57125	258	0	32768
57126	258	0	32768
57127	258	0	32768
57128	256	0	33792
57129	256	0	33792
57130	256	0	33792
57131	256	0	33792
57132	256	0	33792
57582	287	0	33792
57583	287	0	33792
57584	287	0	33792
57585	287	0	33792
57586	286	0	33792
57587	286	0	33792
57588	286	0	33792
57589	286	0	33792
57594	281	0	32768
57595	281	0	32768
57596	281	0	32768
57597	281	0	32768
57598	280	0	33792
57599	280	0	33792
57600	280	0	33792
57601	280	0	33792
57602	258	0	32768
57603	258	0	32768
57604	258	0	32768
57605	258	0	32768
57606	258	0	32768
57607	256	0	33792
57608	256	0	33792
57609	256	0	33792
57610	256	0	33792
57611	256	0	33792
58063	287	0	33792
58064	287	0	33792
58065	287	0	33792
58066	287	0	33792
58067	286	0	33792
58068	286	0	33792
58069	286	0	33792
58070	286	0	33792
58075	281	0	32768
58076	281	0	32768
58077	281	0	32768
58078	281	0	32768
58079	280	0	33792
58080	280	0	33792
58081	280	0	33792
58082	280	0	33792
58083	258	0	32768
58084	258	0	32768
58085	258	0	33792
58086	258	0	32768
58087	258	0	32768
58088	256	0	33792
58089	256	0	33792
58090	256	0	33792
58091	256	0	33792
58092	256	0	33792
58558	281	0	32768
58559	281	0	32768
58560	281	0	32768
58561	281	0	32768
58562	280	0	33792
58563	280	0	33792
58564	280	0	33792
58565	280	0	33792
58566	258	0	32768
58567	258	0	32768
58568	258	0	32768
58569	258	0	32768
58570	258	0	32768
58571	256	0	33792
58572	256	0	33792
58573	256	0	33792
58574	256	0	33792
58575	256	0	33792
58578	477	0	32768
58579	348	0	32768
58580	347	0	32768
58581	346	0	32768
58582	345	0	32768
58583	344	0	32768
58584	343	0	32768
58585	342	0	32768
58586	340	0	32768
58587	341	0	32768
59031	292	0	33792
59032	292	0	33792
59033	292	0	33792
59034	292	0	33792
59035	290	0	33792
59036	290	0	33792
59037	290	0	33792
59038	290	0	33792
59045	282	0	33792
59046	282	0	33792
59047	282	0	33792
59048	282	0	33792
59049	282	0	33792
59050	282	0	33792
59051	258	0	32768
59052	258	0	32768
59053	258	0	32768
59054	258	0	32768
59055	258	0	32768
59056	256	0	33792
59057	256	0	33792
59058	256	0	33792
59059	256	0	33792
59060	256	0	33792
59063	478	0	32768
59066	277	0	33792
59067	277	0	268468224
59068	277	0	268468224
59069	277	0	268468224
59070	277	0	268468224
59071	277	0	33792
59072	339	0	32768
59518	292	0	33792
59519	292	0	33792
59520	292	0	33792
59521	292	0	33792
59522	290	0	33792
59523	290	0	33792
59524	290	0	33792
59525	290	0	33792
59532	282	0	33792
59533	282	0	33792
59534	282	0	33792
59535	282	0	33792
59536	282	0	33792
59537	282	0	33792
59538	259	0	32768
59539	259	0	32768
59540	259	0	32768
59541	259	0	32768
59542	259	0	32768
59543	257	0	32768
59544	257	0	32768
59545	257	0	32768
59546	257	0	32768
59547	257	0	32768
59550	479	0	32768
59553	277	0	268468224
59554	277	0	268468224
59555	277	0	268468224
59556	277	0	268468224
59557	277	0	268468224
59558	277	0	268468224
59559	338	0	32768
60007	292	0	33792
60008	292	0	33792
60009	292	0	33792
60010	292	0	33792
60011	290	0	33792
60012	290	0	33792
60013	290	0	33792
60014	290	0	33792
60016	285	0	33792
60017	285	0	33792
60018	285	0	33792
60019	285	0	33792
60021	282	0	33792
60022	282	0	33792
60023	282	0	33792
60024	282	0	33792
60025	282	0	33792
60026	282	0	33792
60027	259	0	32768
60028	259	0	32768
60029	259	0	32768
60030	259	0	32768
60031	259	0	32768
60032	257	0	32768
60033	257	0	32768
60034	257	0	32768
60035	257	0	32768
60036	257	0	32768
60039	480	0	32768
60042	277	0	268468224
60043	277	0	268468224
60044	277	0	268468224
60045	277	0	268468224
60046	277	0	268468224
60047	277	0	268468224
60048	336	0	32768
60498	292	0	33792
60499	292	0	33792
60500	292	0	33792
60501	292	0	33792
60502	290	0	33792
60503	290	0	33792
60504	290	0	33792
60505	290	0	33792
60507	285	0	33792
60508	285	0	33792
60509	285	0	33792
60510	285	0	33792
60512	282	0	33792
60513	282	0	33792
60514	282	0	33792
60515	282	0	33792
60516	282	0	33792
60517	282	0	33792
60518	259	0	32768
60519	259	0	32768
60520	259	0	33792
60521	259	0	32768
60522	259	0	32768
60523	257	0	32768
60524	257	0	32768
60525	257	0	33792
60526	257	0	32768
60527	257	0	32768
60530	481	0	32768
60533	277	0	268468224
60534	277	0	268468224
60535	277	0	268468224
