# capturedAtLocal=2026-09-24T14:23:38.5715058+02:00
# mapLoadSequence=1
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Craggy Cliffs.map
# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# selectionFound=True
# finalCandidateId=0
# finalOrientation=2
# nativeStartOptions=mode=99,option2F0=0,option2F4=1,option2F8=4294967297
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\nomad4.aivjson
# aivJsonSha256=54a4bef2e38baf573124a9075a95ce0d94a3ea1941282f4af0b09481a421693b
# keepX=535
# keepY=396
# captureSequence=6
# playerId=8
# frameCount=80
# pointerProblemFrames=0
# captureErrorFrames=0
# highlightedMapperFrames=1
# layerChanges=756
# buildingRecordChanges=61
# beforeCaptureMilliseconds=625,6
# afterCaptureMilliseconds=783,2
# frameSnapshotsComplete=True
# provenanceComplete=True
captureFrameNumber	startedAtLocal	completedAtLocal	selectionSequence	frameIndex	activeLayoutIndex	mapper	highlightedMapper	status	helper	positionCount	firstPositionIndex	restrictedMode	freeOrForced	returnValue	placementStateAddress	pointerConsistent	added	removed	replaced	changed	captureError
1	2026-09-24T14:23:38.5715058+02:00	2026-09-24T14:23:38.5790856+02:00	7	0	7	0	False	0	0	0	0	0	1	0	0x7FFAB29AEDB0	True	0	0	0	0	
2	2026-09-24T14:23:38.5883356+02:00	2026-09-24T14:23:38.5966136+02:00	7	1	7	0	False	0	0	0	0	0	1	0	0x7FFAB29AEDB0	True	0	0	0	0	
3	2026-09-24T14:23:38.6065995+02:00	2026-09-24T14:23:38.6146033+02:00	7	2	7	80	False	1	0	1	158558	0	1	1	0x7FFAB29AEDB0	True	16	0	0	16	
4	2026-09-24T14:23:38.6240658+02:00	2026-09-24T14:23:38.6320982+02:00	7	3	7	52	True	1	0	1	155379	0	1	0	0x7FFAB29AEDB0	True	0	0	0	0	
5	2026-09-24T14:23:38.6416194+02:00	2026-09-24T14:23:38.6497766+02:00	7	4	7	54	False	1	0	1	169619	0	1	1	0x7FFAB29AEDB0	True	16	0	0	16	
6	2026-09-24T14:23:38.6597896+02:00	2026-09-24T14:23:38.6712961+02:00	7	5	7	46	False	1	0	8	72	0	1	1	0x7FFAB29AEDB0	True	0	0	0	0	
7	2026-09-24T14:23:38.6818139+02:00	2026-09-24T14:23:38.6893213+02:00	7	6	7	46	False	1	0	5	67	0	1	1	0x7FFAB29AEDB0	True	0	0	0	0	
8	2026-09-24T14:23:38.6988294+02:00	2026-09-24T14:23:38.7063381+02:00	7	7	7	46	False	1	0	10	34	0	1	1	0x7FFAB29AEDB0	True	0	0	0	0	
9	2026-09-24T14:23:38.7163500+02:00	2026-09-24T14:23:38.7238543+02:00	7	8	7	79	False	1	0	1	151466	0	1	1	0x7FFAB29AEDB0	True	100	0	0	100	
10	2026-09-24T14:23:38.7343711+02:00	2026-09-24T14:23:38.7428840+02:00	7	9	7	77	False	1	0	1	162550	0	1	1	0x7FFAB29AEDB0	True	25	0	0	25	
