# capturedAtLocal=2026-09-24T16:45:23.4737875+02:00
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Crater Lake.map
# mapFileSha256=c5d9906aa37ed96ec1cf9b3eb0c7f6fb5b3e1d8063167fe22337e69c153bb887
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=0
# playerId=8
# candidateId=0
# aivName=Default 6
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\nizar6.aivjson
# aivJsonSha256=1d86b141261297706ad65f60d870a3ae30a8c0da05b6b3b1d4d923c702cb11ad
# orientation=6
# originX=198
# originY=231
# keepX=241
# keepY=274
# evaluatedCells=2352
# nativeBlockedCells=0
# resultGridBlockedCells=0
# validatorCalls=2352
# validatorBlockedCells=0
gridRow	gridColumn	worldX	worldY	rawMapper	effectiveMapper	scoreGridValue	resultGridValue	blocked
10	39	237	241	98	98	211	0	False
10	45	243	241	98	98	291	0	False
11	36	234	242	98	98	212	0	False
11	39	237	242	98	98	210	0	False
11	43	241	242	98	98	204	0	False
12	39	237	243	98	98	209	0	False
12	48	246	243	98	98	203	0	False
12	51	249	243	98	98	290	0	False
13	38	236	244	98	98	208	0	False
13	41	239	244	98	98	205	0	False
13	45	243	244	98	98	194	0	False
13	54	252	244	98	98	202	0	False
14	33	231	245	98	98	213	0	False
14	35	233	245	98	98	206	0	False
14	42	240	245	98	98	195	0	False
14	52	250	245	98	98	198	0	False
14	53	251	245	98	98	192	0	False
14	55	253	245	98	98	289	0	False
14	56	254	245	98	98	191	0	False
14	59	257	245	98	98	201	0	False
14	60	258	245	98	98	284	0	False
15	30	228	246	98	98	214	0	False
15	39	237	246	106	106	66	0	False
15	40	238	246	106	106	66	0	False
15	42	240	246	106	106	66	0	False
15	43	241	246	106	106	66	0	False
15	44	242	246	106	106	66	0	False
15	45	243	246	106	106	66	0	False
15	46	244	246	106	106	66	0	False
15	47	245	246	106	106	66	0	False
15	48	246	246	106	106	66	0	False
15	49	247	246	98	98	193	0	False
15	50	248	246	106	106	66	0	False
15	51	249	246	106	106	66	0	False
15	60	258	246	98	98	190	0	False
16	28	226	247	98	98	207	0	False
16	29	227	247	98	98	215	0	False
16	32	230	247	98	98	234	0	False
16	37	235	247	106	106	66	0	False
16	38	236	247	106	106	66	0	False
16	39	237	247	106	106	65	0	False
16	40	238	247	106	106	65	0	False
16	41	239	247	106	106	66	0	False
16	42	240	247	106	106	66	0	False
16	43	241	247	106	106	66	0	False
16	44	242	247	106	106	66	0	False
16	45	243	247	106	106	66	0	False
16	46	244	247	106	106	66	0	False
16	47	245	247	106	106	66	0	False
16	48	246	247	106	106	66	0	False
16	49	247	247	106	106	66	0	False
16	50	248	247	106	106	66	0	False
16	51	249	247	106	106	66	0	False
16	52	250	247	106	106	66	0	False
16	53	251	247	106	106	66	0	False
16	61	259	247	98	98	288	0	False
16	65	263	247	98	98	200	0	False
16	66	264	247	98	98	197	0	False
17	30	228	248	98	98	233	0	False
17	36	234	248	106	106	65	0	False
17	37	235	248	106	106	65	0	False
17	38	236	248	106	106	65	0	False
17	39	237	248	106	106	65	0	False
17	40	238	248	106	106	65	0	False
17	41	239	248	106	106	65	0	False
17	42	240	248	106	106	65	0	False
17	43	241	248	106	106	65	0	False
17	44	242	248	106	106	65	0	False
17	45	243	248	106	106	65	0	False
17	46	244	248	106	106	65	0	False
17	47	245	248	106	106	65	0	False
17	48	246	248	106	106	65	0	False
17	49	247	248	106	106	65	0	False
17	50	248	248	106	106	65	0	False
17	51	249	248	106	106	65	0	False
17	52	250	248	106	106	65	0	False
17	53	251	248	106	106	66	0	False
17	54	252	248	106	106	66	0	False
17	58	256	248	98	98	199	0	False
18	34	232	249	106	106	65	0	False
18	35	233	249	106	106	65	0	False
18	36	234	249	106	106	65	0	False
18	37	235	249	106	106	65	0	False
18	38	236	249	106	106	65	0	False
18	39	237	249	106	106	65	0	False
18	40	238	249	106	106	65	0	False
