# capturedAtLocal=2026-09-24T17:26:55.8194887+02:00
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Craggy Cliffs.map
# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=8
# candidateId=0
# aivName=Default 7
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\nomad7.aivjson
# aivJsonSha256=48f6c0603de610ce1c27493352e3b83d1ff506672799da92709aa7ee2becaf14
# orientation=4
# originX=492
# originY=353
# keepX=535
# keepY=396
# evaluatedCells=608
# nativeBlockedCells=21
# resultGridBlockedCells=21
# validatorCalls=608
# validatorBlockedCells=21
gridRow	gridColumn	worldX	worldY	rawMapper	effectiveMapper	scoreGridValue	resultGridValue	blocked
32	52	544	385	46	46	25	0	False
32	54	546	385	98	98	76	0	False
32	56	548	385	46	46	31	0	False
33	52	544	386	46	46	25	0	False
33	53	545	386	98	98	75	0	False
33	55	547	386	98	98	52	0	False
33	56	548	386	46	46	31	0	False
34	52	544	387	46	46	25	0	False
34	54	546	387	98	98	53	0	False
34	56	548	387	46	46	31	0	False
35	52	544	388	46	46	25	0	False
35	53	545	388	98	98	54	0	False
35	55	547	388	98	98	74	0	False
35	56	548	388	46	46	31	0	False
36	36	528	389	46	46	14	1	True
36	37	529	389	46	46	14	1	True
36	38	530	389	46	46	14	1	True
36	39	531	389	46	46	14	1	True
36	40	532	389	46	46	14	1	True
36	41	533	389	46	46	14	1	True
36	42	534	389	46	46	14	1	True
36	43	535	389	46	46	14	1	True
36	44	536	389	46	46	14	1	True
36	45	537	389	46	46	14	1	True
36	46	538	389	46	46	14	0	False
36	47	539	389	46	46	14	0	False
36	48	540	389	46	46	14	0	False
36	49	541	389	46	46	14	0	False
36	50	542	389	46	46	14	0	False
36	52	544	389	46	46	25	0	False
36	54	546	389	98	98	55	0	False
36	56	548	389	46	46	31	0	False
37	36	528	390	46	46	11	1	True
37	37	529	390	183	183	22	1	True
37	38	530	390	184	184	21	1	True
37	39	531	390	185	185	20	1	True
37	50	542	390	46	46	24	0	False
37	51	543	390	46	46	25	0	False
37	52	544	390	98	98	73	0	False
37	53	545	390	98	98	72	0	False
37	55	547	390	98	98	56	0	False
37	56	548	390	98	98	33	0	False
37	57	549	390	46	46	29	0	False
37	58	550	390	46	46	29	0	False
37	59	551	390	46	46	29	0	False
37	60	552	390	46	46	29	0	False
37	61	553	390	46	46	29	0	False
37	62	554	390	46	46	29	0	False
37	63	555	390	46	46	29	0	False
38	36	528	391	46	46	11	1	True
38	43	535	391	77	77	5	1	True
38	44	536	391	77	77	5	1	True
38	45	537	391	77	77	5	1	True
38	46	538	391	77	77	5	0	False
38	47	539	391	77	77	5	0	False
38	60	552	391	185	185	37	0	False
38	61	553	391	184	184	38	0	False
38	62	554	391	183	183	39	0	False
38	63	555	391	46	46	35	0	False
39	36	528	392	46	46	11	0	False
39	43	535	392	77	77	5	1	True
39	44	536	392	77	77	5	1	True
39	45	537	392	77	77	5	1	True
39	46	538	392	77	77	5	0	False
39	47	539	392	77	77	5	0	False
39	63	555	392	46	46	12	0	False
40	36	528	393	46	46	11	0	False
40	38	530	393	54	54	13	0	False
40	39	531	393	54	54	13	0	False
40	40	532	393	54	54	13	0	False
40	41	533	393	54	54	13	0	False
40	43	535	393	77	77	5	0	False
40	44	536	393	77	77	5	0	False
40	45	537	393	77	77	5	0	False
40	46	538	393	77	77	5	0	False
40	47	539	393	77	77	5	0	False
40	56	548	393	98	98	103	0	False
40	58	550	393	54	54	23	0	False
40	59	551	393	54	54	23	0	False
40	60	552	393	54	54	23	0	False
40	61	553	393	54	54	23	0	False
40	63	555	393	46	46	12	0	False
41	36	528	394	46	46	11	0	False
41	38	530	394	54	54	13	0	False
41	39	531	394	54	54	13	0	False
41	40	532	394	54	54	13	0	False
41	41	533	394	54	54	13	0	False
41	43	535	394	77	77	5	0	False
41	44	536	394	77	77	5	0	False
41	45	537	394	77	77	5	0	False
41	46	538	394	77	77	5	0	False
41	47	539	394	77	77	5	0	False
41	49	541	394	-1	86	1	0	False
41	50	542	394	-1	86	1	0	False
41	51	543	394	-1	86	1	0	False
41	52	544	394	-1	86	1	0	False
41	53	545	394	-1	86	1	0	False
41	54	546	394	-1	86	1	0	False
41	55	547	394	-1	86	1	0	False
41	57	549	394	98	98	102	0	False
41	58	550	394	54	54	23	0	False
41	59	551	394	54	54	23	0	False
41	60	552	394	54	54	23	0	False
41	61	553	394	54	54	23	0	False
41	63	555	394	46	46	12	0	False
42	36	528	395	46	46	11	0	False
42	38	530	395	54	54	13	0	False
42	39	531	395	54	54	13	0	False
42	40	532	395	54	54	13	0	False
42	41	533	395	54	54	13	0	False
42	43	535	395	77	77	5	0	False
42	44	536	395	77	77	5	0	False
42	45	537	395	77	77	5	0	False
42	46	538	395	77	77	5	0	False
42	47	539	395	77	77	5	0	False
42	49	541	395	-1	86	1	0	False
42	50	542	395	-1	86	1	0	False
42	51	543	395	-1	86	1	0	False
42	52	544	395	-1	86	1	0	False
42	53	545	395	-1	86	1	0	False
42	54	546	395	-1	86	1	0	False
42	55	547	395	-1	86	1	0	False
42	56	548	395	98	98	101	0	False
42	58	550	395	54	54	23	0	False
42	59	551	395	54	54	23	0	False
42	60	552	395	54	54	23	0	False
42	61	553	395	54	54	23	0	False
42	63	555	395	46	46	12	0	False
43	36	528	396	46	46	11	0	False
43	38	530	396	54	54	13	0	False
43	39	531	396	54	54	13	0	False
43	40	532	396	54	54	13	0	False
43	41	533	396	54	54	13	0	False
43	49	541	396	-1	86	1	0	False
43	50	542	396	-1	86	1	0	False
43	51	543	396	-1	86	1	0	False
43	52	544	396	-1	86	1	0	False
43	53	545	396	-1	86	1	0	False
43	54	546	396	-1	86	1	0	False
43	55	547	396	-1	86	1	0	False
43	57	549	396	98	98	100	0	False
43	58	550	396	54	54	23	0	False
43	59	551	396	54	54	23	0	False
43	60	552	396	54	54	23	0	False
43	61	553	396	54	54	23	0	False
43	63	555	396	46	46	12	0	False
44	36	528	397	46	46	11	0	False
44	42	534	397	98	98	113	0	False
44	44	536	397	52	52	3	0	False
44	45	537	397	52	52	3	0	False
44	46	538	397	52	52	3	0	False
44	47	539	397	52	52	3	0	False
44	48	540	397	52	52	3	0	False
44	49	541	397	-1	86	1	0	False
44	50	542	397	-1	86	1	0	False
44	51	543	397	-1	86	1	0	False
44	52	544	397	-1	86	1	0	False
44	53	545	397	-1	86	1	0	False
44	54	546	397	-1	86	1	0	False
44	55	547	397	-1	86	1	0	False
44	56	548	397	98	98	99	0	False
44	63	555	397	46	46	12	0	False
45	36	528	398	46	46	11	0	False
45	38	530	398	54	54	7	0	False
45	39	531	398	54	54	7	0	False
45	40	532	398	54	54	7	0	False
45	41	533	398	54	54	7	0	False
45	43	535	398	98	98	112	0	False
45	44	536	398	52	52	3	0	False
45	45	537	398	52	52	3	0	False
45	46	538	398	52	52	3	0	False
45	47	539	398	52	52	3	0	False
45	48	540	398	52	52	3	0	False
45	49	541	398	-1	86	1	0	False
45	50	542	398	-1	86	1	0	False
45	51	543	398	-1	86	1	0	False
45	52	544	398	-1	86	1	0	False
45	53	545	398	-1	86	1	0	False
45	54	546	398	-1	86	1	0	False
45	55	547	398	-1	86	1	0	False
45	57	549	398	98	98	98	0	False
45	58	550	398	54	54	30	0	False
45	59	551	398	54	54	30	0	False
45	60	552	398	54	54	30	0	False
45	61	553	398	54	54	30	0	False
45	63	555	398	46	46	12	0	False
46	36	528	399	46	46	11	0	False
46	38	530	399	54	54	7	0	False
46	39	531	399	54	54	7	0	False
46	40	532	399	54	54	7	0	False
46	41	533	399	54	54	7	0	False
46	42	534	399	98	98	111	0	False
46	44	536	399	52	52	3	0	False
46	45	537	399	52	52	3	0	False
46	46	538	399	52	52	3	0	False
46	47	539	399	52	52	3	0	False
46	48	540	399	52	52	3	0	False
46	49	541	399	-1	86	1	0	False
46	50	542	399	-1	86	1	0	False
46	51	543	399	-1	86	1	0	False
46	52	544	399	-1	86	1	0	False
46	53	545	399	-1	86	1	0	False
46	54	546	399	-1	86	1	0	False
46	55	547	399	-1	86	1	0	False
46	56	548	399	98	98	97	0	False
46	58	550	399	54	54	30	0	False
46	59	551	399	54	54	30	0	False
46	60	552	399	54	54	30	0	False
46	61	553	399	54	54	30	0	False
46	63	555	399	46	46	12	0	False
47	36	528	400	46	46	11	0	False
47	38	530	400	54	54	7	0	False
47	39	531	400	54	54	7	0	False
47	40	532	400	54	54	7	0	False
47	41	533	400	54	54	7	0	False
47	43	535	400	98	98	110	0	False
47	44	536	400	52	52	3	0	False
47	45	537	400	52	52	3	0	False
47	46	538	400	52	52	3	0	False
47	47	539	400	52	52	3	0	False
47	48	540	400	52	52	3	0	False
47	49	541	400	-1	86	1	0	False
47	50	542	400	-1	86	1	0	False
47	51	543	400	-1	86	1	0	False
47	52	544	400	-1	86	1	0	False
47	53	545	400	-1	86	1	0	False
47	54	546	400	-1	86	1	0	False
47	55	547	400	-1	86	1	0	False
47	57	549	400	98	98	96	0	False
47	58	550	400	54	54	30	0	False
47	59	551	400	54	54	30	0	False
47	60	552	400	54	54	30	0	False
47	61	553	400	54	54	30	0	False
47	63	555	400	46	46	12	0	False
48	36	528	401	46	46	11	0	False
48	38	530	401	54	54	7	0	False
48	39	531	401	54	54	7	0	False
48	40	532	401	54	54	7	0	False
48	41	533	401	54	54	7	0	False
48	42	534	401	98	98	109	0	False
48	44	536	401	52	52	3	0	False
48	45	537	401	52	52	3	0	False
48	46	538	401	52	52	3	0	False
48	47	539	401	52	52	3	0	False
48	48	540	401	52	52	3	0	False
48	51	543	401	-1	86	1	0	False
48	52	544	401	-1	86	1	0	False
48	53	545	401	-1	86	1	0	False
48	56	548	401	98	98	95	0	False
48	58	550	401	54	54	30	0	False
48	59	551	401	54	54	30	0	False
48	60	552	401	54	54	30	0	False
48	61	553	401	54	54	30	0	False
48	63	555	401	46	46	12	0	False
49	36	528	402	46	46	11	0	False
49	43	535	402	98	98	108	0	False
49	44	536	402	-1	86	1	0	False
49	45	537	402	-1	86	1	0	False
49	46	538	402	-1	86	1	0	False
49	47	539	402	-1	86	1	0	False
49	48	540	402	-1	86	1	0	False
49	49	541	402	61	61	1	0	False
49	50	542	402	61	61	1	0	False
49	51	543	402	61	61	1	0	False
49	52	544	402	61	61	1	0	False
49	53	545	402	61	61	1	0	False
49	54	546	402	61	61	1	0	False
49	55	547	402	61	61	1	0	False
49	57	549	402	98	98	94	0	False
49	63	555	402	46	46	12	0	False
50	36	528	403	46	46	11	0	False
50	38	530	403	54	54	6	0	False
50	39	531	403	54	54	6	0	False
50	40	532	403	54	54	6	0	False
50	41	533	403	54	54	6	0	False
50	42	534	403	98	98	107	0	False
50	44	536	403	-1	86	1	0	False
50	45	537	403	-1	86	1	0	False
50	46	538	403	-1	86	1	0	False
50	47	539	403	-1	86	1	0	False
50	48	540	403	-1	86	1	0	False
50	49	541	403	61	61	1	0	False
50	50	542	403	61	61	1	0	False
50	51	543	403	61	61	1	0	False
50	52	544	403	61	61	1	0	False
50	53	545	403	61	61	1	0	False
50	54	546	403	61	61	1	0	False
50	55	547	403	61	61	1	0	False
50	56	548	403	98	98	93	0	False
50	58	550	403	54	54	28	0	False
50	59	551	403	54	54	28	0	False
50	60	552	403	54	54	28	0	False
50	61	553	403	54	54	28	0	False
50	63	555	403	46	46	12	0	False
51	36	528	404	46	46	11	0	False
51	38	530	404	54	54	6	0	False
51	39	531	404	54	54	6	0	False
51	40	532	404	54	54	6	0	False
51	41	533	404	54	54	6	0	False
51	43	535	404	98	98	106	0	False
51	44	536	404	-1	86	1	0	False
51	45	537	404	-1	86	1	0	False
51	46	538	404	-1	86	1	0	False
51	47	539	404	-1	86	1	0	False
51	48	540	404	-1	86	1	0	False
51	49	541	404	61	61	1	0	False
51	50	542	404	61	61	1	0	False
51	51	543	404	61	61	1	0	False
51	52	544	404	61	61	1	0	False
51	53	545	404	61	61	1	0	False
51	54	546	404	61	61	1	0	False
51	55	547	404	61	61	1	0	False
51	57	549	404	98	98	92	0	False
51	58	550	404	54	54	28	0	False
51	59	551	404	54	54	28	0	False
51	60	552	404	54	54	28	0	False
51	61	553	404	54	54	28	0	False
51	63	555	404	46	46	12	0	False
52	36	528	405	46	46	11	0	False
52	38	530	405	54	54	6	0	False
52	39	531	405	54	54	6	0	False
52	40	532	405	54	54	6	0	False
