# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Crater Lake.map
# mapFileSha256=c5d9906aa37ed96ec1cf9b3eb0c7f6fb5b3e1d8063167fe22337e69c153bb887
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=0
# playerId=3
# keepX=254
# keepY=580
# nativeOrientation=0
# scale=7
# isFree=False
# selectionPlacementState=2
# selectionAccepted=True
# selectionFinalOrientation=0
# finalCandidateId=0
# selectedCandidateId=0
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\wolf8.aivjson
# aivJsonSha256=0e59ca19225bfa86472a4b2a939ac8c97a1d6301e0fcc00b36cb998dd36eedd2
# preNativeFailureFlag=0
# preNativeFailureReasonRaw=0
# preNativeStartCleanupFlag=1
# preNativeDestroyedRecordMarker=1
# postNativeFailureFlag=0
# postNativeFailureReasonRaw=0
# postNativeStartCleanupFlag=0
# postNativeDestroyedRecordMarker=1
# postNativeFailureReason=<not-applicable>
# sampledTiles=320800
# fullMapTileLayersComplete=True
# beforeScanMilliseconds=8.371
# afterScanMilliseconds=9.718
# changedLayerCells=248
# newBuildingCells=117
# replacedBuildingCells=0
# clearedBuildingCells=0
# sampledRegionComplete=True
x	y	tileId	layer	before	after
254	580	272254	logic	32768	268468224
254	580	272254	buildingId	0	21
255	580	272255	logic	32768	268468224
255	580	272255	buildingId	0	21
256	580	272256	logic	32768	268468224
256	580	272256	buildingId	0	21
257	580	272257	logic	32768	268468224
257	580	272257	buildingId	0	21
258	580	272258	logic	32768	268468224
258	580	272258	buildingId	0	21
259	580	272259	logic	32768	268468224
259	580	272259	buildingId	0	21
260	580	272260	logic	32768	268468224
260	580	272260	buildingId	0	21
254	581	272693	logic	32768	268468224
254	581	272693	buildingId	0	21
255	581	272694	logic	32768	268468224
255	581	272694	buildingId	0	21
256	581	272695	logic	32768	268468224
256	581	272695	buildingId	0	21
257	581	272696	logic	32768	268468224
257	581	272696	buildingId	0	21
258	581	272697	logic	32768	268468224
258	581	272697	buildingId	0	21
259	581	272698	logic	32768	268468224
259	581	272698	buildingId	0	21
260	581	272699	logic	0	268435456
260	581	272699	buildingId	0	21
254	582	273130	logic	32768	268468224
254	582	273130	buildingId	0	21
255	582	273131	logic	32768	268468224
255	582	273131	buildingId	0	21
256	582	273132	logic	32768	268468224
256	582	273132	buildingId	0	21
257	582	273133	logic	32768	268468224
257	582	273133	buildingId	0	21
258	582	273134	logic	32768	268468224
258	582	273134	buildingId	0	21
259	582	273135	logic	32768	268468224
259	582	273135	buildingId	0	21
260	582	273136	logic	0	268435456
260	582	273136	buildingId	0	21
261	582	273137	logic	0	1282
261	582	273137	buildingId	0	26
261	582	273137	height	80	90
261	582	273137	wallOwner	5	2
262	582	273138	logic	0	1282
262	582	273138	buildingId	0	26
262	582	273138	height	80	90
262	582	273138	wallOwner	5	2
263	582	273139	logic	0	258
263	582	273139	height	80	90
263	582	273139	wallOwner	5	2
264	582	273140	logic	0	1282
264	582	273140	buildingId	0	27
264	582	273140	height	80	90
264	582	273140	wallOwner	5	2
265	582	273141	logic	0	1282
265	582	273141	buildingId	0	27
265	582	273141	height	80	90
265	582	273141	wallOwner	5	2
254	583	273565	logic	32768	268468224
254	583	273565	buildingId	0	21
255	583	273566	logic	32768	268468224
255	583	273566	buildingId	0	21
256	583	273567	logic	32768	268468224
256	583	273567	buildingId	0	21
257	583	273568	logic	32768	268468224
257	583	273568	buildingId	0	21
258	583	273569	logic	32768	268468224
258	583	273569	buildingId	0	21
259	583	273570	logic	32768	268468224
259	583	273570	buildingId	0	21
260	583	273571	logic	0	268435456
260	583	273571	buildingId	0	21
261	583	273572	logic	0	1282
261	583	273572	buildingId	0	26
261	583	273572	height	80	90
261	583	273572	wallOwner	5	2
262	583	273573	logic	32768	34050
262	583	273573	buildingId	0	26
262	583	273573	height	80	90
262	583	273573	wallOwner	5	2
263	583	273574	logic	32768	33026
263	583	273574	height	80	90
263	583	273574	wallOwner	5	2
264	583	273575	logic	32768	34050
264	583	273575	buildingId	0	27
264	583	273575	height	80	90
264	583	273575	wallOwner	5	2
265	583	273576	logic	0	1282
265	583	273576	buildingId	0	27
265	583	273576	height	80	90
265	583	273576	wallOwner	5	2
254	584	273998	logic	32768	268468224
254	584	273998	buildingId	0	21
255	584	273999	logic	32768	268468224
255	584	273999	buildingId	0	21
256	584	274000	logic	32768	268468224
256	584	274000	buildingId	0	21
257	584	274001	logic	32768	268468224
257	584	274001	buildingId	0	21
258	584	274002	logic	32768	268468224
258	584	274002	buildingId	0	21
259	584	274003	logic	32768	268468224
259	584	274003	buildingId	0	21
260	584	274004	logic	0	268435456
260	584	274004	buildingId	0	21
261	584	274005	logic	0	258
261	584	274005	height	80	90
261	584	274005	wallOwner	5	2
262	584	274006	logic	32768	33026
262	584	274006	height	80	90
262	584	274006	wallOwner	5	2
263	584	274007	logic	32768	33026
263	584	274007	height	80	90
263	584	274007	wallOwner	5	2
264	584	274008	logic	32768	33026
264	584	274008	height	80	90
