# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Crater Lake.map
# mapFileSha256=c5d9906aa37ed96ec1cf9b3eb0c7f6fb5b3e1d8063167fe22337e69c153bb887
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=0
# playerId=3
# keepX=254
# keepY=587
# nativeOrientation=2
# scale=7
# isFree=False
# selectionPlacementState=2
# selectionAccepted=True
# selectionFinalOrientation=2
# finalCandidateId=0
# selectedCandidateId=0
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\wolf3.aivjson
# aivJsonSha256=4e2a09090a53e53639c9f8c82e63362d213d53920f327d5d08936f8c02520cb0
# preNativeFailureFlag=0
# preNativeFailureReasonRaw=0
# preNativeStartCleanupFlag=1
# preNativeDestroyedRecordMarker=1
# postNativeFailureFlag=0
# postNativeFailureReasonRaw=0
# postNativeStartCleanupFlag=0
# postNativeDestroyedRecordMarker=1
# postNativeFailureReason=<not-applicable>
# sampledTiles=320800
# fullMapTileLayersComplete=True
# beforeScanMilliseconds=8.887
# afterScanMilliseconds=10.115
# changedLayerCells=251
# newBuildingCells=117
# replacedBuildingCells=0
# clearedBuildingCells=0
# sampledRegionComplete=True
x	y	tileId	layer	before	after
256	582	273132	logic	32768	34050
256	582	273132	buildingId	0	26
256	582	273132	height	80	90
256	582	273132	wallOwner	0	2
257	582	273133	logic	32768	34050
257	582	273133	buildingId	0	26
257	582	273133	height	80	90
257	582	273133	wallOwner	0	2
258	582	273134	logic	32768	33026
258	582	273134	height	80	90
258	582	273134	wallOwner	0	2
259	582	273135	logic	32768	34050
259	582	273135	buildingId	0	27
259	582	273135	height	80	90
259	582	273135	wallOwner	0	2
260	582	273136	logic	0	1282
260	582	273136	buildingId	0	27
260	582	273136	height	80	90
260	582	273136	wallOwner	0	2
256	583	273567	logic	32768	34050
256	583	273567	buildingId	0	26
256	583	273567	height	80	90
256	583	273567	wallOwner	0	2
257	583	273568	logic	32768	34050
257	583	273568	buildingId	0	26
257	583	273568	height	80	90
257	583	273568	wallOwner	0	2
258	583	273569	logic	32768	33026
258	583	273569	height	80	90
258	583	273569	wallOwner	0	2
259	583	273570	logic	32768	34050
259	583	273570	buildingId	0	27
259	583	273570	height	80	90
259	583	273570	wallOwner	0	2
260	583	273571	logic	0	1282
260	583	273571	buildingId	0	27
260	583	273571	height	80	90
260	583	273571	wallOwner	0	2
256	584	274000	logic	32768	33026
256	584	274000	height	80	90
256	584	274000	wallOwner	0	2
257	584	274001	logic	32768	33026
257	584	274001	height	80	90
257	584	274001	wallOwner	0	2
258	584	274002	logic	32768	33026
258	584	274002	height	80	90
258	584	274002	wallOwner	0	2
259	584	274003	logic	32768	33026
259	584	274003	height	80	90
259	584	274003	wallOwner	0	2
260	584	274004	logic	0	258
260	584	274004	height	80	90
260	584	274004	wallOwner	0	2
256	585	274431	logic	32768	34050
256	585	274431	buildingId	0	28
256	585	274431	height	80	90
256	585	274431	wallOwner	0	2
257	585	274432	logic	32768	34050
257	585	274432	buildingId	0	28
257	585	274432	height	80	90
257	585	274432	wallOwner	0	2
258	585	274433	logic	32768	33026
258	585	274433	height	80	90
258	585	274433	wallOwner	0	2
259	585	274434	logic	32768	34050
259	585	274434	buildingId	0	29
259	585	274434	height	80	90
259	585	274434	wallOwner	0	2
260	585	274435	logic	0	1282
260	585	274435	buildingId	0	29
260	585	274435	height	80	90
260	585	274435	wallOwner	0	2
256	586	274860	logic	32768	34050
256	586	274860	buildingId	0	28
256	586	274860	height	80	90
256	586	274860	wallOwner	0	2
257	586	274861	logic	32768	34050
257	586	274861	buildingId	0	28
257	586	274861	height	80	90
257	586	274861	wallOwner	0	2
258	586	274862	logic	32768	33026
258	586	274862	height	80	90
258	586	274862	wallOwner	0	2
259	586	274863	logic	32768	34050
259	586	274863	buildingId	0	29
259	586	274863	height	80	90
259	586	274863	wallOwner	0	2
260	586	274864	logic	0	1282
260	586	274864	buildingId	0	29
260	586	274864	height	80	90
260	586	274864	wallOwner	0	2
254	587	275285	logic	32768	268468224
254	587	275285	buildingId	0	21
255	587	275286	logic	32768	268468224
255	587	275286	buildingId	0	21
256	587	275287	logic	32768	268468224
256	587	275287	buildingId	0	21
257	587	275288	logic	32768	268468224
257	587	275288	buildingId	0	21
258	587	275289	logic	32768	268468224
258	587	275289	buildingId	0	21
259	587	275290	logic	32768	268468224
259	587	275290	buildingId	0	21
260	587	275291	logic	0	268435456
260	587	275291	buildingId	0	21
262	587	275293	buildingId	0	25
263	587	275294	buildingId	0	25
264	587	275295	buildingId	0	25
265	587	275296	buildingId	0	25
266	587	275297	buildingId	0	25
267	587	275298	buildingId	0	25
268	587	275299	buildingId	0	25
274	587	275305	logic2	4	2
254	588	275710	logic	32768	268468224
254	588	275710	buildingId	0	21
255	588	275711	logic	32768	268468224
255	588	275711	buildingId	0	21
256	588	275712	logic	32768	268468224
256	588	275712	buildingId	0	21
257	588	275713	logic	32768	268468224
257	588	275713	buildingId	0	21
258	588	275714	logic	32768	268468224
258	588	275714	buildingId	0	21
259	588	275715	logic	32768	268468224
259	588	275715	buildingId	0	21
260	588	275716	logic	32768	268468224
260	588	275716	buildingId	0	21
262	588	275718	buildingId	0	25
263	588	275719	buildingId	0	25
264	588	275720	buildingId	0	25
265	588	275721	buildingId	0	25
266	588	275722	buildingId	0	25
267	588	275723	buildingId	0	25
268	588	275724	buildingId	0	25
274	588	275730	logic2	4	2
254	589	276133	logic	32768	268468224
254	589	276133	buildingId	0	21
255	589	276134	logic	32768	268468224
255	589	276134	buildingId	0	21
256	589	276135	logic	32768	268468224
256	589	276135	buildingId	0	21
257	589	276136	logic	32768	268468224
257	589	276136	buildingId	0	21
258	589	276137	logic	32768	268468224
258	589	276137	buildingId	0	21
259	589	276138	logic	32768	268468224
259	589	276138	buildingId	0	21
260	589	276139	logic	32768	268468224
260	589	276139	buildingId	0	21
261	589	276140	logic	32768	33792
261	589	276140	buildingId	0	24
262	589	276141	buildingId	0	25
263	589	276142	buildingId	0	25
264	589	276143	buildingId	0	25
265	589	276144	logic	32768	33792
265	589	276144	buildingId	0	25
266	589	276145	buildingId	0	25
267	589	276146	buildingId	0	25
268	589	276147	buildingId	0	25
254	590	276554	logic	32768	268468224
254	590	276554	buildingId	0	21
255	590	276555	logic	32768	268468224
255	590	276555	buildingId	0	21
256	590	276556	logic	32768	268468224
256	590	276556	buildingId	0	21
257	590	276557	logic	32768	268468224
257	590	276557	buildingId	0	21
258	590	276558	logic	32768	268468224
258	590	276558	buildingId	0	21
259	590	276559	logic	32768	268468224
259	590	276559	buildingId	0	21
260	590	276560	logic	32768	268468224
260	590	276560	buildingId	0	21
261	590	276561	buildingId	0	23
262	590	276562	buildingId	0	25
263	590	276563	buildingId	0	25
264	590	276564	logic	32768	33792
264	590	276564	buildingId	0	25
265	590	276565	logic	32768	33792
265	590	276565	buildingId	0	25
266	590	276566	logic	32768	33792
266	590	276566	buildingId	0	25
267	590	276567	buildingId	0	25
268	590	276568	buildingId	0	25
254	591	276973	logic	32768	268468224
254	591	276973	buildingId	0	21
255	591	276974	logic	32768	268468224
255	591	276974	buildingId	0	21
256	591	276975	logic	32768	268468224
256	591	276975	buildingId	0	21
257	591	276976	logic	32768	268468224
257	591	276976	buildingId	0	21
258	591	276977	logic	32768	268468224
258	591	276977	buildingId	0	21
259	591	276978	logic	32768	268468224
259	591	276978	buildingId	0	21
260	591	276979	logic	32768	268468224
260	591	276979	buildingId	0	21
