# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Crater Lake.map
# mapFileSha256=c5d9906aa37ed96ec1cf9b3eb0c7f6fb5b3e1d8063167fe22337e69c153bb887
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=0
# playerId=5
# keepX=413
# keepY=128
# nativeOrientation=4
# scale=7
# isFree=False
# selectionPlacementState=2
# selectionAccepted=True
# selectionFinalOrientation=4
# finalCandidateId=0
# selectedCandidateId=0
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\emir8.aivjson
# aivJsonSha256=c0287e57c640f05a602bd38bf49f5ee8db1101cdcdf965f8628caee49e43b7d5
# preNativeFailureFlag=0
# preNativeFailureReasonRaw=0
# preNativeStartCleanupFlag=1
# preNativeDestroyedRecordMarker=1
# postNativeFailureFlag=0
# postNativeFailureReasonRaw=0
# postNativeStartCleanupFlag=0
# postNativeDestroyedRecordMarker=1
# postNativeFailureReason=<not-applicable>
# sampledTiles=320800
# fullMapTileLayersComplete=True
# beforeScanMilliseconds=8.970
# afterScanMilliseconds=10.348
# changedLayerCells=273
# newBuildingCells=117
# replacedBuildingCells=0
# clearedBuildingCells=0
# sampledRegionComplete=True
x	y	tileId	layer	before	after
420	115	13476	logic2	64	2
420	117	13944	logic2	64	2
421	118	14182	logic2	64	2
413	120	14654	buildingId	0	43
414	120	14655	buildingId	0	43
415	120	14656	buildingId	0	43
416	120	14657	buildingId	0	43
417	120	14658	buildingId	0	43
418	120	14659	buildingId	0	43
419	120	14660	buildingId	0	43
413	121	14897	buildingId	0	43
414	121	14898	buildingId	0	43
415	121	14899	buildingId	0	43
416	121	14900	buildingId	0	43
417	121	14901	buildingId	0	43
418	121	14902	buildingId	0	43
419	121	14903	buildingId	0	43
413	122	15142	buildingId	0	43
414	122	15143	buildingId	0	43
415	122	15144	buildingId	0	43
416	122	15145	logic	32768	33792
416	122	15145	buildingId	0	43
417	122	15146	buildingId	0	43
418	122	15147	buildingId	0	43
419	122	15148	buildingId	0	43
413	123	15389	buildingId	0	43
414	123	15390	buildingId	0	43
415	123	15391	logic	0	1024
415	123	15391	buildingId	0	43
416	123	15392	logic	0	1024
416	123	15392	buildingId	0	43
417	123	15393	logic	0	1024
417	123	15393	buildingId	0	43
418	123	15394	buildingId	0	43
419	123	15395	buildingId	0	43
413	124	15638	buildingId	0	43
414	124	15639	buildingId	0	43
415	124	15640	buildingId	0	43
416	124	15641	logic	32768	33792
416	124	15641	buildingId	0	43
417	124	15642	buildingId	0	43
418	124	15643	buildingId	0	43
419	124	15644	buildingId	0	43
413	125	15889	buildingId	0	43
414	125	15890	buildingId	0	43
415	125	15891	buildingId	0	43
416	125	15892	buildingId	0	43
417	125	15893	buildingId	0	43
418	125	15894	buildingId	0	43
419	125	15895	buildingId	0	43
413	126	16142	buildingId	0	43
414	126	16143	buildingId	0	43
415	126	16144	buildingId	0	43
416	126	16145	buildingId	0	43
417	126	16146	buildingId	0	43
418	126	16147	buildingId	0	43
419	126	16148	buildingId	0	43
415	127	16399	logic	0	1024
415	127	16399	buildingId	0	42
416	127	16400	buildingId	0	41
417	127	16401	logic	0	1024
417	127	16401	buildingId	0	40
408	128	16649	logic	32768	34050
408	128	16649	buildingId	0	44
408	128	16649	height	8	18
408	128	16649	wallOwner	0	4
409	128	16650	logic	32768	34050
