# capturedAtLocal=2026-09-24T17:20:16.9717027+02:00
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Crater Lake.map
# mapFileSha256=c5d9906aa37ed96ec1cf9b3eb0c7f6fb5b3e1d8063167fe22337e69c153bb887
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=5
# candidateId=0
# aivName=Default 1
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\emir1.aivjson
# aivJsonSha256=ffa393f8dfb7899742c7647645d3cd3fa582090c7770cf9d32d89c96d46bd658
# orientation=4
# originX=363
# originY=78
# keepX=406
# keepY=121
# evaluatedCells=2616
# nativeBlockedCells=0
# resultGridBlockedCells=0
# validatorCalls=2616
# validatorBlockedCells=0
gridRow	gridColumn	worldX	worldY	rawMapper	effectiveMapper	scoreGridValue	resultGridValue	blocked
12	81	444	90	110	110	131	0	False
12	82	445	90	110	110	131	0	False
12	83	446	90	110	110	131	0	False
13	21	384	91	110	110	137	0	False
13	22	385	91	110	110	137	0	False
13	23	386	91	110	110	137	0	False
13	80	443	91	26	26	156	0	False
13	81	444	91	110	110	131	0	False
13	82	445	91	110	110	131	0	False
13	83	446	91	110	110	131	0	False
14	21	384	92	110	110	137	0	False
14	22	385	92	110	110	137	0	False
14	23	386	92	110	110	137	0	False
14	24	387	92	26	26	152	0	False
14	69	432	92	169	169	67	0	False
14	70	433	92	169	169	67	0	False
14	71	434	92	169	169	67	0	False
14	72	435	92	169	169	67	0	False
14	79	442	92	26	26	156	0	False
14	80	443	92	25	25	129	0	False
14	81	444	92	110	110	131	0	False
14	82	445	92	110	110	131	0	False
14	83	446	92	110	110	131	0	False
15	21	384	93	110	110	137	0	False
15	22	385	93	110	110	137	0	False
15	23	386	93	110	110	137	0	False
15	24	387	93	25	25	133	0	False
15	25	388	93	26	26	152	0	False
15	32	395	93	169	169	70	0	False
15	33	396	93	169	169	70	0	False
15	34	397	93	169	169	70	0	False
15	35	398	93	169	169	70	0	False
15	42	405	93	146	146	27	0	False
15	43	406	93	146	146	27	0	False
15	44	407	93	146	146	27	0	False
15	45	408	93	146	146	27	0	False
15	46	409	93	146	146	27	0	False
15	47	410	93	146	146	27	0	False
15	48	411	93	146	146	27	0	False
15	50	413	93	114	114	50	0	False
15	51	414	93	114	114	50	0	False
15	52	415	93	114	114	50	0	False
15	53	416	93	114	114	50	0	False
15	54	417	93	114	114	50	0	False
15	55	418	93	114	114	50	0	False
15	57	420	93	146	146	49	0	False
15	58	421	93	146	146	49	0	False
15	59	422	93	146	146	49	0	False
15	60	423	93	146	146	49	0	False
15	61	424	93	146	146	49	0	False
15	62	425	93	146	146	49	0	False
15	63	426	93	146	146	49	0	False
15	69	432	93	169	169	67	0	False
15	70	433	93	169	169	67	0	False
15	71	434	93	169	169	67	0	False
15	72	435	93	169	169	67	0	False
15	78	441	93	26	26	156	0	False
15	79	442	93	25	25	129	0	False
15	80	443	93	25	25	126	0	False
15	81	444	93	25	25	127	0	False
15	82	445	93	26	26	157	0	False
16	22	385	94	26	26	165	0	False
16	23	386	94	25	25	135	0	False
16	24	387	94	25	25	132	0	False
16	25	388	94	25	25	133	0	False
16	26	389	94	26	26	152	0	False
16	32	395	94	169	169	70	0	False
16	33	396	94	169	169	70	0	False
16	34	397	94	169	169	70	0	False
16	35	398	94	169	169	70	0	False
16	40	403	94	26	26	149	0	False
16	41	404	94	26	26	149	0	False
16	42	405	94	146	146	27	0	False
16	43	406	94	146	146	27	0	False
16	44	407	94	146	146	27	0	False
16	45	408	94	146	146	27	0	False
16	46	409	94	146	146	27	0	False
16	47	410	94	146	146	27	0	False
16	48	411	94	146	146	27	0	False
16	49	412	94	26	26	147	0	False
16	50	413	94	114	114	50	0	False
16	51	414	94	114	114	50	0	False
16	52	415	94	114	114	50	0	False
16	53	416	94	114	114	50	0	False
16	54	417	94	114	114	50	0	False
16	55	418	94	114	114	50	0	False
16	56	419	94	26	26	148	0	False
16	57	420	94	146	146	49	0	False
16	58	421	94	146	146	49	0	False
16	59	422	94	146	146	49	0	False
16	60	423	94	146	146	49	0	False
16	61	424	94	146	146	49	0	False
16	62	425	94	146	146	49	0	False
16	63	426	94	146	146	49	0	False
16	64	427	94	26	26	153	0	False
16	65	428	94	26	26	153	0	False
16	69	432	94	169	169	67	0	False
16	70	433	94	169	169	67	0	False
16	71	434	94	169	169	67	0	False
16	72	435	94	169	169	67	0	False
16	77	440	94	26	26	156	0	False
16	78	441	94	25	25	129	0	False
16	79	442	94	25	25	126	0	False
16	80	443	94	25	25	127	0	False
16	81	444	94	26	26	157	0	False
17	23	386	95	26	26	165	0	False
17	24	387	95	25	25	135	0	False
17	25	388	95	25	25	132	0	False
17	26	389	95	25	25	133	0	False
