# capturedAtLocal=2026-09-24T17:23:20.4870442+02:00
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Crater Lake.map
# mapFileSha256=c5d9906aa37ed96ec1cf9b3eb0c7f6fb5b3e1d8063167fe22337e69c153bb887
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=7
# orientation=4
# keepX=379
# keepY=353
# occupiedCells=6878
tileId	buildingId	ownerId	terrainFlags
11239	679	0	33792
11240	679	0	33792
11241	679	0	33792
11242	679	0	33792
11257	681	0	33792
11258	681	0	33792
11259	681	0	33792
11260	681	0	33792
11452	679	0	33792
11453	679	0	33792
11454	679	0	33792
11455	679	0	33792
11470	681	0	33792
11471	681	0	33792
11472	681	0	33792
11473	681	0	33792
11484	721	0	33792
11485	721	0	268468224
11486	721	0	33792
11653	720	0	33792
11654	720	0	268468224
11655	720	0	33792
11662	678	0	33792
11663	678	0	33792
11664	678	0	33792
11665	678	0	33792
11667	679	0	33792
11668	679	0	33792
11669	679	0	33792
11670	679	0	33792
11675	709	4	33024
11676	709	4	33024
11677	709	4	33024
11678	709	4	33024
11679	709	4	33024
11680	709	4	33024
11681	709	4	33024
11685	681	0	33792
11686	681	0	33792
11687	681	0	33792
11688	681	0	33792
11699	721	0	268468224
11700	721	0	268468224
11701	721	0	268468224
11870	720	0	268468224
11871	720	0	268468224
11872	720	0	268468224
11879	678	0	33792
11880	678	0	33792
11881	678	0	33792
11882	678	0	33792
11884	679	0	33792
11885	679	0	33792
11886	679	0	33792
11887	679	0	33792
11892	709	4	33024
11893	709	4	33024
11894	709	4	33024
11895	709	4	33024
11896	709	4	33024
11897	709	4	33024
11898	709	4	33024
11902	681	0	33792
11903	681	0	33792
11904	681	0	33792
11905	681	0	33792
11906	680	0	33792
11907	680	0	33792
11908	680	0	33792
11909	680	0	33792
11916	721	0	33792
11917	721	0	268468224
11918	721	0	33792
12089	720	0	33792
12090	720	0	268468224
12091	720	0	33792
12098	678	0	33792
12099	678	0	33792
12100	678	0	33792
12101	678	0	33792
12111	709	4	33024
12112	709	4	33024
12113	709	4	33024
12114	709	4	33024
12115	709	4	33024
12116	709	4	33024
12117	709	4	33024
12125	680	0	33792
12126	680	0	33792
12127	680	0	33792
12128	680	0	33792
12319	678	0	33792
12320	678	0	33792
12321	678	0	33792
12322	678	0	33792
12332	709	4	33024
12333	709	4	33024
12334	709	4	33024
12335	709	4	33024
12336	709	4	33024
12337	709	4	33024
12338	709	4	33024
12346	680	0	33792
12347	680	0	33792
12348	680	0	33792
12349	680	0	33792
12555	709	4	33024
12556	709	4	33024
12557	709	4	33024
12558	709	4	33024
12559	709	4	33024
12560	709	4	33024
12561	709	4	33024
12569	680	0	33792
12570	680	0	33792
12571	680	0	33792
12572	680	0	33792
12780	709	4	33024
12781	709	4	33024
12782	709	4	33024
12783	709	4	33024
12784	709	4	33024
12785	709	4	33024
12786	709	4	33024
13007	709	4	33024
13008	709	4	33024
13009	709	4	33024
13010	709	4	33024
13011	709	4	33024
13012	709	4	33024
13013	709	4	33024
13243	675	0	33792
13244	675	0	33792
13245	675	0	33792
13246	675	0	33792
13247	675	0	33792
13259	718	0	33792
13260	718	0	33792
13261	718	0	33792
13262	718	0	33792
13263	718	0	33792
13264	718	0	33792
13441	719	0	33792
13442	719	0	33792
13443	719	0	33792
13444	719	0	33792
13470	710	0	33792
13471	710	0	33792
13472	710	0	33792
13473	710	0	33792
13474	675	0	33792
