# capturedAtLocal=2026-09-24T17:25:15.1819201+02:00
# mapLoadSequence=8
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Craggy Cliffs.map
# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# selectionFound=True
# finalCandidateId=0
# finalOrientation=2
# nativeStartOptions=mode=99,option2F0=0,option2F4=1,option2F8=4294967297
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\jewel1.aivjson
# aivJsonSha256=2965e5952a8b14dd373d05084628ded036ecc933fd2f39b5e4c6cd4df62b7c9d
# keepX=506
# keepY=352
# captureSequence=6
# playerId=7
# frameCount=125
# pointerProblemFrames=0
# captureErrorFrames=0
# highlightedMapperFrames=1
# layerChanges=3535
# buildingRecordChanges=31
# beforeCaptureMilliseconds=982,2
# afterCaptureMilliseconds=1284,5
# frameSnapshotsComplete=True
# provenanceComplete=True
captureFrameNumber	startedAtLocal	completedAtLocal	selectionSequence	frameIndex	activeLayoutIndex	mapper	highlightedMapper	status	helper	positionCount	firstPositionIndex	restrictedMode	freeOrForced	returnValue	placementStateAddress	pointerConsistent	added	removed	replaced	changed	captureError
1	2026-09-24T17:25:15.1819201+02:00	2026-09-24T17:25:15.1889310+02:00	55	0	6	0	False	0	0	0	0	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
2	2026-09-24T17:25:15.1986765+02:00	2026-09-24T17:25:15.2056877+02:00	55	1	6	0	False	0	0	0	0	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
3	2026-09-24T17:25:15.2157302+02:00	2026-09-24T17:25:15.2227355+02:00	55	2	6	0	False	0	0	0	0	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
4	2026-09-24T17:25:15.2322679+02:00	2026-09-24T17:25:15.2397728+02:00	55	3	6	52	True	1	0	1	124722	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
5	2026-09-24T17:25:15.2503198+02:00	2026-09-24T17:25:15.2578316+02:00	55	4	6	0	False	0	0	0	0	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
6	2026-09-24T17:25:15.2673389+02:00	2026-09-24T17:25:15.2753654+02:00	55	5	6	77	False	1	0	1	139990	0	1	1	0x7FFAB49AEDB0	True	25	0	0	25	
7	2026-09-24T17:25:15.2853909+02:00	2026-09-24T17:25:15.2934364+02:00	55	6	6	0	False	0	0	0	0	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
8	2026-09-24T17:25:15.3036706+02:00	2026-09-24T17:25:15.3116820+02:00	55	7	6	25	False	1	0	10	537	0	1	1	0x7FFAB49AEDB0	True	0	0	0	0	
9	2026-09-24T17:25:15.3212663+02:00	2026-09-24T17:25:15.3295255+02:00	55	8	6	25	False	1	0	9	424	0	1	0	0x7FFAB49AEDB0	True	0	117	0	117	
10	2026-09-24T17:25:15.3390295+02:00	2026-09-24T17:25:15.3474609+02:00	55	9	6	25	False	1	0	14	433	0	1	1	0x7FFAB49AEDB0	True	0	0	0	0	
11	2026-09-24T17:25:15.3579679+02:00	2026-09-24T17:25:15.3653890+02:00	55	10	6	54	False	1	0	1	149096	0	1	0	0x7FFAB49AEDB0	True	0	219	0	219	
12	2026-09-24T17:25:15.3755166+02:00	2026-09-24T17:25:15.3832462+02:00	55	11	6	81	False	1	0	1	120546	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
13	2026-09-24T17:25:15.3937533+02:00	2026-09-24T17:25:15.4008431+02:00	55	12	6	25	False	1	0	19	211	0	1	1	0x7FFAB49AEDB0	True	0	0	0	0	
14	2026-09-24T17:25:15.4117109+02:00	2026-09-24T17:25:15.4192789+02:00	55	13	6	25	False	1	0	19	447	0	1	1	0x7FFAB49AEDB0	True	0	0	0	0	
15	2026-09-24T17:25:15.4292976+02:00	2026-09-24T17:25:15.4378045+02:00	55	14	6	25	False	1	0	9	466	0	1	1	0x7FFAB49AEDB0	True	0	0	0	0	
16	2026-09-24T17:25:15.4493102+02:00	2026-09-24T17:25:15.4573243+02:00	55	15	6	25	False	1	0	13	239	0	1	1	0x7FFAB49AEDB0	True	0	0	0	0	
17	2026-09-24T17:25:15.4673382+02:00	2026-09-24T17:25:15.4753954+02:00	55	16	6	25	False	1	0	11	252	0	1	1	0x7FFAB49AEDB0	True	0	0	0	0	
18	2026-09-24T17:25:15.4853574+02:00	2026-09-24T17:25:15.4923615+02:00	55	17	6	25	False	1	0	9	230	0	1	1	0x7FFAB49AEDB0	True	0	0	0	0	
19	2026-09-24T17:25:15.5037799+02:00	2026-09-24T17:25:15.5115869+02:00	55	18	6	82	False	1	0	1	131902	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
20	2026-09-24T17:25:15.5211484+02:00	2026-09-24T17:25:15.5291634+02:00	55	19	6	50	False	1	0	1	129014	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
21	2026-09-24T17:25:15.5376717+02:00	2026-09-24T17:25:15.5456902+02:00	55	20	6	54	False	1	0	1	139973	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
22	2026-09-24T17:25:15.5546938+02:00	2026-09-24T17:25:15.5627064+02:00	55	21	6	25	False	1	0	23	110	0	1	1	0x7FFAB49AEDB0	True	0	0	0	0	
23	2026-09-24T17:25:15.5722870+02:00	2026-09-24T17:25:15.5803078+02:00	55	22	6	25	False	1	0	10	33	0	1	1	0x7FFAB49AEDB0	True	0	0	0	0	
24	2026-09-24T17:25:15.5895344+02:00	2026-09-24T17:25:15.5975601+02:00	55	23	6	0	False	0	0	0	0	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
25	2026-09-24T17:25:15.6071950+02:00	2026-09-24T17:25:15.6142732+02:00	55	24	6	85	False	1	0	1	126158	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
26	2026-09-24T17:25:15.6238878+02:00	2026-09-24T17:25:15.6314427+02:00	55	25	6	83	False	1	0	1	134822	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
27	2026-09-24T17:25:15.6409491+02:00	2026-09-24T17:25:15.6489631+02:00	55	26	6	0	False	0	0	0	0	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
28	2026-09-24T17:25:15.6584897+02:00	2026-09-24T17:25:15.6655622+02:00	55	27	6	54	False	1	0	1	140720	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
29	2026-09-24T17:25:15.6754901+02:00	2026-09-24T17:25:15.6832227+02:00	55	28	6	0	False	0	0	0	0	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
30	2026-09-24T17:25:15.6932344+02:00	2026-09-24T17:25:15.7002974+02:00	55	29	6	0	False	0	0	0	0	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
31	2026-09-24T17:25:15.7108044+02:00	2026-09-24T17:25:15.7180952+02:00	55	30	6	84	False	1	0	1	122632	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
32	2026-09-24T17:25:15.7280337+02:00	2026-09-24T17:25:15.7360487+02:00	55	31	6	0	False	0	0	0	0	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
33	2026-09-24T17:25:15.7455607+02:00	2026-09-24T17:25:15.7535037+02:00	55	32	6	76	False	1	0	1	144522	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
34	2026-09-24T17:25:15.7640305+02:00	2026-09-24T17:25:15.7715379+02:00	55	33	6	95	False	1	0	1	133331	0	1	1	0x7FFAB49AEDB0	True	36	0	0	36	
35	2026-09-24T17:25:15.7815245+02:00	2026-09-24T17:25:15.7890145+02:00	55	34	6	82	False	1	0	1	131896	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
