# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Crater Lake.map
# mapFileSha256=c5d9906aa37ed96ec1cf9b3eb0c7f6fb5b3e1d8063167fe22337e69c153bb887
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=6
# keepX=194
# keepY=407
# nativeOrientation=6
# scale=7
# isFree=False
# selectionPlacementState=1
# selectionAccepted=True
# selectionFinalOrientation=6
# finalCandidateId=0
# selectedCandidateId=0
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\abbot2.aivjson
# aivJsonSha256=486ff3d30ba01c407d039d367a53b1391fd9f2feff500eb82e420cb297afdf07
# preNativeFailureFlag=0
# preNativeFailureReasonRaw=7
# preNativeStartCleanupFlag=1
# preNativeDestroyedRecordMarker=0
# postNativeFailureFlag=0
# postNativeFailureReasonRaw=7
# postNativeStartCleanupFlag=0
# postNativeDestroyedRecordMarker=1
# postNativeFailureReason=<not-applicable>
# sampledTiles=320800
# fullMapTileLayersComplete=True
# beforeScanMilliseconds=7.652
# afterScanMilliseconds=9.109
# changedLayerCells=324
# newBuildingCells=117
# replacedBuildingCells=0
# clearedBuildingCells=0
# sampledRegionComplete=True
x	y	tileId	layer	before	after
200	401	161399	logic2	8	2
199	402	162195	logic2	8	2
200	402	162196	logic2	8	2
201	402	162197	logic2	8	2
200	403	162991	logic2	8	2
201	403	162992	logic2	8	2
202	403	162993	logic2	8	2
201	404	163785	logic2	8	2
202	404	163786	logic2	8	2
203	404	163787	logic2	8	2
201	405	164576	logic2	8	2
202	405	164577	logic2	8	2
203	405	164578	logic2	8	2
204	405	164579	logic2	8	2
181	406	165345	logic2	8	2
201	406	165365	logic2	8	2
202	406	165366	logic2	8	2
203	406	165367	logic2	8	2
204	406	165368	logic2	8	2
205	406	165369	logic2	8	2
180	407	166131	logic2	8	2
181	407	166132	logic2	8	2
186	407	166137	buildingId	0	766
187	407	166138	logic2	8	2
187	407	166138	buildingId	0	766
188	407	166139	buildingId	0	766
189	407	166140	buildingId	0	766
190	407	166141	buildingId	0	766
191	407	166142	buildingId	0	766
192	407	166143	buildingId	0	766
194	407	166145	logic	32768	268468224
194	407	166145	buildingId	0	762
195	407	166146	logic	32768	268468224
195	407	166146	buildingId	0	762
196	407	166147	logic	32768	268468224
196	407	166147	buildingId	0	762
197	407	166148	logic	32768	268468224
197	407	166148	buildingId	0	762
198	407	166149	logic	32768	268468224
198	407	166149	buildingId	0	762
199	407	166150	logic	32768	268468224
199	407	166150	buildingId	0	762
200	407	166151	logic	32768	268468224
200	407	166151	buildingId	0	762
201	407	166152	logic2	8	2
202	407	166153	logic2	8	2
203	407	166154	logic2	8	2
