# capturedAtLocal=2026-09-24T22:56:33.3618569+02:00
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\CrusadesCrossing.map
# mapFileSha256=b5ab8bcc5c4c2783697eef4bbe692ae829b2c7d59c4aff540f79e140c49417fe
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=0
# playerId=2
# candidateId=0
# aivName=Default 7
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\wolf7.aivjson
# aivJsonSha256=35909eb65c1a5fb6e1b5c739e473a35f333a4db849d1604dc9e723c60198b17f
# orientation=4
# originX=467
# originY=452
# keepX=510
# keepY=495
# evaluatedCells=5536
# nativeBlockedCells=317
# resultGridBlockedCells=317
# validatorCalls=5536
# validatorBlockedCells=317
# preValidatorBlockedCells=0
gridRow	gridColumn	worldX	worldY	rawMapper	effectiveMapper	scoreGridValue	resultGridValue	blocked
4	5	472	456	99	99	232	0	False
4	6	473	456	99	99	232	0	False
4	21	488	456	176	176	159	0	False
4	22	489	456	176	176	159	0	False
4	23	490	456	176	176	158	0	False
4	24	491	456	176	176	158	0	False
4	26	493	456	-1	86	69	0	False
4	27	494	456	-1	86	69	0	False
4	28	495	456	-1	86	69	1	True
4	29	496	456	-1	86	69	1	True
4	30	497	456	-1	86	69	1	True
4	32	499	456	-1	86	7	0	False
4	33	500	456	-1	86	7	0	False
4	34	501	456	-1	86	7	0	False
4	35	502	456	-1	86	7	0	False
4	36	503	456	-1	86	7	0	False
4	37	504	456	-1	86	7	0	False
4	38	505	456	-1	86	7	0	False
4	39	506	456	-1	86	7	0	False
4	40	507	456	-1	86	7	0	False
4	41	508	456	-1	86	7	0	False
4	44	511	456	330	330	26	0	False
4	45	512	456	330	330	26	0	False
4	46	513	456	330	330	26	0	False
4	48	515	456	330	330	25	0	False
4	49	516	456	330	330	25	0	False
4	50	517	456	330	330	25	0	False
4	53	520	456	306	306	160	1	True
4	54	521	456	306	306	160	1	True
4	55	522	456	306	306	161	1	True
4	56	523	456	306	306	161	1	True
4	57	524	456	306	306	163	0	False
4	58	525	456	306	306	163	0	False
4	59	526	456	306	306	162	1	True
4	60	527	456	306	306	162	1	True
4	61	528	456	306	306	164	1	True
4	62	529	456	306	306	164	1	True
4	63	530	456	306	306	165	1	True
4	64	531	456	306	306	165	1	True
4	65	532	456	306	306	166	1	True
4	66	533	456	306	306	166	0	False
4	67	534	456	306	306	167	0	False
4	68	535	456	306	306	167	0	False
4	70	537	456	-1	86	8	0	False
4	71	538	456	-1	86	8	0	False
4	72	539	456	-1	86	8	0	False
4	73	540	456	-1	86	8	0	False
4	74	541	456	-1	86	8	0	False
4	75	542	456	-1	86	8	0	False
4	76	543	456	-1	86	8	0	False
4	77	544	456	-1	86	8	1	True
4	78	545	456	-1	86	8	0	False
4	79	546	456	-1	86	8	0	False
5	6	473	457	99	99	232	0	False
5	11	478	457	96	96	36	0	False
5	12	479	457	96	96	36	0	False
5	13	480	457	96	96	36	0	False
5	14	481	457	96	96	36	0	False
5	15	482	457	96	96	36	0	False
5	16	483	457	96	96	36	0	False
5	17	484	457	96	96	36	0	False
5	18	485	457	96	96	36	0	False
5	19	486	457	96	96	36	0	False
5	21	488	457	176	176	159	0	False
5	22	489	457	176	176	159	0	False
5	23	490	457	176	176	158	0	False
5	24	491	457	176	176	158	0	False
5	26	493	457	-1	86	69	0	False
5	27	494	457	-1	86	69	0	False
5	28	495	457	-1	86	69	1	True
5	29	496	457	-1	86	69	1	True
5	30	497	457	-1	86	69	1	True
5	32	499	457	-1	86	7	0	False
5	33	500	457	-1	86	7	0	False
5	34	501	457	-1	86	7	0	False
5	35	502	457	-1	86	7	0	False
5	36	503	457	-1	86	7	0	False
5	37	504	457	-1	86	7	0	False
5	38	505	457	-1	86	7	0	False
5	39	506	457	-1	86	7	0	False
