# capturedAtLocal=2026-09-24T23:02:08.8319591+02:00
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Reed Sea.map
# mapFileSha256=c6abe1353e0ea1829b626408b4f3807e4473b428ae239fd15a52e9745fff8116
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=2
# candidateId=0
# aivName=Default 2
# aivJson=AIV/SK_WOLF_1.aivjson
# aivJsonSha256=<not-available>
# orientation=6
# originX=360
# originY=477
# keepX=403
# keepY=520
# evaluatedCells=4759
# nativeBlockedCells=847
# resultGridBlockedCells=824
# validatorCalls=4736
# validatorBlockedCells=824
# preValidatorBlockedCells=23
gridRow	gridColumn	worldX	worldY	rawMapper	effectiveMapper	scoreGridValue	resultGridValue	blocked
1	19	379	478	99	99	441	1	True
2	21	381	479	99	99	441	1	True
2	23	383	479	99	99	441	1	True
3	4	364	480	99	99	441	1	True
3	24	384	480	99	99	274	1	True
3	28	388	480	99	99	274	1	True
3	40	400	480	99	99	441	1	True
3	55	415	480	99	99	441	1	True
4	2	362	481	99	99	274	1	True
4	3	363	481	99	99	274	1	True
4	4	364	481	99	99	441	1	True
4	6	366	481	99	99	441	1	True
4	10	370	481	99	99	441	1	True
4	14	374	481	99	99	441	1	True
4	15	375	481	99	99	441	1	True
4	17	377	481	99	99	441	1	True
4	18	378	481	99	99	441	1	True
4	19	379	481	99	99	441	1	True
4	20	380	481	99	99	274	1	True
4	25	385	481	99	99	441	1	True
4	28	388	481	99	99	441	1	True
4	34	394	481	99	99	274	1	True
4	40	400	481	99	99	441	1	True
4	52	412	481	99	99	441	0	False
5	5	365	482	99	99	441	1	True
5	7	367	482	99	99	441	1	True
5	8	368	482	99	99	274	1	True
5	13	373	482	99	99	441	1	True
5	18	378	482	99	99	274	1	True
5	22	382	482	99	99	274	1	True
5	26	386	482	99	99	441	1	True
5	28	388	482	99	99	441	1	True
5	30	390	482	99	99	441	1	True
5	42	402	482	99	99	441	1	True
5	49	409	482	99	99	274	1	True
5	50	410	482	99	99	274	0	False
5	53	413	482	99	99	274	0	False
5	56	416	482	99	99	274	1	True
6	8	368	483	99	99	274	1	True
6	10	370	483	99	99	274	1	True
6	27	387	483	99	99	274	1	True
6	33	393	483	99	99	441	1	True
6	40	400	483	99	99	274	1	True
6	47	407	483	99	99	441	0	False
7	4	364	484	99	99	274	1	True
7	9	369	484	99	99	274	1	True
7	10	370	484	99	99	274	1	True
7	11	371	484	99	99	441	1	True
7	13	373	484	99	99	441	1	True
7	18	378	484	99	99	441	1	True
7	20	380	484	99	99	274	1	True
7	28	388	484	99	99	274	1	True
7	36	396	484	99	99	441	1	True
7	37	397	484	99	99	441	1	True
7	39	399	484	99	99	274	1	True
7	40	400	484	99	99	441	0	False
7	41	401	484	99	99	274	1	True
7	47	407	484	99	99	441	0	False
7	58	418	484	99	99	441	0	False
7	60	420	484	99	99	274	0	False
8	10	370	485	99	99	441	1	True
8	13	373	485	99	99	274	1	True
8	22	382	485	99	99	274	1	True
8	31	391	485	99	99	274	0	False
8	36	396	485	99	99	274	1	True
8	38	398	485	99	99	441	1	True
8	43	403	485	99	99	274	1	True
8	48	408	485	99	99	274	0	False
8	50	410	485	99	99	274	0	False
