# capturedAtLocal=2026-09-24T23:03:01.0536311+02:00
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Reed Sea.map
# mapFileSha256=c6abe1353e0ea1829b626408b4f3807e4473b428ae239fd15a52e9745fff8116
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=5
# candidateId=0
# aivName=Default 7
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\marshal7.aivjson
# aivJsonSha256=384abb01e5b4c0ff36ceddeac64c3a8dc8151d0113d1189a32d8c7feb9bb337f
# orientation=6
# originX=227
# originY=394
# keepX=270
# keepY=437
# evaluatedCells=1770
# nativeBlockedCells=485
# resultGridBlockedCells=25
# validatorCalls=1310
# validatorBlockedCells=25
# preValidatorBlockedCells=460
gridRow	gridColumn	worldX	worldY	rawMapper	effectiveMapper	scoreGridValue	resultGridValue	blocked
36	40	267	430	54	54	79	1	True
36	41	268	430	54	54	79	1	True
36	42	269	430	54	54	79	0	False
36	43	270	430	54	54	79	0	False
36	46	273	430	54	54	77	0	False
36	47	274	430	54	54	77	0	False
36	48	275	430	54	54	77	1	True
36	49	276	430	54	54	77	0	False
37	35	262	431	54	54	78	1	True
37	36	263	431	54	54	78	1	True
37	37	264	431	54	54	78	1	True
37	38	265	431	54	54	78	1	True
37	40	267	431	54	54	79	0	False
37	41	268	431	54	54	79	0	False
37	42	269	431	54	54	79	0	False
37	43	270	431	54	54	79	0	False
37	46	273	431	54	54	77	1	True
37	47	274	431	54	54	77	0	False
37	48	275	431	54	54	77	0	False
37	49	276	431	54	54	77	0	False
37	65	292	431	106	106	57	0	False
37	66	293	431	106	106	57	0	False
38	35	262	432	54	54	78	1	True
38	36	263	432	54	54	78	1	True
38	37	264	432	54	54	78	1	True
38	38	265	432	54	54	78	0	False
38	40	267	432	54	54	79	0	False
38	41	268	432	54	54	79	0	False
38	42	269	432	54	54	79	0	False
38	43	270	432	54	54	79	0	False
38	46	273	432	54	54	77	1	True
38	47	274	432	54	54	77	0	False
38	48	275	432	54	54	77	0	False
38	49	276	432	54	54	77	0	False
38	53	280	432	106	106	57	0	False
38	54	281	432	106	106	57	0	False
38	57	284	432	106	106	57	0	False
38	58	285	432	106	106	57	0	False
38	61	288	432	106	106	57	0	False
38	63	290	432	106	106	57	0	False
38	64	291	432	106	106	57	0	False
38	65	292	432	106	106	57	0	False
38	66	293	432	106	106	57	0	False
39	35	262	433	54	54	78	0	False
39	36	263	433	54	54	78	0	False
39	37	264	433	54	54	78	0	False
39	38	265	433	54	54	78	0	False
39	40	267	433	54	54	79	0	False
39	41	268	433	54	54	79	1	True
39	42	269	433	54	54	79	1	True
39	43	270	433	54	54	79	0	False
39	46	273	433	54	54	77	1	True
39	47	274	433	54	54	77	0	False
39	48	275	433	54	54	77	0	False
39	49	276	433	54	54	77	0	False
39	52	279	433	106	106	56	0	False
39	53	280	433	106	106	56	0	False
39	54	281	433	106	106	56	0	False
39	55	282	433	106	106	56	0	False
39	56	283	433	106	106	56	0	False
39	57	284	433	106	106	56	0	False
39	58	285	433	106	106	56	0	False
39	59	286	433	106	106	56	0	False
39	60	287	433	106	106	56	0	False
39	61	288	433	106	106	56	0	False
39	62	289	433	106	106	56	0	False
39	63	290	433	106	106	56	0	False
39	64	291	433	106	106	56	0	False
39	65	292	433	106	106	57	0	False
39	66	293	433	106	106	57	0	False
40	35	262	434	54	54	78	0	False
40	36	263	434	54	54	78	0	False
40	37	264	434	54	54	78	0	False
40	38	265	434	54	54	78	0	False
40	51	278	434	106	106	57	0	False
40	52	279	434	106	106	56	0	False
40	53	280	434	106	106	56	0	False
40	54	281	434	106	106	56	0	False
40	55	282	434	106	106	56	0	False
40	56	283	434	106	106	56	0	False
40	57	284	434	106	106	56	0	False
40	58	285	434	106	106	56	0	False
40	59	286	434	106	106	56	0	False
40	60	287	434	106	106	56	0	False
40	61	288	434	106	106	56	0	False
40	62	289	434	106	106	56	0	False
40	63	290	434	106	106	56	0	False
40	64	291	434	106	106	56	0	False
40	65	292	434	106	106	57	0	False
41	26	253	435	112	112	53	0	False
41	27	254	435	112	112	53	0	False
41	28	255	435	112	112	53	1	True
41	29	256	435	112	112	53	1	True
41	30	257	435	112	112	53	1	True
41	40	267	435	26	26	45	0	False
41	41	268	435	26	26	46	1	True
41	42	269	435	26	26	46	1	True
41	43	270	435	26	26	46	0	False
41	44	271	435	26	26	46	0	False
41	45	272	435	26	26	46	0	False
41	46	273	435	26	26	46	0	False
41	47	274	435	26	26	46	0	False
41	48	275	435	26	26	46	0	False
41	49	276	435	26	26	46	0	False
41	50	277	435	26	26	46	0	False
41	51	278	435	26	26	46	0	False
41	52	279	435	106	106	56	0	False
41	53	280	435	106	106	56	0	False
41	54	281	435	106	106	56	0	False
41	55	282	435	106	106	56	0	False
41	56	283	435	106	106	56	0	False
41	57	284	435	106	106	56	0	False
41	58	285	435	106	106	56	0	False
41	59	286	435	106	106	56	0	False
41	60	287	435	106	106	56	0	False
41	61	288	435	106	106	56	0	False
41	62	289	435	106	106	56	0	False
41	63	290	435	106	106	56	0	False
41	64	291	435	106	106	56	0	False
41	65	292	435	106	106	57	0	False
42	26	253	436	112	112	53	0	False
42	27	254	436	112	112	53	0	False
42	28	255	436	112	112	53	0	False
42	29	256	436	112	112	53	0	False
42	30	257	436	112	112	53	0	False
42	31	258	436	26	26	51	0	False
42	32	259	436	26	26	51	0	False
42	33	260	436	26	26	51	0	False
42	34	261	436	26	26	51	1	True
42	35	262	436	26	26	51	0	False
42	36	263	436	26	26	51	1	True
42	37	264	436	26	26	51	0	False
42	38	265	436	26	26	51	0	False
42	39	266	436	26	26	51	0	False
42	40	267	436	26	26	45	0	False
42	41	268	436	25	25	29	0	False
42	42	269	436	25	25	30	1	True
