# capturedAtLocal=2026-09-24T23:03:02.3458028+02:00
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Reed Sea.map
# mapFileSha256=c6abe1353e0ea1829b626408b4f3807e4473b428ae239fd15a52e9745fff8116
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=6
# candidateId=0
# aivName=Default 1
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\emir1.aivjson
# aivJsonSha256=ffa393f8dfb7899742c7647645d3cd3fa582090c7770cf9d32d89c96d46bd658
# orientation=2
# originX=445
# originY=278
# keepX=488
# keepY=321
# evaluatedCells=2616
# nativeBlockedCells=394
# resultGridBlockedCells=3
# validatorCalls=2225
# validatorBlockedCells=3
# preValidatorBlockedCells=391
gridRow	gridColumn	worldX	worldY	rawMapper	effectiveMapper	scoreGridValue	resultGridValue	blocked
13	60	505	291	169	169	68	0	False
13	61	506	291	169	169	68	0	False
13	62	507	291	169	169	68	0	False
13	63	508	291	169	169	68	0	False
14	54	499	292	110	110	141	0	False
14	55	500	292	110	110	141	0	False
14	56	501	292	110	110	141	0	False
14	60	505	292	169	169	68	0	False
14	61	506	292	169	169	68	0	False
14	62	507	292	169	169	68	0	False
14	63	508	292	169	169	68	0	False
15	54	499	293	110	110	141	0	False
15	55	500	293	110	110	141	0	False
15	56	501	293	110	110	141	0	False
15	60	505	293	169	169	68	0	False
15	61	506	293	169	169	68	0	False
15	62	507	293	169	169	68	0	False
15	63	508	293	169	169	68	0	False
16	54	499	294	110	110	141	0	False
16	55	500	294	110	110	141	0	False
16	56	501	294	110	110	141	0	False
16	60	505	294	169	169	68	0	False
16	61	506	294	169	169	68	0	False
16	62	507	294	169	169	68	0	False
16	63	508	294	169	169	68	0	False
17	54	499	295	26	26	172	0	False
17	55	500	295	25	25	140	0	False
17	56	501	295	26	26	170	0	False
18	47	492	296	324	324	196	1	True
18	48	493	296	324	324	196	0	False
18	49	494	296	324	324	196	0	False
18	50	495	296	324	324	196	0	False
18	51	496	296	324	324	196	0	False
18	54	499	296	26	26	172	0	False
18	55	500	296	25	25	140	0	False
18	56	501	296	26	26	170	0	False
18	59	504	296	324	324	63	0	False
18	60	505	296	324	324	63	0	False
18	61	506	296	324	324	63	0	False
18	62	507	296	324	324	63	0	False
