# capturedAtLocal=2026-09-24T22:59:06.3697561+02:00
# mapLoadSequence=2
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\CrusadesCrossing.map
# mapFileSha256=b5ab8bcc5c4c2783697eef4bbe692ae829b2c7d59c4aff540f79e140c49417fe
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# selectionFound=True
# finalCandidateId=0
# finalOrientation=2
# nativeStartOptions=mode=99,option2F0=0,option2F4=1,option2F8=4294967297
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\wolf7.aivjson
# aivJsonSha256=35909eb65c1a5fb6e1b5c739e473a35f333a4db849d1604dc9e723c60198b17f
# keepX=510
# keepY=495
# captureSequence=1
# playerId=2
# frameCount=591
# pointerProblemFrames=0
# captureErrorFrames=0
# highlightedMapperFrames=6
# layerChanges=11693
# buildingRecordChanges=420
# beforeCaptureMilliseconds=4687,9
# afterCaptureMilliseconds=5391,3
# frameSnapshotsComplete=True
# provenanceComplete=True
captureFrameNumber	startedAtLocal	completedAtLocal	selectionSequence	frameIndex	activeLayoutIndex	mapper	highlightedMapper	status	helper	positionCount	firstPositionIndex	restrictedMode	freeOrForced	returnValue	placementStateAddress	pointerConsistent	added	removed	replaced	changed	captureError
1	2026-09-24T22:59:06.3697561+02:00	2026-09-24T22:59:06.3807682+02:00	8	0	1	0	False	0	0	0	0	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
2	2026-09-24T22:59:06.3922739+02:00	2026-09-24T22:59:06.4002861+02:00	8	1	1	0	False	0	0	0	0	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
3	2026-09-24T22:59:06.4097931+02:00	2026-09-24T22:59:06.4183035+02:00	8	2	1	80	False	1	0	1	236232	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
4	2026-09-24T22:59:06.4278072+02:00	2026-09-24T22:59:06.4358085+02:00	8	3	1	80	False	1	0	1	236228	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
5	2026-09-24T22:59:06.4443156+02:00	2026-09-24T22:59:06.4528208+02:00	8	4	1	52	True	1	0	1	229108	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
6	2026-09-24T22:59:06.4613268+02:00	2026-09-24T22:59:06.4698328+02:00	8	5	1	52	True	1	0	1	226048	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
7	2026-09-24T22:59:06.4788446+02:00	2026-09-24T22:59:06.4873485+02:00	8	6	1	52	True	1	0	1	226053	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
8	2026-09-24T22:59:06.4963518+02:00	2026-09-24T22:59:06.5048721+02:00	8	7	1	87	False	1	0	1	224232	0	1	1	0x7FFABBF8EDB0	True	100	0	0	100	
9	2026-09-24T22:59:06.5143815+02:00	2026-09-24T22:59:06.5228684+02:00	8	8	1	86	False	1	0	1	246424	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
10	2026-09-24T22:59:06.5313773+02:00	2026-09-24T22:59:06.5398832+02:00	8	9	1	54	False	1	0	1	217890	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
11	2026-09-24T22:59:06.5493906+02:00	2026-09-24T22:59:06.5563895+02:00	8	10	1	54	False	1	0	1	220442	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
12	2026-09-24T22:59:06.5658960+02:00	2026-09-24T22:59:06.5734027+02:00	8	11	1	54	False	1	0	1	240864	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
13	2026-09-24T22:59:06.5824132+02:00	2026-09-24T22:59:06.5899203+02:00	8	12	1	54	False	1	0	1	238584	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
14	2026-09-24T22:59:06.5984263+02:00	2026-09-24T22:59:06.6074385+02:00	8	13	1	54	False	1	0	1	240868	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
15	2026-09-24T22:59:06.6164421+02:00	2026-09-24T22:59:06.6239475+02:00	8	14	1	54	False	1	0	1	238588	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
16	2026-09-24T22:59:06.6334546+02:00	2026-09-24T22:59:06.6409631+02:00	8	15	1	54	False	1	0	1	236272	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
17	2026-09-24T22:59:06.6504681+02:00	2026-09-24T22:59:06.6579745+02:00	8	16	1	54	False	1	0	1	236276	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
18	2026-09-24T22:59:06.6674787+02:00	2026-09-24T22:59:06.6754799+02:00	8	17	1	54	False	1	0	1	233932	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
19	2026-09-24T22:59:06.6845106+02:00	2026-09-24T22:59:06.6930178+02:00	8	18	1	54	False	1	0	1	233928	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
20	2026-09-24T22:59:06.7030302+02:00	2026-09-24T22:59:06.7105341+02:00	8	19	1	77	False	1	0	1	236818	0	1	1	0x7FFABBF8EDB0	True	25	0	0	25	
21	2026-09-24T22:59:06.7220436+02:00	2026-09-24T22:59:06.7305484+02:00	8	20	1	81	False	1	0	1	222958	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
22	2026-09-24T22:59:06.7400552+02:00	2026-09-24T22:59:06.7485632+02:00	8	21	1	54	False	1	0	1	222312	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
23	2026-09-24T22:59:06.7570667+02:00	2026-09-24T22:59:06.7660701+02:00	8	22	1	81	False	1	0	1	222962	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
24	2026-09-24T22:59:06.7755761+02:00	2026-09-24T22:59:06.7836105+02:00	8	23	1	330	False	1	0	1	220419	0	1	1	0x7FFABBF8EDB0	True	9	0	0	9	
25	2026-09-24T22:59:06.7931163+02:00	2026-09-24T22:59:06.8011288+02:00	8	24	1	54	False	1	0	1	224808	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
26	2026-09-24T22:59:06.8106345+02:00	2026-09-24T22:59:06.8181404+02:00	8	25	1	330	False	1	0	1	230960	0	1	1	0x7FFABBF8EDB0	True	9	0	0	9	
27	2026-09-24T22:59:06.8276410+02:00	2026-09-24T22:59:06.8356457+02:00	8	26	1	330	False	1	0	1	228544	0	1	1	0x7FFABBF8EDB0	True	9	0	0	9	
28	2026-09-24T22:59:06.8451516+02:00	2026-09-24T22:59:06.8536571+02:00	8	27	1	92	False	1	0	1	233314	0	1	1	0x7FFABBF8EDB0	True	25	0	0	25	
29	2026-09-24T22:59:06.8631629+02:00	2026-09-24T22:59:06.8716687+02:00	8	28	1	144	False	1	0	1	229094	0	1	1	0x7FFABBF8EDB0	True	25	0	0	25	
30	2026-09-24T22:59:06.8807185+02:00	2026-09-24T22:59:06.8892252+02:00	8	29	1	144	False	1	0	1	229126	0	1	1	0x7FFABBF8EDB0	True	25	0	0	25	
31	2026-09-24T22:59:06.8987303+02:00	2026-09-24T22:59:06.9072360+02:00	8	30	1	25	False	1	0	19	1542	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
32	2026-09-24T22:59:06.9157420+02:00	2026-09-24T22:59:06.9242477+02:00	8	31	1	25	False	1	0	28	1561	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
33	2026-09-24T22:59:06.9327540+02:00	2026-09-24T22:59:06.9412614+02:00	8	32	1	25	False	1	0	18	1665	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
34	2026-09-24T22:59:06.9507664+02:00	2026-09-24T22:59:06.9592722+02:00	8	33	1	25	False	1	0	14	2018	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
35	2026-09-24T22:59:06.9687801+02:00	2026-09-24T22:59:06.9757794+02:00	8	34	1	25	False	1	0	28	2497	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
36	2026-09-24T22:59:06.9858235+02:00	2026-09-24T22:59:06.9923298+02:00	8	35	1	25	False	1	0	13	2005	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
37	2026-09-24T22:59:07.0013422+02:00	2026-09-24T22:59:07.0078457+02:00	8	36	1	96	False	1	0	1	207384	0	1	1	0x7FFABBF8EDB0	True	81	0	0	81	
38	2026-09-24T22:59:07.0183556+02:00	2026-09-24T22:59:07.0273553+02:00	8	37	1	83	False	1	0	1	222953	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
39	2026-09-24T22:59:07.0358607+02:00	2026-09-24T22:59:07.0433671+02:00	8	38	1	84	False	1	0	1	229114	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
40	2026-09-24T22:59:07.0528747+02:00	2026-09-24T22:59:07.0603800+02:00	8	39	1	50	False	1	0	1	222948	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
41	2026-09-24T22:59:07.0698856+02:00	2026-09-24T22:59:07.0773885+02:00	8	40	1	76	False	1	0	1	220438	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
42	2026-09-24T22:59:07.0874229+02:00	2026-09-24T22:59:07.0944266+02:00	8	41	1	25	False	1	0	19	1485	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
43	2026-09-24T22:59:07.1039442+02:00	2026-09-24T22:59:07.1114523+02:00	8	42	1	111	False	1	0	1	214627	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
44	2026-09-24T22:59:07.1199560+02:00	2026-09-24T22:59:07.1274601+02:00	8	43	1	25	False	1	0	29	1379	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
45	2026-09-24T22:59:07.1354639+02:00	2026-09-24T22:59:07.1429699+02:00	8	44	1	111	False	1	0	1	214660	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
46	2026-09-24T22:59:07.1524747+02:00	2026-09-24T22:59:07.1599814+02:00	8	45	1	25	False	1	0	19	1627	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
47	2026-09-24T22:59:07.1694868+02:00	2026-09-24T22:59:07.1769899+02:00	8	46	1	25	False	1	0	14	2060	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
48	2026-09-24T22:59:07.1854990+02:00	2026-09-24T22:59:07.1940054+02:00	8	47	1	111	False	1	0	1	240280	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
49	2026-09-24T22:59:07.2030164+02:00	2026-09-24T22:59:07.2115232+02:00	8	48	1	25	False	1	0	29	2583	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
50	2026-09-24T22:59:07.2210293+02:00	2026-09-24T22:59:07.2285349+02:00	8	49	1	111	False	1	0	1	240247	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
51	2026-09-24T22:59:07.2380417+02:00	2026-09-24T22:59:07.2460411+02:00	8	50	1	25	False	1	0	14	1963	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
52	2026-09-24T22:59:07.2555458+02:00	2026-09-24T22:59:07.2630519+02:00	8	51	1	25	False	1	0	19	1504	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
53	2026-09-24T22:59:07.2725580+02:00	2026-09-24T22:59:07.2795679+02:00	8	52	1	25	False	1	0	29	1408	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
