# capturedAtLocal=2026-09-24T22:59:22.9297026+02:00
# mapLoadSequence=2
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\CrusadesCrossing.map
# mapFileSha256=b5ab8bcc5c4c2783697eef4bbe692ae829b2c7d59c4aff540f79e140c49417fe
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# selectionFound=True
# finalCandidateId=0
# finalOrientation=0
# nativeStartOptions=mode=99,option2F0=0,option2F4=1,option2F8=4294967297
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\emir1.aivjson
# aivJsonSha256=ffa393f8dfb7899742c7647645d3cd3fa582090c7770cf9d32d89c96d46bd658
# keepX=441
# keepY=636
# captureSequence=4
# playerId=6
# frameCount=205
# pointerProblemFrames=0
# captureErrorFrames=0
# highlightedMapperFrames=2
# layerChanges=4450
# buildingRecordChanges=70
# beforeCaptureMilliseconds=1627,0
# afterCaptureMilliseconds=1888,4
# frameSnapshotsComplete=True
# provenanceComplete=True
captureFrameNumber	startedAtLocal	completedAtLocal	selectionSequence	frameIndex	activeLayoutIndex	mapper	highlightedMapper	status	helper	positionCount	firstPositionIndex	restrictedMode	freeOrForced	returnValue	placementStateAddress	pointerConsistent	added	removed	replaced	changed	captureError
1	2026-09-24T22:59:22.9297026+02:00	2026-09-24T22:59:22.9377023+02:00	12	0	5	0	False	0	0	0	0	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
2	2026-09-24T22:59:22.9462081+02:00	2026-09-24T22:59:22.9557148+02:00	12	1	5	0	False	0	0	0	0	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
3	2026-09-24T22:59:22.9647272+02:00	2026-09-24T22:59:22.9722322+02:00	12	2	5	52	True	1	0	1	296199	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
4	2026-09-24T22:59:22.9817380+02:00	2026-09-24T22:59:22.9902439+02:00	12	3	5	52	True	1	0	1	297744	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
5	2026-09-24T22:59:23.0012552+02:00	2026-09-24T22:59:23.0097620+02:00	12	4	5	80	False	1	0	1	299533	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
6	2026-09-24T22:59:23.0192656+02:00	2026-09-24T22:59:23.0277715+02:00	12	5	5	80	False	1	0	1	300685	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
7	2026-09-24T22:59:23.0367749+02:00	2026-09-24T22:59:23.0452803+02:00	12	6	5	86	False	1	0	1	296800	0	1	1	0x7FFABBF8EDB0	True	100	0	0	100	
8	2026-09-24T22:59:23.0547865+02:00	2026-09-24T22:59:23.0632938+02:00	12	7	5	77	False	1	0	1	290906	0	1	1	0x7FFABBF8EDB0	True	25	0	0	25	
9	2026-09-24T22:59:23.0718008+02:00	2026-09-24T22:59:23.0803065+02:00	12	8	5	54	False	1	0	1	301785	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
10	2026-09-24T22:59:23.0933188+02:00	2026-09-24T22:59:23.1008250+02:00	12	9	5	54	False	1	0	1	302873	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
11	2026-09-24T22:59:23.1103345+02:00	2026-09-24T22:59:23.1193555+02:00	12	10	5	54	False	1	0	1	302877	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
12	2026-09-24T22:59:23.1288613+02:00	2026-09-24T22:59:23.1378618+02:00	12	11	5	54	False	1	0	1	302881	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
13	2026-09-24T22:59:23.1463679+02:00	2026-09-24T22:59:23.1558743+02:00	12	12	5	54	False	1	0	1	301793	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
