# capturedAtLocal=2026-09-24T23:01:31.1428027+02:00
# mapLoadSequence=4
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\CrusadesCrossing.map
# mapFileSha256=b5ab8bcc5c4c2783697eef4bbe692ae829b2c7d59c4aff540f79e140c49417fe
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# selectionFound=True
# finalCandidateId=0
# finalOrientation=4
# nativeStartOptions=mode=99,option2F0=0,option2F4=1,option2F8=4294967297
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\jewel5.aivjson
# aivJsonSha256=fe15c680d1515b8b401f1edb19b99f79cdb726e0169cf2db096df6c139a46eb8
# keepX=338
# keepY=181
# captureSequence=6
# playerId=8
# frameCount=141
# pointerProblemFrames=0
# captureErrorFrames=0
# highlightedMapperFrames=1
# layerChanges=4532
# buildingRecordChanges=52
# beforeCaptureMilliseconds=1034,2
# afterCaptureMilliseconds=1164,7
# frameSnapshotsComplete=True
# provenanceComplete=True
captureFrameNumber	startedAtLocal	completedAtLocal	selectionSequence	frameIndex	activeLayoutIndex	mapper	highlightedMapper	status	helper	positionCount	firstPositionIndex	restrictedMode	freeOrForced	returnValue	placementStateAddress	pointerConsistent	added	removed	replaced	changed	captureError
1	2026-09-24T23:01:31.1428027+02:00	2026-09-24T23:01:31.1498028+02:00	28	0	7	0	False	0	0	0	0	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
2	2026-09-24T23:01:31.1593100+02:00	2026-09-24T23:01:31.1658161+02:00	28	1	7	0	False	0	0	0	0	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
3	2026-09-24T23:01:31.1743227+02:00	2026-09-24T23:01:31.1833931+02:00	28	2	7	80	False	1	0	1	30220	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
4	2026-09-24T23:01:31.1914022+02:00	2026-09-24T23:01:31.1994030+02:00	28	3	7	52	True	1	0	1	35278	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
5	2026-09-24T23:01:31.2079102+02:00	2026-09-24T23:01:31.2154166+02:00	28	4	7	77	False	1	0	1	40350	0	1	1	0x7FFABBF8EDB0	True	25	0	0	25	
6	2026-09-24T23:01:31.2239229+02:00	2026-09-24T23:01:31.2314274+02:00	28	5	7	54	False	1	0	1	32352	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
7	2026-09-24T23:01:31.2394283+02:00	2026-09-24T23:01:31.2479346+02:00	28	6	7	54	False	1	0	1	33808	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
8	2026-09-24T23:01:31.2554402+02:00	2026-09-24T23:01:31.2629467+02:00	28	7	7	87	False	1	0	1	45723	0	1	1	0x7FFABBF8EDB0	True	100	0	0	100	
9	2026-09-24T23:01:31.2714506+02:00	2026-09-24T23:01:31.2784517+02:00	28	8	7	25	False	1	0	11	184	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
10	2026-09-24T23:01:31.2869685+02:00	2026-09-24T23:01:31.2940114+02:00	28	9	7	25	False	1	0	12	201	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
11	2026-09-24T23:01:31.3025170+02:00	2026-09-24T23:01:31.3095172+02:00	28	10	7	25	False	1	0	6	195	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
12	2026-09-24T23:01:31.3180262+02:00	2026-09-24T23:01:31.3255317+02:00	28	11	7	25	False	1	0	2	313	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
13	2026-09-24T23:01:31.3330368+02:00	2026-09-24T23:01:31.3410357+02:00	28	12	7	81	False	1	0	1	43213	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
14	2026-09-24T23:01:31.3485417+02:00	2026-09-24T23:01:31.3560474+02:00	28	13	7	50	False	1	0	1	45336	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
15	2026-09-24T23:01:31.3635527+02:00	2026-09-24T23:01:31.3695543+02:00	28	14	7	82	False	1	0	1	47487	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
16	2026-09-24T23:01:31.3790612+02:00	2026-09-24T23:01:31.3865787+02:00	28	15	7	25	False	1	0	9	465	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
17	2026-09-24T23:01:31.3940843+02:00	2026-09-24T23:01:31.4000848+02:00	28	16	7	25	False	1	0	5	122	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
18	2026-09-24T23:01:31.4091629+02:00	2026-09-24T23:01:31.4156682+02:00	28	17	7	25	False	1	0	20	318	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
19	2026-09-24T23:01:31.4241746+02:00	2026-09-24T23:01:31.4343446+02:00	28	18	7	54	False	1	0	1	30574	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
20	2026-09-24T23:01:31.4428499+02:00	2026-09-24T23:01:31.4578640+02:00	28	19	7	25	False	1	0	27	492	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
21	2026-09-24T23:01:31.4653706+02:00	2026-09-24T23:01:31.4718762+02:00	28	20	7	25	False	1	0	9	561	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
22	2026-09-24T23:01:31.4803819+02:00	2026-09-24T23:01:31.4878948+02:00	28	21	7	85	False	1	0	1	41583	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
23	2026-09-24T23:01:31.4964001+02:00	2026-09-24T23:01:31.5039076+02:00	28	22	7	25	False	1	0	17	387	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
24	2026-09-24T23:01:31.5124144+02:00	2026-09-24T23:01:31.5194141+02:00	28	23	7	25	False	1	0	7	268	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
25	2026-09-24T23:01:31.5279210+02:00	2026-09-24T23:01:31.5354262+02:00	28	24	7	25	False	1	0	7	261	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
26	2026-09-24T23:01:31.5429337+02:00	2026-09-24T23:01:31.5509322+02:00	28	25	7	25	False	1	0	16	91	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
27	2026-09-24T23:01:31.5584378+02:00	2026-09-24T23:01:31.5659457+02:00	28	26	7	25	False	1	0	15	107	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
28	2026-09-24T23:01:31.5744504+02:00	2026-09-24T23:01:31.5809560+02:00	28	27	7	54	False	1	0	1	30578	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
29	2026-09-24T23:01:31.5889680+02:00	2026-09-24T23:01:31.5954737+02:00	28	28	7	25	False	1	0	21	608	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
30	2026-09-24T23:01:31.6039792+02:00	2026-09-24T23:01:31.6124849+02:00	28	29	7	25	False	1	0	7	519	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
31	2026-09-24T23:01:31.6209868+02:00	2026-09-24T23:01:31.6269904+02:00	28	30	7	25	False	1	0	13	452	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
32	2026-09-24T23:01:31.6344951+02:00	2026-09-24T23:01:31.6409983+02:00	28	31	7	146	False	1	0	1	33045	0	1	1	0x7FFABBF8EDB0	True	49	0	0	49	
33	2026-09-24T23:01:31.6500020+02:00	2026-09-24T23:01:31.6575078+02:00	28	32	7	85	False	1	0	1	41579	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
34	2026-09-24T23:01:31.6650153+02:00	2026-09-24T23:01:31.6715202+02:00	28	33	7	25	False	1	0	5	382	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
35	2026-09-24T23:01:31.6800238+02:00	2026-09-24T23:01:31.6870392+02:00	28	34	7	145	False	1	0	1	38773	0	1	1	0x7FFABBF8EDB0	True	25	0	0	25	
36	2026-09-24T23:01:31.6945444+02:00	2026-09-24T23:01:31.7010489+02:00	28	35	7	25	False	1	0	1	375	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
37	2026-09-24T23:01:31.7100531+02:00	2026-09-24T23:01:31.7175581+02:00	28	36	7	25	False	1	0	1	359	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
38	2026-09-24T23:01:31.7250633+02:00	2026-09-24T23:01:31.7315681+02:00	28	37	7	25	False	1	0	4	355	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
39	2026-09-24T23:01:31.7395693+02:00	2026-09-24T23:01:31.7460750+02:00	28	38	7	25	False	1	0	10	688	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
40	2026-09-24T23:01:31.7545794+02:00	2026-09-24T23:01:31.7610822+02:00	28	39	7	113	False	1	0	1	48368	0	1	1	0x7FFABBF8EDB0	True	36	0	0	36	
41	2026-09-24T23:01:31.7700858+02:00	2026-09-24T23:01:31.7765912+02:00	28	40	7	54	False	1	0	1	35675	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
42	2026-09-24T23:01:31.7846042+02:00	2026-09-24T23:01:31.7911094+02:00	28	41	7	83	False	1	0	1	45330	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
43	2026-09-24T23:01:31.7996152+02:00	2026-09-24T23:01:31.8061213+02:00	28	42	7	95	False	1	0	1	28180	0	1	1	0x7FFABBF8EDB0	True	36	0	0	36	
44	2026-09-24T23:01:31.8146297+02:00	2026-09-24T23:01:31.8211323+02:00	28	43	7	113	False	1	0	1	34563	0	1	1	0x7FFABBF8EDB0	True	36	0	0	36	
45	2026-09-24T23:01:31.8291358+02:00	2026-09-24T23:01:31.8366411+02:00	28	44	7	79	False	1	0	1	40328	0	1	1	0x7FFABBF8EDB0	True	100	0	0	100	
46	2026-09-24T23:01:31.8441482+02:00	2026-09-24T23:01:31.8511476+02:00	28	45	7	25	False	1	0	13	161	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
47	2026-09-24T23:01:31.8596533+02:00	2026-09-24T23:01:31.8661595+02:00	28	46	7	25	False	1	0	5	174	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
48	2026-09-24T23:01:31.8746654+02:00	2026-09-24T23:01:31.8811727+02:00	28	47	7	25	False	1	0	1	312	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
49	2026-09-24T23:01:31.8881842+02:00	2026-09-24T23:01:31.8956898+02:00	28	48	7	25	False	1	0	20	292	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
50	2026-09-24T23:01:31.9031958+02:00	2026-09-24T23:01:31.9116999+02:00	28	49	7	25	False	1	0	10	440	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
51	2026-09-24T23:01:31.9197013+02:00	2026-09-24T23:01:31.9272074+02:00	28	50	7	50	False	1	0	1	43648	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
52	2026-09-24T23:01:31.9367135+02:00	2026-09-24T23:01:31.9442207+02:00	28	51	7	76	False	1	0	1	33427	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
53	2026-09-24T23:01:31.9527260+02:00	2026-09-24T23:01:31.9597262+02:00	28	52	7	114	False	1	0	1	39514	0	1	1	0x7FFABBF8EDB0	True	36	0	0	36	
54	2026-09-24T23:01:31.9672319+02:00	2026-09-24T23:01:31.9757378+02:00	28	53	7	25	False	1	0	2	450	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
55	2026-09-24T23:01:31.9837520+02:00	2026-09-24T23:01:31.9917642+02:00	28	54	7	25	False	1	0	1	474	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
56	2026-09-24T23:01:31.9997662+02:00	2026-09-24T23:01:32.0062734+02:00	28	55	7	25	False	1	0	6	475	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
57	2026-09-24T23:01:32.0147781+02:00	2026-09-24T23:01:32.0232841+02:00	28	56	7	25	False	1	0	11	481	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
58	2026-09-24T23:01:32.0317901+02:00	2026-09-24T23:01:32.0377906+02:00	28	57	7	25	False	1	0	10	632	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
59	2026-09-24T23:01:32.0452971+02:00	2026-09-24T23:01:32.0528021+02:00	28	58	7	25	False	1	0	8	642	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
60	2026-09-24T23:01:32.0613042+02:00	2026-09-24T23:01:32.0693079+02:00	28	59	7	54	False	1	0	1	30583	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
61	2026-09-24T23:01:32.0768141+02:00	2026-09-24T23:01:32.0838282+02:00	28	60	7	54	False	1	0	1	31999	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
