# capturedAtLocal=2026-09-24T23:02:08.8534852+02:00
# mapLoadSequence=6
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Reed Sea.map
# mapFileSha256=c6abe1353e0ea1829b626408b4f3807e4473b428ae239fd15a52e9745fff8116
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# selectionFound=True
# finalCandidateId=0
# finalOrientation=0
# nativeStartOptions=mode=99,option2F0=0,option2F4=1,option2F8=4294967297
# aivJson=AIV/SK_WOLF_1.aivjson
# aivJsonSha256=<not-available>
# keepX=403
# keepY=520
# captureSequence=1
# playerId=2
# frameCount=442
# pointerProblemFrames=0
# captureErrorFrames=0
# highlightedMapperFrames=6
# layerChanges=9623
# buildingRecordChanges=216
# beforeCaptureMilliseconds=3318,8
# afterCaptureMilliseconds=3865,6
# frameSnapshotsComplete=True
# provenanceComplete=False
captureFrameNumber	startedAtLocal	completedAtLocal	selectionSequence	frameIndex	activeLayoutIndex	mapper	highlightedMapper	status	helper	positionCount	firstPositionIndex	restrictedMode	freeOrForced	returnValue	placementStateAddress	pointerConsistent	added	removed	replaced	changed	captureError
1	2026-09-24T23:02:08.8534852+02:00	2026-09-24T23:02:08.8629961+02:00	35	0	1	0	False	0	0	0	0	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
2	2026-09-24T23:02:08.8719960+02:00	2026-09-24T23:02:08.8801786+02:00	35	1	1	0	False	0	0	0	0	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
3	2026-09-24T23:02:08.8896854+02:00	2026-09-24T23:02:08.8976958+02:00	35	2	1	52	True	1	0	1	246281	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
4	2026-09-24T23:02:08.9072062+02:00	2026-09-24T23:02:08.9157145+02:00	35	3	1	52	True	1	0	1	248986	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
5	2026-09-24T23:02:08.9242244+02:00	2026-09-24T23:02:08.9327296+02:00	35	4	1	80	False	1	0	1	242399	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
6	2026-09-24T23:02:08.9422361+02:00	2026-09-24T23:02:08.9502417+02:00	35	5	1	80	False	1	0	1	244623	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
7	2026-09-24T23:02:08.9597492+02:00	2026-09-24T23:02:08.9682611+02:00	35	6	1	81	False	1	0	1	247358	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
8	2026-09-24T23:02:08.9777688+02:00	2026-09-24T23:02:08.9862776+02:00	35	7	1	81	False	1	0	1	249510	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
9	2026-09-24T23:02:08.9952841+02:00	2026-09-24T23:02:09.0033251+02:00	35	8	1	87	False	1	0	1	262709	0	1	1	0x7FFABBF8EDB0	True	100	0	0	100	
10	2026-09-24T23:02:09.0128298+02:00	2026-09-24T23:02:09.0208315+02:00	35	9	1	86	False	1	0	1	262727	0	1	1	0x7FFABBF8EDB0	True	100	0	0	100	
11	2026-09-24T23:02:09.0303410+02:00	2026-09-24T23:02:09.0388490+02:00	35	10	1	88	False	1	0	1	262719	0	1	1	0x7FFABBF8EDB0	True	50	0	0	50	
12	2026-09-24T23:02:09.0483595+02:00	2026-09-24T23:02:09.0568683+02:00	35	11	1	77	False	1	0	1	250579	0	1	1	0x7FFABBF8EDB0	True	25	0	0	25	
13	2026-09-24T23:02:09.0663779+02:00	2026-09-24T23:02:09.0738895+02:00	35	12	1	54	False	1	0	1	260757	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
14	2026-09-24T23:02:09.0833949+02:00	2026-09-24T23:02:09.0918988+02:00	35	13	1	54	False	1	0	1	262705	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
15	2026-09-24T23:02:09.1019172+02:00	2026-09-24T23:02:09.1099224+02:00	35	14	1	54	False	1	0	1	262701	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
16	2026-09-24T23:02:09.1194286+02:00	2026-09-24T23:02:09.1279411+02:00	35	15	1	54	False	1	0	1	262697	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
17	2026-09-24T23:02:09.1364366+02:00	2026-09-24T23:02:09.1449453+02:00	35	16	1	54	False	1	0	1	264609	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
18	2026-09-24T23:02:09.1540038+02:00	2026-09-24T23:02:09.1655122+02:00	35	17	1	54	False	1	0	1	264613	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
19	2026-09-24T23:02:09.1750198+02:00	2026-09-24T23:02:09.1835260+02:00	35	18	1	54	False	1	0	1	264617	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
20	2026-09-24T23:02:09.1940328+02:00	2026-09-24T23:02:09.2030513+02:00	35	19	1	54	False	1	0	1	260753	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
21	2026-09-24T23:02:09.2125519+02:00	2026-09-24T23:02:09.2220601+02:00	35	20	1	54	False	1	0	1	260761	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
22	2026-09-24T23:02:09.2320654+02:00	2026-09-24T23:02:09.2466171+02:00	35	21	1	54	False	1	0	1	254217	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
23	2026-09-24T23:02:09.2561240+02:00	2026-09-24T23:02:09.2646320+02:00	35	22	1	330	False	1	0	1	253209	0	1	1	0x7FFABBF8EDB0	True	9	0	0	9	
24	2026-09-24T23:02:09.2731367+02:00	2026-09-24T23:02:09.2811388+02:00	35	23	1	330	False	1	0	1	234949	0	1	1	0x7FFABBF8EDB0	True	9	0	0	9	
25	2026-09-24T23:02:09.2896457+02:00	2026-09-24T23:02:09.2976558+02:00	35	24	1	330	False	1	0	1	234961	0	1	1	0x7FFABBF8EDB0	True	9	0	0	9	
26	2026-09-24T23:02:09.3071624+02:00	2026-09-24T23:02:09.3146694+02:00	35	25	1	92	False	1	0	1	258323	0	1	1	0x7FFABBF8EDB0	True	25	0	0	25	
27	2026-09-24T23:02:09.3231743+02:00	2026-09-24T23:02:09.3311769+02:00	35	26	1	25	False	1	0	10	1236	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
28	2026-09-24T23:02:09.3406838+02:00	2026-09-24T23:02:09.3491910+02:00	35	27	1	25	False	1	0	27	1484	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
29	2026-09-24T23:02:09.3586975+02:00	2026-09-24T23:02:09.3672043+02:00	35	28	1	25	False	1	0	5	901	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
30	2026-09-24T23:02:09.3767135+02:00	2026-09-24T23:02:09.3842208+02:00	35	29	1	25	False	1	0	9	906	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
31	2026-09-24T23:02:09.3937254+02:00	2026-09-24T23:02:09.4012302+02:00	35	30	1	25	False	1	0	3	928	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
32	2026-09-24T23:02:09.4122417+02:00	2026-09-24T23:02:09.4202469+02:00	35	31	1	25	False	1	0	37	942	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
33	2026-09-24T23:02:09.4297535+02:00	2026-09-24T23:02:09.4382605+02:00	35	32	1	25	False	1	0	6	1840	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
34	2026-09-24T23:02:09.4467678+02:00	2026-09-24T23:02:09.4552770+02:00	35	33	1	25	False	1	0	4	2147	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
35	2026-09-24T23:02:09.4637812+02:00	2026-09-24T23:02:09.4722855+02:00	35	34	1	25	False	1	0	4	2143	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
36	2026-09-24T23:02:09.4802906+02:00	2026-09-24T23:02:09.4887977+02:00	35	35	1	25	False	1	0	5	1894	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
37	2026-09-24T23:02:09.4978166+02:00	2026-09-24T23:02:09.5053158+02:00	35	36	1	144	False	1	0	1	231999	0	1	1	0x7FFABBF8EDB0	True	25	0	0	25	
