# capturedAtLocal=2026-09-24T23:02:20.8082317+02:00
# mapLoadSequence=6
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Reed Sea.map
# mapFileSha256=c6abe1353e0ea1829b626408b4f3807e4473b428ae239fd15a52e9745fff8116
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# selectionFound=True
# finalCandidateId=0
# finalOrientation=6
# nativeStartOptions=mode=99,option2F0=0,option2F4=1,option2F8=4294967297
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\marshal7.aivjson
# aivJsonSha256=384abb01e5b4c0ff36ceddeac64c3a8dc8151d0113d1189a32d8c7feb9bb337f
# keepX=270
# keepY=437
# captureSequence=3
# playerId=5
# frameCount=80
# pointerProblemFrames=0
# captureErrorFrames=0
# highlightedMapperFrames=2
# layerChanges=2052
# buildingRecordChanges=41
# beforeCaptureMilliseconds=594,9
# afterCaptureMilliseconds=675,9
# frameSnapshotsComplete=True
# provenanceComplete=True
captureFrameNumber	startedAtLocal	completedAtLocal	selectionSequence	frameIndex	activeLayoutIndex	mapper	highlightedMapper	status	helper	positionCount	firstPositionIndex	restrictedMode	freeOrForced	returnValue	placementStateAddress	pointerConsistent	added	removed	replaced	changed	captureError
1	2026-09-24T23:02:20.8082317+02:00	2026-09-24T23:02:20.8157358+02:00	38	0	4	0	False	0	0	0	0	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
2	2026-09-24T23:02:20.8237687+02:00	2026-09-24T23:02:20.8307696+02:00	38	1	4	0	False	0	0	0	0	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
3	2026-09-24T23:02:20.8392757+02:00	2026-09-24T23:02:20.8472988+02:00	38	2	4	80	False	1	0	1	205077	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
4	2026-09-24T23:02:20.8553139+02:00	2026-09-24T23:02:20.8638332+02:00	38	3	4	77	False	1	0	1	208452	0	1	1	0x7FFABBF8EDB0	True	25	0	0	25	
5	2026-09-24T23:02:20.8723380+02:00	2026-09-24T23:02:20.8793486+02:00	38	4	4	52	True	1	0	1	197476	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
6	2026-09-24T23:02:20.8888639+02:00	2026-09-24T23:02:20.8958752+02:00	38	5	4	52	True	1	0	1	200961	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
7	2026-09-24T23:02:20.9048878+02:00	2026-09-24T23:02:20.9113934+02:00	38	6	4	54	False	1	0	1	188915	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
8	2026-09-24T23:02:20.9209135+02:00	2026-09-24T23:02:20.9269288+02:00	38	7	4	54	False	1	0	1	191803	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
9	2026-09-24T23:02:20.9364427+02:00	2026-09-24T23:02:20.9434605+02:00	38	8	4	54	False	1	0	1	194659	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
10	2026-09-24T23:02:20.9524598+02:00	2026-09-24T23:02:20.9599759+02:00	38	9	4	54	False	1	0	1	197483	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
11	2026-09-24T23:02:20.9674854+02:00	2026-09-24T23:02:20.9745113+02:00	38	10	4	54	False	1	0	1	200275	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
12	2026-09-24T23:02:20.9830151+02:00	2026-09-24T23:02:20.9905303+02:00	38	11	4	54	False	1	0	1	203035	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
13	2026-09-24T23:02:20.9980424+02:00	2026-09-24T23:02:21.0055487+02:00	38	12	4	50	False	1	0	1	211772	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
14	2026-09-24T23:02:21.0140688+02:00	2026-09-24T23:02:21.0210753+02:00	38	13	4	50	False	1	0	1	198171	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
15	2026-09-24T23:02:21.0300989+02:00	2026-09-24T23:02:21.0371115+02:00	38	14	4	84	False	1	0	1	200955	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
16	2026-09-24T23:02:21.0461282+02:00	2026-09-24T23:02:21.0526441+02:00	38	15	4	83	False	1	0	1	203707	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
17	2026-09-24T23:02:21.0636643+02:00	2026-09-24T23:02:21.0701706+02:00	38	16	4	81	False	1	0	1	212436	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
18	2026-09-24T23:02:21.0791828+02:00	2026-09-24T23:02:21.0866891+02:00	38	17	4	87	False	1	0	1	198864	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
19	2026-09-24T23:02:21.0947005+02:00	2026-09-24T23:02:21.1012060+02:00	38	18	4	76	False	1	0	1	206427	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
20	2026-09-24T23:02:21.1102169+02:00	2026-09-24T23:02:21.1182298+02:00	38	19	4	76	False	1	0	1	209115	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
21	2026-09-24T23:02:21.1262624+02:00	2026-09-24T23:02:21.1332744+02:00	38	20	4	92	False	1	0	1	205744	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
22	2026-09-24T23:02:21.1407787+02:00	2026-09-24T23:02:21.1477930+02:00	38	21	4	65	False	1	0	1	209780	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
23	2026-09-24T23:02:21.1568026+02:00	2026-09-24T23:02:21.1648257+02:00	38	22	4	25	False	1	0	32	295	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
24	2026-09-24T23:02:21.1733321+02:00	2026-09-24T23:02:21.1808371+02:00	38	23	4	25	False	1	0	28	366	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
25	2026-09-24T23:02:21.1893437+02:00	2026-09-24T23:02:21.1968652+02:00	38	24	4	145	False	1	0	1	215702	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
26	2026-09-24T23:02:21.2053741+02:00	2026-09-24T23:02:21.2123832+02:00	38	25	4	25	False	1	0	3	419	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
27	2026-09-24T23:02:21.2203862+02:00	2026-09-24T23:02:21.2269019+02:00	38	26	4	0	False	0	0	0	419	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
28	2026-09-24T23:02:21.2359152+02:00	2026-09-24T23:02:21.2429251+02:00	38	27	4	145	False	1	0	1	193935	0	1	1	0x7FFABBF8EDB0	True	25	0	0	25	
29	2026-09-24T23:02:21.2514324+02:00	2026-09-24T23:02:21.2584469+02:00	38	28	4	25	False	1	0	2	293	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
30	2026-09-24T23:02:21.2659560+02:00	2026-09-24T23:02:21.2739673+02:00	38	29	4	25	False	1	0	9	156	0	1	1	0x7FFABBF8EDB0	True	0	3	0	3	
31	2026-09-24T23:02:21.2824714+02:00	2026-09-24T23:02:21.2889868+02:00	38	30	4	25	False	1	0	8	165	0	1	1	0x7FFABBF8EDB0	True	0	1	0	1	
32	2026-09-24T23:02:21.2980077+02:00	2026-09-24T23:02:21.3060183+02:00	38	31	4	88	False	1	0	1	195349	0	1	1	0x7FFABBF8EDB0	True	50	0	0	50	
33	2026-09-24T23:02:21.3140293+02:00	2026-09-24T23:02:21.3200287+02:00	38	32	4	0	False	0	0	0	0	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
34	2026-09-24T23:02:21.3295458+02:00	2026-09-24T23:02:21.3370503+02:00	38	33	4	0	False	0	0	0	0	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
35	2026-09-24T23:02:21.3445685+02:00	2026-09-24T23:02:21.3510754+02:00	38	34	4	50	False	1	0	1	192499	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
36	2026-09-24T23:02:21.3605920+02:00	2026-09-24T23:02:21.3680971+02:00	38	35	4	84	False	1	0	1	189619	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
37	2026-09-24T23:02:21.3771154+02:00	2026-09-24T23:02:21.3841282+02:00	38	36	4	83	False	1	0	1	215059	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
38	2026-09-24T23:02:21.3936380+02:00	2026-09-24T23:02:21.4001412+02:00	38	37	4	0	False	0	0	0	0	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
39	2026-09-24T23:02:21.4081558+02:00	2026-09-24T23:02:21.4156637+02:00	38	38	4	76	False	1	0	1	212443	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
40	2026-09-24T23:02:21.4246837+02:00	2026-09-24T23:02:21.4316878+02:00	38	39	4	76	False	1	0	1	209795	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
41	2026-09-24T23:02:21.4406973+02:00	2026-09-24T23:02:21.4472038+02:00	38	40	4	92	False	1	0	1	205742	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
42	2026-09-24T23:02:21.4552143+02:00	2026-09-24T23:02:21.4632387+02:00	38	41	4	26	False	1	0	35	327	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
43	2026-09-24T23:02:21.4712384+02:00	2026-09-24T23:02:21.4787529+02:00	38	42	4	26	False	1	0	2	422	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
44	2026-09-24T23:02:21.4872590+02:00	2026-09-24T23:02:21.4947756+02:00	38	43	4	26	False	1	0	25	394	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
45	2026-09-24T23:02:21.5037891+02:00	2026-09-24T23:02:21.5112968+02:00	38	44	4	26	False	1	0	4	362	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
46	2026-09-24T23:02:21.5198029+02:00	2026-09-24T23:02:21.5273229+02:00	38	45	4	26	False	1	0	9	131	0	1	1	0x7FFABBF8EDB0	True	0	2	0	2	
47	2026-09-24T23:02:21.5353322+02:00	2026-09-24T23:02:21.5433542+02:00	38	46	4	26	False	1	0	9	140	0	1	1	0x7FFABBF8EDB0	True	0	2	0	2	
48	2026-09-24T23:02:21.5508589+02:00	2026-09-24T23:02:21.5593768+02:00	38	47	4	26	False	1	0	1	173	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
49	2026-09-24T23:02:21.5678844+02:00	2026-09-24T23:02:21.5753975+02:00	38	48	4	25	False	1	0	8	174	0	1	1	0x7FFABBF8EDB0	True	0	1	0	1	
50	2026-09-24T23:02:21.5834110+02:00	2026-09-24T23:02:21.5914112+02:00	38	49	4	0	False	0	0	0	422	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
51	2026-09-24T23:02:21.5994206+02:00	2026-09-24T23:02:21.6069364+02:00	38	50	4	0	False	0	0	0	424	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
52	2026-09-24T23:02:21.6154454+02:00	2026-09-24T23:02:21.6224613+02:00	38	51	4	26	False	1	0	7	149	0	1	1	0x7FFABBF8EDB0	True	0	2	0	2	
53	2026-09-24T23:02:21.6304760+02:00	2026-09-24T23:02:21.6379825+02:00	38	52	4	0	False	0	0	0	0	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
