# capturedAtLocal=2026-09-24T23:02:22.1084155+02:00
# mapLoadSequence=6
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Reed Sea.map
# mapFileSha256=c6abe1353e0ea1829b626408b4f3807e4473b428ae239fd15a52e9745fff8116
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# selectionFound=True
# finalCandidateId=0
# finalOrientation=4
# nativeStartOptions=mode=99,option2F0=0,option2F4=1,option2F8=4294967297
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\emir1.aivjson
# aivJsonSha256=ffa393f8dfb7899742c7647645d3cd3fa582090c7770cf9d32d89c96d46bd658
# keepX=488
# keepY=321
# captureSequence=4
# playerId=6
# frameCount=205
# pointerProblemFrames=0
# captureErrorFrames=0
# highlightedMapperFrames=2
# layerChanges=2927
# buildingRecordChanges=49
# beforeCaptureMilliseconds=1499,2
# afterCaptureMilliseconds=1696,2
# frameSnapshotsComplete=True
# provenanceComplete=True
captureFrameNumber	startedAtLocal	completedAtLocal	selectionSequence	frameIndex	activeLayoutIndex	mapper	highlightedMapper	status	helper	positionCount	firstPositionIndex	restrictedMode	freeOrForced	returnValue	placementStateAddress	pointerConsistent	added	removed	replaced	changed	captureError
1	2026-09-24T23:02:22.1084155+02:00	2026-09-24T23:02:22.1154266+02:00	39	0	5	0	False	0	0	0	0	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
2	2026-09-24T23:02:22.1234443+02:00	2026-09-24T23:02:22.1299531+02:00	39	1	5	0	False	0	0	0	0	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
3	2026-09-24T23:02:22.1379694+02:00	2026-09-24T23:02:22.1449925+02:00	39	2	5	52	True	1	0	1	105066	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
4	2026-09-24T23:02:22.1534995+02:00	2026-09-24T23:02:22.1600051+02:00	39	3	5	52	True	1	0	1	101851	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
5	2026-09-24T23:02:22.1680206+02:00	2026-09-24T23:02:22.1750345+02:00	39	4	5	80	False	1	0	1	98686	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
6	2026-09-24T23:02:22.1850479+02:00	2026-09-24T23:02:22.1925538+02:00	39	5	5	80	False	1	0	1	96190	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
7	2026-09-24T23:02:22.2010596+02:00	2026-09-24T23:02:22.2070719+02:00	39	6	5	86	False	1	0	1	103797	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
8	2026-09-24T23:02:22.2150884+02:00	2026-09-24T23:02:22.2231058+02:00	39	7	5	77	False	1	0	1	115703	0	1	1	0x7FFABBF8EDB0	True	25	0	0	25	
9	2026-09-24T23:02:22.2311287+02:00	2026-09-24T23:02:22.2392170+02:00	39	8	5	0	False	0	0	0	0	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
10	2026-09-24T23:02:22.2482428+02:00	2026-09-24T23:02:22.2557479+02:00	39	9	5	0	False	0	0	0	0	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
11	2026-09-24T23:02:22.2647806+02:00	2026-09-24T23:02:22.2722828+02:00	39	10	5	0	False	0	0	0	0	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
12	2026-09-24T23:02:22.2800533+02:00	2026-09-24T23:02:22.2885694+02:00	39	11	5	54	False	1	0	1	93127	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
13	2026-09-24T23:02:22.2970948+02:00	2026-09-24T23:02:22.3036016+02:00	39	12	5	54	False	1	0	1	93738	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
14	2026-09-24T23:02:22.3116215+02:00	2026-09-24T23:02:22.3181265+02:00	39	13	5	54	False	1	0	1	104448	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
15	2026-09-24T23:02:22.3261569+02:00	2026-09-24T23:02:22.3336652+02:00	39	14	5	54	False	1	0	1	103803	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
16	2026-09-24T23:02:22.3411780+02:00	2026-09-24T23:02:22.3486924+02:00	39	15	5	54	False	1	0	1	95587	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
17	2026-09-24T23:02:22.3567018+02:00	2026-09-24T23:02:22.3637357+02:00	39	16	5	54	False	1	0	1	98079	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
18	2026-09-24T23:02:22.3707352+02:00	2026-09-24T23:02:22.3789133+02:00	39	17	5	54	False	1	0	1	98671	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
19	2026-09-24T23:02:22.3869326+02:00	2026-09-24T23:02:22.3949684+02:00	39	18	5	54	False	1	0	1	108316	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
20	2026-09-24T23:02:22.4034750+02:00	2026-09-24T23:02:22.4110037+02:00	39	19	5	54	False	1	0	1	115013	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
21	2026-09-24T23:02:22.4190152+02:00	2026-09-24T23:02:22.4270294+02:00	39	20	5	74	False	1	0	1	112316	0	1	1	0x7FFABBF8EDB0	True	9	0	0	9	
22	2026-09-24T23:02:22.4350455+02:00	2026-09-24T23:02:22.4425518+02:00	39	21	5	75	False	1	0	1	102485	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
23	2026-09-24T23:02:22.4500571+02:00	2026-09-24T23:02:22.4580712+02:00	39	22	5	75	False	1	0	1	105710	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
24	2026-09-24T23:02:22.4665875+02:00	2026-09-24T23:02:22.4735939+02:00	39	23	5	75	False	1	0	1	108985	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
25	2026-09-24T23:02:22.4831013+02:00	2026-09-24T23:02:22.4906121+02:00	39	24	5	76	False	1	0	1	99952	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
26	2026-09-24T23:02:22.4986269+02:00	2026-09-24T23:02:22.5066353+02:00	39	25	5	81	False	1	0	1	108344	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
