# capturedAtLocal=2026-09-24T23:03:05.6913202+02:00
# mapLoadSequence=8
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Reed Sea.map
# mapFileSha256=c6abe1353e0ea1829b626408b4f3807e4473b428ae239fd15a52e9745fff8116
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# selectionFound=True
# finalCandidateId=0
# finalOrientation=2
# nativeStartOptions=mode=99,option2F0=0,option2F4=1,option2F8=4294967297
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\abbot2.aivjson
# aivJsonSha256=486ff3d30ba01c407d039d367a53b1391fd9f2feff500eb82e420cb297afdf07
# keepX=452
# keepY=495
# captureSequence=5
# playerId=7
# frameCount=118
# pointerProblemFrames=0
# captureErrorFrames=0
# highlightedMapperFrames=5
# layerChanges=4614
# buildingRecordChanges=52
# beforeCaptureMilliseconds=870,5
# afterCaptureMilliseconds=999,8
# frameSnapshotsComplete=True
# provenanceComplete=True
captureFrameNumber	startedAtLocal	completedAtLocal	selectionSequence	frameIndex	activeLayoutIndex	mapper	highlightedMapper	status	helper	positionCount	firstPositionIndex	restrictedMode	freeOrForced	returnValue	placementStateAddress	pointerConsistent	added	removed	replaced	changed	captureError
1	2026-09-24T23:03:05.6913202+02:00	2026-09-24T23:03:05.7018346+02:00	52	0	6	0	False	0	0	0	0	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
2	2026-09-24T23:03:05.7123582+02:00	2026-09-24T23:03:05.7208657+02:00	52	1	6	0	False	0	0	0	0	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
3	2026-09-24T23:03:05.7298773+02:00	2026-09-24T23:03:05.7469051+02:00	52	2	6	77	False	1	0	1	221013	0	1	1	0x7FFABBF8EDB0	True	25	0	0	25	
4	2026-09-24T23:03:05.7554155+02:00	2026-09-24T23:03:05.7634281+02:00	52	3	6	80	False	1	0	1	242447	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
5	2026-09-24T23:03:05.7714400+02:00	2026-09-24T23:03:05.7785446+02:00	52	4	6	75	False	1	0	1	244671	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
6	2026-09-24T23:03:05.7875573+02:00	2026-09-24T23:03:05.7945718+02:00	52	5	6	74	False	1	0	1	230267	0	1	1	0x7FFABBF8EDB0	True	9	0	0	9	
7	2026-09-24T23:03:05.8035999+02:00	2026-09-24T23:03:05.8101103+02:00	52	6	6	75	False	1	0	1	232637	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
8	2026-09-24T23:03:05.8191215+02:00	2026-09-24T23:03:05.8271370+02:00	52	7	6	97	False	1	0	1	224116	0	1	1	0x7FFABBF8EDB0	True	169	0	0	169	
9	2026-09-24T23:03:05.8356418+02:00	2026-09-24T23:03:05.8421581+02:00	52	8	6	54	False	1	0	1	218463	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
10	2026-09-24T23:03:05.8506644+02:00	2026-09-24T23:03:05.8591874+02:00	52	9	6	52	True	1	0	1	229050	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
11	2026-09-24T23:03:05.8677037+02:00	2026-09-24T23:03:05.8747099+02:00	52	10	6	52	True	1	0	1	225990	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
12	2026-09-24T23:03:05.8837130+02:00	2026-09-24T23:03:05.8907290+02:00	52	11	6	54	False	1	0	1	227843	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
13	2026-09-24T23:03:05.8997390+02:00	2026-09-24T23:03:05.9067714+02:00	52	12	6	54	False	1	0	1	237894	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
