# mapFileSha256=b5ab8bcc5c4c2783697eef4bbe692ae829b2c7d59c4aff540f79e140c49417fe
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# playerId=2
# keepX=510
# keepY=502
# nativeOrientation=2
# preBuildSetting=0
# selectedCandidateId=0
# aivJsonSha256=35909eb65c1a5fb6e1b5c739e473a35f333a4db849d1604dc9e723c60198b17f
# postNativeFailureFlag=0
# changedBuildingRecords=9
# selectedFieldsOfFullBuildingRecordArrayComplete=True
# buildingId is one-based
buildingId	phase	aliveState	type	owner	globalId	nativeCleanupLinkId	tileIdBegin	occupyTileGridSize	tileX	tileY
10	before	0	0	0	0	0	0	0	0	0
10	after	1	41	2	465609	465609	232106	7	510	502
11	before	0	0	0	0	0	0	0	0	0
11	after	1	71	2	465610	465609	234481	1	517	506
12	before	0	0	0	0	0	0	0	0	0
12	after	1	73	2	465611	465609	233892	1	517	505
13	before	0	0	0	0	0	0	0	0	0
13	after	1	72	2	465612	465609	233301	1	517	504
14	before	0	0	0	0	0	0	0	0	0
14	after	1	55	2	465613	465609	232114	7	518	502
15	before	0	0	0	0	0	0	0	0	0
15	after	1	10	2	465614	465614	229103	2	512	497
16	before	0	0	0	0	0	0	0	0	0
16	after	1	10	2	465615	465614	229106	2	515	497
17	before	0	0	0	0	0	0	0	0	0
17	after	1	10	2	465616	465614	230912	2	512	500
18	before	0	0	0	0	0	0	0	0	0
18	after	1	10	2	465617	465614	230915	2	515	500
