# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\CrusadesCrossing.map
# mapFileSha256=b5ab8bcc5c4c2783697eef4bbe692ae829b2c7d59c4aff540f79e140c49417fe
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=3
# keepX=510
# keepY=495
# nativeOrientation=15
# scale=7
# isFree=False
# selectionPlacementState=0
# selectionAccepted=False
# selectionFinalOrientation=2
# finalCandidateId=0
# selectedCandidateId=<none>
# aivJson=<no accepted AIV>
# aivJsonSha256=<not-available>
# preNativeFailureFlag=0
# preNativeFailureReasonRaw=4
# preNativeStartCleanupFlag=1
# preNativeDestroyedRecordMarker=0
# postNativeFailureFlag=0
# postNativeFailureReasonRaw=4
# postNativeStartCleanupFlag=0
# postNativeDestroyedRecordMarker=1
# postNativeFailureReason=<not-applicable>
# sampledTiles=320800
# fullMapTileLayersComplete=True
# beforeScanMilliseconds=8.871
# afterScanMilliseconds=12.992
# changedLayerCells=248
# changedBuildingRecords=9
# buildingRecordTrace=oracle-start-trace-20260924-230134-263-session004-p3-n03.records.tsv
# newBuildingCells=117
# replacedBuildingCells=0
# clearedBuildingCells=0
# sampledRegionComplete=True
x	y	tileId	layer	before	after
510	495	227885	logic	32768	268468224
510	495	227885	buildingId	0	55
511	495	227886	logic	32768	268468224
511	495	227886	buildingId	0	55
512	495	227887	logic	32768	268468224
512	495	227887	buildingId	0	55
513	495	227888	logic	32768	268468224
513	495	227888	buildingId	0	55
514	495	227889	logic	32768	268468224
514	495	227889	buildingId	0	55
515	495	227890	logic	32768	268468224
515	495	227890	buildingId	0	55
516	495	227891	logic	32768	268468224
516	495	227891	buildingId	0	55
510	496	228494	logic	32768	268468224
510	496	228494	buildingId	0	55
511	496	228495	logic	32768	268468224
511	496	228495	buildingId	0	55
512	496	228496	logic	32768	268468224
512	496	228496	buildingId	0	55
513	496	228497	logic	32768	268468224
513	496	228497	buildingId	0	55
514	496	228498	logic	32768	268468224
514	496	228498	buildingId	0	55
515	496	228499	logic	32768	268468224
515	496	228499	buildingId	0	55
516	496	228500	logic	0	268435456
516	496	228500	buildingId	0	55
510	497	229101	logic	32768	268468224
510	497	229101	buildingId	0	55
511	497	229102	logic	32768	268468224
511	497	229102	buildingId	0	55
512	497	229103	logic	32768	268468224
512	497	229103	buildingId	0	55
513	497	229104	logic	32768	268468224
513	497	229104	buildingId	0	55
514	497	229105	logic	32768	268468224
514	497	229105	buildingId	0	55
515	497	229106	logic	32768	268468224
515	497	229106	buildingId	0	55
516	497	229107	logic	0	268435456
516	497	229107	buildingId	0	55
517	497	229108	logic	0	1282
517	497	229108	buildingId	0	60
517	497	229108	height	130	140
517	497	229108	wallOwner	0	2
518	497	229109	logic	256	1282
518	497	229109	buildingId	0	60
518	497	229109	height	220	140
518	497	229109	wallOwner	1	2
519	497	229110	logic	256	258
519	497	229110	height	220	140
519	497	229110	wallOwner	1	2
520	497	229111	logic	0	1282
520	497	229111	buildingId	0	61
520	497	229111	height	130	140
520	497	229111	wallOwner	0	2
521	497	229112	logic	0	1282
521	497	229112	buildingId	0	61
521	497	229112	height	130	140
521	497	229112	wallOwner	0	2
510	498	229706	logic	32768	268468224
510	498	229706	buildingId	0	55
511	498	229707	logic	32768	268468224
511	498	229707	buildingId	0	55
512	498	229708	logic	32768	268468224
512	498	229708	buildingId	0	55
513	498	229709	logic	32768	268468224
513	498	229709	buildingId	0	55
514	498	229710	logic	32768	268468224
514	498	229710	buildingId	0	55
515	498	229711	logic	32768	268468224
515	498	229711	buildingId	0	55
516	498	229712	logic	0	268435456
516	498	229712	buildingId	0	55
517	498	229713	logic	0	1282
517	498	229713	buildingId	0	60
517	498	229713	height	130	140
517	498	229713	wallOwner	0	2
518	498	229714	logic	33024	34050
518	498	229714	buildingId	0	60
518	498	229714	height	220	140
518	498	229714	wallOwner	1	2
519	498	229715	logic	33024	33026
519	498	229715	height	220	140
519	498	229715	wallOwner	1	2
520	498	229716	logic	32768	34050
520	498	229716	buildingId	0	61
520	498	229716	height	130	140
520	498	229716	wallOwner	0	2
521	498	229717	logic	0	1282
521	498	229717	buildingId	0	61
521	498	229717	height	130	140
521	498	229717	wallOwner	0	2
510	499	230309	logic	32768	268468224
510	499	230309	buildingId	0	55
511	499	230310	logic	32768	268468224
511	499	230310	buildingId	0	55
512	499	230311	logic	32768	268468224
512	499	230311	buildingId	0	55
513	499	230312	logic	32768	268468224
513	499	230312	buildingId	0	55
514	499	230313	logic	32768	268468224
514	499	230313	buildingId	0	55
515	499	230314	logic	32768	268468224
515	499	230314	buildingId	0	55
516	499	230315	logic	0	268435456
516	499	230315	buildingId	0	55
517	499	230316	logic	0	258
517	499	230316	height	130	140
517	499	230316	wallOwner	0	2
518	499	230317	logic	33024	33026
518	499	230317	height	220	140
518	499	230317	wallOwner	1	2
519	499	230318	logic	33024	33026
519	499	230318	height	220	140
519	499	230318	wallOwner	1	2
520	499	230319	logic	32768	33026
520	499	230319	height	130	140
520	499	230319	wallOwner	0	2
521	499	230320	logic	0	258
521	499	230320	height	130	140
521	499	230320	wallOwner	0	2
510	500	230910	logic	32768	268468224
510	500	230910	buildingId	0	55
511	500	230911	logic	32768	268468224
511	500	230911	buildingId	0	55
512	500	230912	logic	32768	268468224
512	500	230912	buildingId	0	55
513	500	230913	logic	32768	268468224
513	500	230913	buildingId	0	55
514	500	230914	logic	32768	268468224
514	500	230914	buildingId	0	55
515	500	230915	logic	32768	268468224
515	500	230915	buildingId	0	55
516	500	230916	logic	0	268435456
516	500	230916	buildingId	0	55
517	500	230917	logic	0	1282
517	500	230917	buildingId	0	62
517	500	230917	height	130	140
517	500	230917	wallOwner	0	2
518	500	230918	logic	33024	34050
518	500	230918	buildingId	0	62
518	500	230918	height	220	140
518	500	230918	wallOwner	1	2
519	500	230919	logic	33024	33026
519	500	230919	height	220	140
519	500	230919	wallOwner	1	2
520	500	230920	logic	32768	34050
520	500	230920	buildingId	0	63
520	500	230920	height	130	140
520	500	230920	wallOwner	0	2
521	500	230921	logic	0	1282
521	500	230921	buildingId	0	63
521	500	230921	height	130	140
521	500	230921	wallOwner	0	2
510	501	231509	logic	32768	268468224
510	501	231509	buildingId	0	55
511	501	231510	logic	32768	268468224
511	501	231510	buildingId	0	55
512	501	231511	logic	32768	268468224
