# mapFileSha256=b5ab8bcc5c4c2783697eef4bbe692ae829b2c7d59c4aff540f79e140c49417fe
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# playerId=4
# keepX=599
# keepY=311
# nativeOrientation=4
# preBuildSetting=1
# selectedCandidateId=0
# aivJsonSha256=1d86b141261297706ad65f60d870a3ae30a8c0da05b6b3b1d4d923c702cb11ad
# postNativeFailureFlag=0
# changedBuildingRecords=9
# selectedFieldsOfFullBuildingRecordArrayComplete=True
# buildingId is one-based
buildingId	phase	aliveState	type	owner	globalId	nativeCleanupLinkId	tileIdBegin	occupyTileGridSize	tileX	tileY
64	before	0	0	0	0	0	0	0	0	0
64	after	1	41	4	465665	465665	97543	7	599	311
65	before	0	0	0	0	0	0	0	0	0
65	after	1	71	4	465666	465665	96924	1	603	310
66	before	0	0	0	0	0	0	0	0	0
66	after	1	73	4	465667	465665	96923	1	602	310
67	before	0	0	0	0	0	0	0	0	0
67	after	1	72	4	465668	465665	96922	1	601	310
68	before	0	0	0	0	0	0	0	0	0
68	after	1	55	4	465669	465665	92615	7	599	303
69	before	0	0	0	0	0	0	0	0	0
69	after	1	10	4	465670	465670	97538	2	594	311
70	before	0	0	0	0	0	0	0	0	0
70	after	1	10	4	465671	465670	97541	2	597	311
71	before	0	0	0	0	0	0	0	0	0
71	after	1	10	4	465672	465670	99419	2	594	314
72	before	0	0	0	0	0	0	0	0	0
72	after	1	10	4	465673	465670	99422	2	597	314
