# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Reed Sea.map
# mapFileSha256=c6abe1353e0ea1829b626408b4f3807e4473b428ae239fd15a52e9745fff8116
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=0
# playerId=7
# keepX=452
# keepY=502
# nativeOrientation=2
# scale=7
# isFree=False
# selectionPlacementState=1
# selectionAccepted=True
# selectionFinalOrientation=2
# finalCandidateId=0
# selectedCandidateId=0
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\abbot2.aivjson
# aivJsonSha256=486ff3d30ba01c407d039d367a53b1391fd9f2feff500eb82e420cb297afdf07
# preNativeFailureFlag=0
# preNativeFailureReasonRaw=17
# preNativeStartCleanupFlag=1
# preNativeDestroyedRecordMarker=1
# postNativeFailureFlag=0
# postNativeFailureReasonRaw=17
# postNativeStartCleanupFlag=0
# postNativeDestroyedRecordMarker=1
# postNativeFailureReason=<not-applicable>
# sampledTiles=320800
# fullMapTileLayersComplete=True
# beforeScanMilliseconds=13.057
# afterScanMilliseconds=9.925
# changedLayerCells=331
# changedBuildingRecords=9
# buildingRecordTrace=oracle-start-trace-20260924-230145-115-session005-p7-n07.records.tsv
# newBuildingCells=117
# replacedBuildingCells=0
# clearedBuildingCells=0
# sampledRegionComplete=True
x	y	tileId	layer	before	after
462	496	228446	logic2	1	2
463	496	228447	logic2	1	2
464	496	228448	logic2	1	2
454	497	229045	logic	32768	34050
454	497	229045	buildingId	0	60
454	497	229045	height	8	18
454	497	229045	wallOwner	0	6
455	497	229046	logic	32768	34050
455	497	229046	buildingId	0	60
455	497	229046	height	8	18
455	497	229046	wallOwner	0	6
456	497	229047	logic	32768	33026
456	497	229047	height	8	18
456	497	229047	wallOwner	0	6
457	497	229048	logic	32768	34050
457	497	229048	buildingId	0	61
457	497	229048	height	8	18
457	497	229048	wallOwner	0	6
458	497	229049	logic	32768	34050
458	497	229049	buildingId	0	61
458	497	229049	height	8	18
458	497	229049	wallOwner	0	6
464	497	229055	logic2	1	2
465	497	229056	logic2	1	2
454	498	229650	logic	32768	34050
454	498	229650	buildingId	0	60
454	498	229650	height	8	18
454	498	229650	wallOwner	0	6
455	498	229651	logic	32768	34050
455	498	229651	buildingId	0	60
455	498	229651	height	8	18
455	498	229651	wallOwner	0	6
456	498	229652	logic	32768	33026
456	498	229652	height	8	18
456	498	229652	wallOwner	0	6
457	498	229653	logic	32768	34050
457	498	229653	buildingId	0	61
457	498	229653	height	8	18
457	498	229653	wallOwner	0	6
458	498	229654	logic	32768	34050
458	498	229654	buildingId	0	61
458	498	229654	height	8	18
458	498	229654	wallOwner	0	6
464	498	229660	logic2	1	2
465	498	229661	logic2	1	2
454	499	230253	logic	32768	33026
454	499	230253	height	8	18
454	499	230253	wallOwner	0	6
455	499	230254	logic	32768	33026
455	499	230254	height	8	18
455	499	230254	wallOwner	0	6
