# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Reed Sea.map
# mapFileSha256=c6abe1353e0ea1829b626408b4f3807e4473b428ae239fd15a52e9745fff8116
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=0
# playerId=6
# keepX=495
# keepY=328
# nativeOrientation=4
# scale=7
# isFree=False
# selectionPlacementState=1
# selectionAccepted=True
# selectionFinalOrientation=4
# finalCandidateId=0
# selectedCandidateId=0
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\emir1.aivjson
# aivJsonSha256=ffa393f8dfb7899742c7647645d3cd3fa582090c7770cf9d32d89c96d46bd658
# preNativeFailureFlag=0
# preNativeFailureReasonRaw=3
# preNativeStartCleanupFlag=1
# preNativeDestroyedRecordMarker=1
# postNativeFailureFlag=0
# postNativeFailureReasonRaw=3
# postNativeStartCleanupFlag=0
# postNativeDestroyedRecordMarker=1
# postNativeFailureReason=<not-applicable>
# sampledTiles=320800
# fullMapTileLayersComplete=True
# beforeScanMilliseconds=8.557
# afterScanMilliseconds=9.927
# changedLayerCells=397
# changedBuildingRecords=9
# buildingRecordTrace=oracle-start-trace-20260924-230241-404-session007-p6-n06.records.tsv
# newBuildingCells=117
# replacedBuildingCells=0
# clearedBuildingCells=0
# sampledRegionComplete=True
x	y	tileId	layer	before	after
499	314	99324	logic2	0	2
500	314	99325	logic2	0	2
501	314	99326	logic2	0	2
500	315	99956	logic2	0	2
501	315	99957	logic2	0	2
502	315	99958	logic2	1	2
499	316	100588	logic2	0	2
500	316	100589	logic2	0	2
501	316	100590	logic2	1	2
502	316	100591	logic2	1	2
503	316	100592	logic2	1	2
493	317	101217	logic2	1	2
495	317	101219	logic2	1	2
498	317	101222	logic2	0	2
499	317	101223	logic2	0	2
500	317	101224	logic2	0	2
501	317	101225	logic2	0	2
502	317	101226	logic2	1	2
503	317	101227	logic2	1	2
504	317	101228	logic2	1	2
492	318	101853	logic2	1	2
493	318	101854	logic2	1	2
494	318	101855	logic2	1	2
497	318	101858	logic2	1	2
498	318	101859	logic2	1	2
499	318	101860	logic2	0	2
500	318	101861	logic2	0	2
501	318	101862	logic2	0	2
502	318	101863	logic2	0	2
503	318	101864	logic2	0	2
504	318	101865	logic2	1	2
505	318	101866	logic2	0	2
492	319	102492	logic2	1	2
493	319	102493	logic2	1	2
494	319	102494	logic2	1	2
497	319	102497	logic2	1	2
500	319	102500	logic2	0	2
501	319	102501	logic2	0	2
502	319	102502	logic2	0	2
503	319	102503	logic2	1	2
504	319	102504	logic2	1	2
505	319	102505	logic2	1	2
506	319	102506	logic2	1	2
493	320	103134	logic2	1	2
495	320	103136	buildingId	0	50
496	320	103137	buildingId	0	50
497	320	103138	buildingId	0	50
498	320	103139	buildingId	0	50
499	320	103140	buildingId	0	50
500	320	103141	buildingId	0	50
501	320	103142	logic2	0	2
501	320	103142	buildingId	0	50
502	320	103143	logic2	0	2
503	320	103144	logic2	0	2
504	320	103145	logic2	1	2
505	320	103146	logic2	1	2
506	320	103147	logic2	1	2
507	320	103148	logic2	1	2
495	321	103779	buildingId	0	50
496	321	103780	buildingId	0	50
497	321	103781	buildingId	0	50
498	321	103782	buildingId	0	50
499	321	103783	buildingId	0	50
500	321	103784	buildingId	0	50
501	321	103785	buildingId	0	50
502	321	103786	logic2	0	2
503	321	103787	logic2	0	2
504	321	103788	logic2	1	2
505	321	103789	logic2	1	2
506	321	103790	logic2	1	2
507	321	103791	logic2	1	2
495	322	104424	buildingId	0	50
496	322	104425	buildingId	0	50
497	322	104426	buildingId	0	50
