# mapFileSha256=c6abe1353e0ea1829b626408b4f3807e4473b428ae239fd15a52e9745fff8116
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# playerId=7
# keepX=452
# keepY=502
# nativeOrientation=2
# preBuildSetting=0
# selectedCandidateId=0
# aivJsonSha256=486ff3d30ba01c407d039d367a53b1391fd9f2feff500eb82e420cb297afdf07
# postNativeFailureFlag=0
# changedBuildingRecords=9
# selectedFieldsOfFullBuildingRecordArrayComplete=True
# buildingId is one-based
buildingId	phase	aliveState	type	owner	globalId	nativeCleanupLinkId	tileIdBegin	occupyTileGridSize	tileX	tileY
55	before	0	0	0	0	0	0	0	0	0
55	after	1	41	7	6292	6292	232048	7	452	502
56	before	0	0	0	0	0	0	0	0	0
56	after	1	71	7	6293	6292	234423	1	459	506
57	before	0	0	0	0	0	0	0	0	0
57	after	1	73	7	6294	6292	233834	1	459	505
58	before	0	0	0	0	0	0	0	0	0
58	after	1	72	7	6295	6292	233243	1	459	504
59	before	0	0	0	0	0	0	0	0	0
59	after	1	55	7	6296	6292	232056	7	460	502
60	before	0	0	0	0	0	0	0	0	0
60	after	1	10	7	6297	6297	229045	2	454	497
61	before	0	0	0	0	0	0	0	0	0
61	after	1	10	7	6298	6297	229048	2	457	497
62	before	0	0	0	0	0	0	0	0	0
62	after	1	10	7	6299	6297	230854	2	454	500
63	before	0	0	0	0	0	0	0	0	0
63	after	1	10	7	6300	6297	230857	2	457	500
