# capturedAtLocal=2026-09-24T22:56:33.5363885+02:00
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\CrusadesCrossing.map
# mapFileSha256=b5ab8bcc5c4c2783697eef4bbe692ae829b2c7d59c4aff540f79e140c49417fe
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=0
# playerId=7
# candidateId=0
# aivName=Default 2
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\abbot2.aivjson
# aivJsonSha256=486ff3d30ba01c407d039d367a53b1391fd9f2feff500eb82e420cb297afdf07
# orientation=6
# originX=167
# originY=278
# keepX=210
# keepY=321
# evaluatedCells=2870
# nativeBlockedCells=0
# resultGridBlockedCells=0
# validatorCalls=2870
# validatorBlockedCells=0
# preValidatorBlockedCells=0
gridRow	gridColumn	worldX	worldY	rawMapper	effectiveMapper	scoreGridValue	resultGridValue	blocked
9	59	226	287	99	99	98	0	False
9	60	227	287	99	99	98	0	False
9	61	228	287	99	99	98	0	False
10	51	218	288	54	54	23	0	False
10	52	219	288	54	54	23	0	False
10	53	220	288	54	54	23	0	False
10	54	221	288	54	54	23	0	False
10	60	227	288	99	99	98	0	False
10	61	228	288	99	99	98	0	False
10	62	229	288	99	99	98	0	False
10	63	230	288	99	99	98	0	False
11	51	218	289	54	54	23	0	False
11	52	219	289	54	54	23	0	False
11	53	220	289	54	54	23	0	False
11	54	221	289	54	54	23	0	False
11	62	229	289	99	99	98	0	False
12	51	218	290	54	54	23	0	False
12	52	219	290	54	54	23	0	False
12	53	220	290	54	54	23	0	False
12	54	221	290	54	54	23	0	False
12	56	223	290	113	113	60	0	False
12	57	224	290	113	113	60	0	False
12	58	225	290	113	113	60	0	False
12	59	226	290	113	113	60	0	False
12	60	227	290	113	113	60	0	False
12	61	228	290	113	113	60	0	False
12	62	229	290	99	99	98	0	False
12	63	230	290	99	99	98	0	False
12	64	231	290	99	99	98	0	False
12	68	235	290	99	99	106	0	False
12	69	236	290	99	99	106	0	False
13	51	218	291	54	54	23	0	False
13	52	219	291	54	54	23	0	False
13	53	220	291	54	54	23	0	False
13	54	221	291	54	54	23	0	False
13	56	223	291	113	113	60	0	False
13	57	224	291	113	113	60	0	False
13	58	225	291	113	113	60	0	False
13	59	226	291	113	113	60	0	False
13	60	227	291	113	113	60	0	False
13	61	228	291	113	113	60	0	False
13	63	230	291	99	99	98	0	False
13	64	231	291	99	99	98	0	False
13	69	236	291	99	99	106	0	False
14	56	223	292	113	113	60	0	False
14	57	224	292	113	113	60	0	False
14	58	225	292	113	113	60	0	False
14	59	226	292	113	113	60	0	False
14	60	227	292	113	113	60	0	False
14	61	228	292	113	113	60	0	False
14	63	230	292	99	99	98	0	False
14	67	234	292	99	99	99	0	False
14	68	235	292	99	99	106	0	False
14	69	236	292	99	99	106	0	False
14	70	237	292	99	99	106	0	False
14	71	238	292	99	99	106	0	False
15	38	205	293	99	99	104	0	False
15	53	220	293	106	106	111	0	False
15	54	221	293	106	106	111	0	False
15	55	222	293	106	106	111	0	False
15	56	223	293	113	113	60	0	False
15	57	224	293	113	113	60	0	False
15	58	225	293	113	113	60	0	False
15	59	226	293	113	113	60	0	False
15	60	227	293	113	113	60	0	False
15	61	228	293	113	113	60	0	False
15	63	230	293	99	99	98	0	False
15	64	231	293	99	99	98	0	False
16	38	205	294	99	99	104	0	False
16	41	208	294	99	99	104	0	False
16	42	209	294	99	99	104	0	False
16	43	210	294	99	99	104	0	False
16	44	211	294	99	99	104	0	False
16	48	215	294	106	106	111	0	False
16	49	216	294	106	106	111	0	False
16	50	217	294	106	106	111	0	False
16	51	218	294	106	106	111	0	False
16	52	219	294	106	106	111	0	False
16	53	220	294	106	106	111	0	False
16	54	221	294	106	106	19	0	False
16	55	222	294	106	106	111	0	False
16	56	223	294	113	113	60	0	False
16	57	224	294	113	113	60	0	False
16	58	225	294	113	113	60	0	False
16	59	226	294	113	113	60	0	False
16	60	227	294	113	113	60	0	False
16	61	228	294	113	113	60	0	False
16	62	229	294	25	25	115	0	False
16	63	230	294	25	25	115	0	False
16	64	231	294	25	25	115	0	False
16	65	232	294	25	25	115	0	False
16	66	233	294	25	25	115	0	False
16	67	234	294	25	25	115	0	False
16	68	235	294	25	25	115	0	False
16	69	236	294	25	25	115	0	False
16	70	237	294	25	25	115	0	False
16	71	238	294	25	25	115	0	False
16	72	239	294	25	25	115	0	False
16	73	240	294	25	25	115	0	False
16	74	241	294	25	25	115	0	False
16	75	242	294	25	25	115	0	False
16	77	244	294	99	99	100	0	False
17	37	204	295	99	99	104	0	False
17	38	205	295	99	99	104	0	False
17	39	206	295	99	99	104	0	False
17	40	207	295	99	99	104	0	False
17	47	214	295	106	106	111	0	False
17	48	215	295	106	106	111	0	False
17	49	216	295	106	106	111	0	False
17	50	217	295	106	106	111	0	False
17	51	218	295	106	106	111	0	False
17	52	219	295	106	106	19	0	False
17	53	220	295	106	106	19	0	False
17	54	221	295	106	106	19	0	False
17	55	222	295	25	25	63	0	False
17	56	223	295	113	113	60	0	False
17	57	224	295	113	113	60	0	False
17	58	225	295	113	113	60	0	False
17	59	226	295	113	113	60	0	False
17	60	227	295	113	113	60	0	False
17	61	228	295	113	113	60	0	False
17	62	229	295	25	25	94	0	False
17	63	230	295	25	25	94	0	False
17	64	231	295	25	25	94	0	False
17	65	232	295	25	25	94	0	False
17	66	233	295	25	25	94	0	False
17	67	234	295	25	25	94	0	False
17	68	235	295	25	25	94	0	False
17	69	236	295	25	25	94	0	False
17	70	237	295	25	25	94	0	False
17	71	238	295	25	25	94	0	False
17	72	239	295	25	25	94	0	False
17	73	240	295	25	25	94	0	False
17	74	241	295	25	25	94	0	False
17	75	242	295	25	25	94	0	False
17	77	244	295	99	99	100	0	False
18	35	202	296	99	99	104	0	False
18	36	203	296	99	99	104	0	False
18	37	204	296	99	99	104	0	False
18	39	206	296	106	106	111	0	False
18	40	207	296	106	106	111	0	False
18	41	208	296	106	106	111	0	False
18	42	209	296	106	106	111	0	False
18	43	210	296	106	106	111	0	False
18	44	211	296	106	106	111	0	False
18	45	212	296	106	106	111	0	False
18	46	213	296	106	106	111	0	False
18	47	214	296	106	106	111	0	False
18	48	215	296	106	106	111	0	False
18	49	216	296	106	106	19	0	False
18	50	217	296	106	106	19	0	False
18	51	218	296	106	106	19	0	False
18	52	219	296	99	99	113	0	False
18	53	220	296	99	99	113	0	False
18	54	221	296	99	99	113	0	False
18	55	222	296	25	25	63	0	False
18	56	223	296	25	25	40	0	False
18	57	224	296	25	25	40	0	False
18	58	225	296	25	25	40	0	False
18	59	226	296	25	25	40	0	False
18	60	227	296	25	25	40	0	False
18	61	228	296	25	25	40	0	False
18	62	229	296	25	25	40	0	False
18	63	230	296	25	25	40	0	False
18	64	231	296	25	25	40	0	False
18	65	232	296	25	25	40	0	False
18	66	233	296	25	25	40	0	False
18	67	234	296	25	25	40	0	False
18	68	235	296	25	25	40	0	False
18	69	236	296	25	25	40	0	False
18	70	237	296	25	25	40	0	False
18	71	238	296	25	25	40	0	False
18	72	239	296	25	25	47	0	False
18	73	240	296	25	25	40	0	False
18	74	241	296	25	25	40	0	False
18	75	242	296	25	25	40	0	False
18	78	245	296	99	99	100	0	False
19	33	200	297	99	99	104	0	False
19	34	201	297	99	99	104	0	False
19	35	202	297	99	99	104	0	False
19	37	204	297	106	106	111	0	False
19	38	205	297	106	106	111	0	False
19	39	206	297	106	106	111	0	False
19	40	207	297	106	106	111	0	False
19	41	208	297	106	106	111	0	False
19	42	209	297	106	106	111	0	False
19	43	210	297	106	106	19	0	False
19	44	211	297	106	106	19	0	False
19	45	212	297	106	106	19	0	False
19	46	213	297	106	106	19	0	False
19	47	214	297	106	106	19	0	False
19	48	215	297	106	106	19	0	False
19	49	216	297	99	99	113	0	False
19	50	217	297	99	99	113	0	False
19	51	218	297	99	99	113	0	False
19	52	219	297	99	99	113	0	False
19	55	222	297	25	25	63	0	False
19	56	223	297	25	25	52	0	False
19	57	224	297	25	25	95	0	False
19	58	225	297	25	25	97	0	False
19	59	226	297	25	25	97	0	False
19	60	227	297	25	25	97	0	False
19	61	228	297	25	25	97	0	False
19	62	229	297	25	25	97	0	False
19	63	230	297	25	25	97	0	False
19	64	231	297	25	25	97	0	False
19	65	232	297	25	25	97	0	False
19	66	233	297	25	25	97	0	False
19	67	234	297	25	25	97	0	False
19	68	235	297	25	25	97	0	False
19	69	236	297	25	25	97	0	False
19	70	237	297	25	25	97	0	False
19	71	238	297	25	25	47	0	False
19	72	239	297	113	113	71	0	False
19	73	240	297	113	113	71	0	False
19	74	241	297	113	113	71	0	False
19	75	242	297	113	113	71	0	False
19	76	243	297	113	113	71	0	False
19	77	244	297	113	113	71	0	False
19	79	246	297	99	99	100	0	False
20	33	200	298	106	106	111	0	False
20	34	201	298	106	106	111	0	False
20	35	202	298	106	106	111	0	False
20	36	203	298	106	106	111	0	False
20	37	204	298	106	106	111	0	False
20	38	205	298	106	106	111	0	False
20	39	206	298	106	106	19	0	False
20	40	207	298	106	106	19	0	False
20	41	208	298	106	106	19	0	False
20	42	209	298	106	106	19	0	False
20	47	214	298	99	99	113	0	False
20	48	215	298	99	99	113	0	False
20	55	222	298	25	25	63	0	False
20	56	223	298	25	25	52	0	False
20	57	224	298	25	25	95	0	False
20	58	225	298	75	75	15	0	False
20	59	226	298	75	75	15	0	False
20	60	227	298	75	75	15	0	False
20	61	228	298	75	75	15	0	False
20	62	229	298	54	54	25	0	False
20	63	230	298	54	54	25	0	False
20	64	231	298	54	54	25	0	False
20	65	232	298	54	54	25	0	False
20	71	238	298	25	25	47	0	False
20	72	239	298	113	113	71	0	False
20	73	240	298	113	113	71	0	False
20	74	241	298	113	113	71	0	False
20	75	242	298	113	113	71	0	False
20	76	243	298	113	113	71	0	False
20	77	244	298	113	113	71	0	False
20	79	246	298	99	99	100	0	False
21	30	197	299	106	106	111	0	False
21	31	198	299	106	106	111	0	False
21	32	199	299	106	106	111	0	False
21	33	200	299	106	106	111	0	False
21	34	201	299	106	106	111	0	False
21	35	202	299	106	106	111	0	False
21	36	203	299	106	106	19	0	False
21	37	204	299	106	106	19	0	False
21	38	205	299	106	106	19	0	False
21	55	222	299	25	25	63	0	False
21	56	223	299	25	25	52	0	False
21	57	224	299	25	25	95	0	False
21	58	225	299	75	75	15	0	False
21	59	226	299	75	75	15	0	False
21	60	227	299	75	75	15	0	False
21	61	228	299	75	75	15	0	False
21	62	229	299	54	54	25	0	False
21	63	230	299	54	54	25	0	False
21	64	231	299	54	54	25	0	False
21	65	232	299	54	54	25	0	False
21	71	238	299	25	25	47	0	False
21	72	239	299	113	113	71	0	False
21	73	240	299	113	113	71	0	False
21	74	241	299	113	113	71	0	False
21	75	242	299	113	113	71	0	False
21	76	243	299	113	113	71	0	False
21	77	244	299	113	113	71	0	False
21	79	246	299	99	99	100	0	False
22	28	195	300	106	106	111	0	False
22	29	196	300	106	106	111	0	False
22	30	197	300	106	106	111	0	False
22	31	198	300	106	106	19	0	False
22	32	199	300	106	106	19	0	False
22	33	200	300	106	106	19	0	False
22	34	201	300	106	106	19	0	False
22	35	202	300	106	106	19	0	False
22	44	211	300	-1	86	18	0	False
22	45	212	300	-1	86	18	0	False
22	46	213	300	-1	86	18	0	False
22	47	214	300	-1	86	18	0	False
22	48	215	300	-1	86	18	0	False
22	49	216	300	87	87	18	0	False
22	50	217	300	87	87	18	0	False
22	51	218	300	87	87	18	0	False
22	52	219	300	87	87	18	0	False
22	53	220	300	87	87	18	0	False
22	55	222	300	25	25	63	0	False
22	56	223	300	25	25	52	0	False
22	57	224	300	25	25	95	0	False
22	58	225	300	75	75	15	0	False
22	59	226	300	75	75	15	0	False
22	60	227	300	75	75	15	0	False
22	61	228	300	75	75	15	0	False
22	62	229	300	54	54	25	0	False
22	63	230	300	54	54	25	0	False
22	64	231	300	54	54	25	0	False
22	65	232	300	54	54	25	0	False
22	67	234	300	75	75	91	0	False
22	68	235	300	75	75	91	0	False
22	69	236	300	75	75	91	0	False
22	70	237	300	75	75	91	0	False
22	71	238	300	25	25	47	0	False
22	72	239	300	113	113	71	0	False
22	73	240	300	113	113	71	0	False
22	74	241	300	113	113	71	0	False
22	75	242	300	113	113	71	0	False
22	76	243	300	113	113	71	0	False
22	77	244	300	113	113	71	0	False
22	79	246	300	99	99	100	0	False
23	27	194	301	106	106	111	0	False
23	28	195	301	106	106	111	0	False
23	29	196	301	106	106	19	0	False
23	30	197	301	106	106	19	0	False
23	31	198	301	106	106	19	0	False
23	44	211	301	-1	86	18	0	False
23	45	212	301	-1	86	18	0	False
23	46	213	301	-1	86	18	0	False
23	47	214	301	-1	86	18	0	False
23	48	215	301	-1	86	18	0	False
23	49	216	301	87	87	18	0	False
23	50	217	301	87	87	18	0	False
23	51	218	301	87	87	18	0	False
23	52	219	301	87	87	18	0	False
23	53	220	301	87	87	18	0	False
23	55	222	301	25	25	63	0	False
23	56	223	301	25	25	52	0	False
23	57	224	301	25	25	95	0	False
23	58	225	301	75	75	15	0	False
23	59	226	301	75	75	15	0	False
23	60	227	301	75	75	15	0	False
23	61	228	301	75	75	15	0	False
23	62	229	301	54	54	25	0	False
23	63	230	301	54	54	25	0	False
23	64	231	301	54	54	25	0	False
23	65	232	301	54	54	25	0	False
23	67	234	301	75	75	91	0	False
23	68	235	301	75	75	91	0	False
23	69	236	301	75	75	91	0	False
23	70	237	301	75	75	91	0	False
23	71	238	301	25	25	47	0	False
23	72	239	301	113	113	71	0	False
23	73	240	301	113	113	71	0	False
23	74	241	301	113	113	71	0	False
23	75	242	301	113	113	71	0	False
23	76	243	301	113	113	71	0	False
23	77	244	301	113	113	71	0	False
23	79	246	301	99	99	100	0	False
24	25	192	302	106	106	111	0	False
24	26	193	302	106	106	111	0	False
24	27	194	302	106	106	111	0	False
24	28	195	302	106	106	111	0	False
24	29	196	302	106	106	19	0	False
24	44	211	302	-1	86	18	0	False
24	45	212	302	-1	86	18	0	False
24	46	213	302	-1	86	18	0	False
24	47	214	302	-1	86	18	0	False
24	48	215	302	-1	86	18	0	False
24	49	216	302	87	87	18	0	False
24	50	217	302	87	87	18	0	False
24	51	218	302	87	87	18	0	False
24	52	219	302	87	87	18	0	False
24	53	220	302	87	87	18	0	False
24	55	222	302	25	25	63	0	False
24	56	223	302	25	25	52	0	False
24	57	224	302	25	25	95	0	False
24	58	225	302	75	75	4	0	False
24	59	226	302	75	75	4	0	False
24	60	227	302	75	75	4	0	False
24	61	228	302	75	75	4	0	False
24	67	234	302	75	75	91	0	False
