# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\CrusadesCrossing.map
# mapFileSha256=b5ab8bcc5c4c2783697eef4bbe692ae829b2c7d59c4aff540f79e140c49417fe
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=0
# playerId=1
# keepX=112
# keepY=386
# nativeOrientation=15
# scale=7
# isFree=False
# selectionPlacementState=<not-available>
# selectionAccepted=False
# selectionFinalOrientation=<not-available>
# finalCandidateId=<not-available>
# selectedCandidateId=<none>
# aivJson=<no accepted AIV>
# aivJsonSha256=<not-available>
# preNativeFailureFlag=0
# preNativeFailureReasonRaw=0
# preNativeStartCleanupFlag=1
# preNativeDestroyedRecordMarker=0
# postNativeFailureFlag=0
# postNativeFailureReasonRaw=0
# postNativeStartCleanupFlag=0
# postNativeDestroyedRecordMarker=1
# postNativeFailureReason=<not-applicable>
# sampledTiles=320800
# fullMapTileLayersComplete=True
# beforeScanMilliseconds=10.586
# afterScanMilliseconds=10.936
# changedLayerCells=248
# changedBuildingRecords=9
# buildingRecordTrace=oracle-start-trace-20260924-225634-553-session001-p1-n01.records.tsv
# newBuildingCells=117
# replacedBuildingCells=0
# clearedBuildingCells=0
# sampledRegionComplete=True
x	y	tileId	layer	before	after
112	386	149481	logic	32768	268468224
112	386	149481	buildingId	0	1
113	386	149482	logic	32768	268468224
113	386	149482	buildingId	0	1
114	386	149483	logic	32768	268468224
114	386	149483	buildingId	0	1
115	386	149484	logic	32768	268468224
115	386	149484	buildingId	0	1
116	386	149485	logic	32768	268468224
116	386	149485	buildingId	0	1
117	386	149486	logic	32768	268468224
117	386	149486	buildingId	0	1
118	386	149487	logic	32768	268468224
118	386	149487	buildingId	0	1
112	387	150256	logic	32768	268468224
112	387	150256	buildingId	0	1
113	387	150257	logic	32768	268468224
113	387	150257	buildingId	0	1
114	387	150258	logic	32768	268468224
114	387	150258	buildingId	0	1
115	387	150259	logic	32768	268468224
115	387	150259	buildingId	0	1
116	387	150260	logic	32768	268468224
116	387	150260	buildingId	0	1
117	387	150261	logic	32768	268468224
117	387	150261	buildingId	0	1
118	387	150262	logic	32768	268468224
118	387	150262	buildingId	0	1
112	388	151033	logic	32768	268468224
112	388	151033	buildingId	0	1
113	388	151034	logic	32768	268468224
113	388	151034	buildingId	0	1
114	388	151035	logic	32768	268468224
114	388	151035	buildingId	0	1
115	388	151036	logic	32768	268468224
115	388	151036	buildingId	0	1
116	388	151037	logic	32768	268468224
116	388	151037	buildingId	0	1
117	388	151038	logic	32768	268468224
117	388	151038	buildingId	0	1
118	388	151039	logic	32768	268468224
118	388	151039	buildingId	0	1
119	388	151040	logic	0	1282
119	388	151040	buildingId	0	6
119	388	151040	height	8	18
119	388	151040	wallOwner	5	0
120	388	151041	logic	0	1282
120	388	151041	buildingId	0	6
120	388	151041	height	8	18
120	388	151041	wallOwner	5	0
121	388	151042	logic	0	258
121	388	151042	height	8	18
121	388	151042	wallOwner	5	0
122	388	151043	logic	0	1282
122	388	151043	buildingId	0	7
122	388	151043	height	8	18
122	388	151043	wallOwner	5	0
123	388	151044	logic	0	1282
123	388	151044	buildingId	0	7
123	388	151044	height	8	18
123	388	151044	wallOwner	5	0
112	389	151812	logic	32768	268468224
112	389	151812	buildingId	0	1
113	389	151813	logic	32768	268468224
113	389	151813	buildingId	0	1
114	389	151814	logic	32768	268468224
114	389	151814	buildingId	0	1
115	389	151815	logic	32768	268468224
115	389	151815	buildingId	0	1
116	389	151816	logic	32768	268468224
116	389	151816	buildingId	0	1
117	389	151817	logic	32768	268468224
117	389	151817	buildingId	0	1
118	389	151818	logic	32768	268468224
118	389	151818	buildingId	0	1
119	389	151819	logic	0	1282
119	389	151819	buildingId	0	6
119	389	151819	height	8	18
119	389	151819	wallOwner	5	0
120	389	151820	logic	32768	34050
120	389	151820	buildingId	0	6
120	389	151820	height	8	18
120	389	151820	wallOwner	5	0
121	389	151821	logic	32768	33026
121	389	151821	height	8	18
121	389	151821	wallOwner	5	0
122	389	151822	logic	32768	34050
122	389	151822	buildingId	0	7
122	389	151822	height	8	18
122	389	151822	wallOwner	5	0
123	389	151823	logic	0	1282
123	389	151823	buildingId	0	7
123	389	151823	height	8	18
123	389	151823	wallOwner	5	0
112	390	152593	logic	32768	268468224
112	390	152593	buildingId	0	1
113	390	152594	logic	32768	268468224
113	390	152594	buildingId	0	1
114	390	152595	logic	32768	268468224
114	390	152595	buildingId	0	1
115	390	152596	logic	32768	268468224
115	390	152596	buildingId	0	1
116	390	152597	logic	32768	268468224
116	390	152597	buildingId	0	1
117	390	152598	logic	32768	268468224
