# mapFileSha256=b5ab8bcc5c4c2783697eef4bbe692ae829b2c7d59c4aff540f79e140c49417fe
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# playerId=3
# keepX=523
# keepY=489
# nativeOrientation=2
# preBuildSetting=0
# selectedCandidateId=0
# aivJsonSha256=907ab0c23abebd42aba220449f8010f7fd12d9c1d87a455fcd24ff478453e9da
# postNativeFailureFlag=0
# changedBuildingRecords=9
# selectedFieldsOfFullBuildingRecordArrayComplete=True
# buildingId is one-based
buildingId	phase	aliveState	type	owner	globalId	nativeCleanupLinkId	tileIdBegin	occupyTileGridSize	tileX	tileY
10	before	1	41	2	465609	465609	232106	7	510	502
10	after	1	41	3	465643	465643	224202	7	523	489
11	before	1	71	2	465610	465609	234481	1	517	506
11	after	1	71	3	465644	465643	226681	1	530	493
12	before	1	73	2	465611	465609	233892	1	517	505
12	after	1	73	3	465645	465643	226066	1	530	492
13	before	1	72	2	465612	465609	233301	1	517	504
13	after	1	72	3	465646	465643	225449	1	530	491
14	before	1	55	2	465613	465609	232114	7	518	502
14	after	1	55	3	465647	465643	224210	7	531	489
19	before	0	0	0	0	0	0	0	0	0
19	after	1	10	3	465648	465648	221069	2	525	484
20	before	0	0	0	0	0	0	0	0	0
20	after	1	10	3	465649	465648	221072	2	528	484
21	before	0	0	0	0	0	0	0	0	0
21	after	1	10	3	465650	465648	222956	2	525	487
22	before	0	0	0	0	0	0	0	0	0
22	after	1	10	3	465651	465648	222959	2	528	487
