# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\CrusadesCrossing.map
# mapFileSha256=b5ab8bcc5c4c2783697eef4bbe692ae829b2c7d59c4aff540f79e140c49417fe
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=0
# playerId=5
# keepX=376
# keepY=672
# nativeOrientation=0
# scale=7
# isFree=False
# selectionPlacementState=2
# selectionAccepted=True
# selectionFinalOrientation=0
# finalCandidateId=0
# selectedCandidateId=0
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\marshal7.aivjson
# aivJsonSha256=384abb01e5b4c0ff36ceddeac64c3a8dc8151d0113d1189a32d8c7feb9bb337f
# preNativeFailureFlag=0
# preNativeFailureReasonRaw=0
# preNativeStartCleanupFlag=1
# preNativeDestroyedRecordMarker=1
# postNativeFailureFlag=0
# postNativeFailureReasonRaw=0
# postNativeStartCleanupFlag=0
# postNativeDestroyedRecordMarker=1
# postNativeFailureReason=<not-applicable>
# sampledTiles=320800
# fullMapTileLayersComplete=True
# beforeScanMilliseconds=14.878
# afterScanMilliseconds=9.892
# changedLayerCells=248
# changedBuildingRecords=9
# buildingRecordTrace=oracle-start-trace-20260924-225634-560-session001-p5-n05.records.tsv
# newBuildingCells=117
# replacedBuildingCells=0
# clearedBuildingCells=0
# sampledRegionComplete=True
x	y	tileId	layer	before	after
376	672	304392	logic	32768	268468224
376	672	304392	buildingId	0	32
377	672	304393	logic	32768	268468224
377	672	304393	buildingId	0	32
378	672	304394	logic	32768	268468224
378	672	304394	buildingId	0	32
379	672	304395	logic	32768	268468224
379	672	304395	buildingId	0	32
380	672	304396	logic	32768	268468224
380	672	304396	buildingId	0	32
381	672	304397	logic	32768	268468224
381	672	304397	buildingId	0	32
382	672	304398	logic	32768	268468224
382	672	304398	buildingId	0	32
376	673	304647	logic	32768	268468224
376	673	304647	buildingId	0	32
377	673	304648	logic	32768	268468224
377	673	304648	buildingId	0	32
378	673	304649	logic	32768	268468224
378	673	304649	buildingId	0	32
379	673	304650	logic	32768	268468224
379	673	304650	buildingId	0	32
380	673	304651	logic	32768	268468224
380	673	304651	buildingId	0	32
381	673	304652	logic	32768	268468224
381	673	304652	buildingId	0	32
382	673	304653	logic	32768	268468224
382	673	304653	buildingId	0	32
376	674	304900	logic	32768	268468224
376	674	304900	buildingId	0	32
377	674	304901	logic	32768	268468224
377	674	304901	buildingId	0	32
378	674	304902	logic	32768	268468224
378	674	304902	buildingId	0	32
379	674	304903	logic	32768	268468224
379	674	304903	buildingId	0	32
380	674	304904	logic	32768	268468224
380	674	304904	buildingId	0	32
381	674	304905	logic	32768	268468224
381	674	304905	buildingId	0	32
382	674	304906	logic	32768	268468224
382	674	304906	buildingId	0	32
383	674	304907	logic	0	1282
383	674	304907	buildingId	0	37
383	674	304907	height	8	18
383	674	304907	wallOwner	3	4
384	674	304908	logic	0	1282
384	674	304908	buildingId	0	37
384	674	304908	height	8	18
384	674	304908	wallOwner	3	4
385	674	304909	logic	0	258
385	674	304909	height	8	18
385	674	304909	wallOwner	3	4
386	674	304910	logic	0	1282
386	674	304910	buildingId	0	38
386	674	304910	height	8	18
386	674	304910	wallOwner	3	4
387	674	304911	logic	0	1282
387	674	304911	buildingId	0	38
387	674	304911	height	8	18
387	674	304911	wallOwner	3	4
376	675	305151	logic	32768	268468224
376	675	305151	buildingId	0	32
377	675	305152	logic	32768	268468224
377	675	305152	buildingId	0	32
378	675	305153	logic	32768	268468224
378	675	305153	buildingId	0	32
379	675	305154	logic	32768	268468224
379	675	305154	buildingId	0	32
380	675	305155	logic	32768	268468224
380	675	305155	buildingId	0	32
381	675	305156	logic	32768	268468224
381	675	305156	buildingId	0	32
382	675	305157	logic	32768	268468224
382	675	305157	buildingId	0	32
383	675	305158	logic	0	1282
383	675	305158	buildingId	0	37
383	675	305158	height	8	18
383	675	305158	wallOwner	3	4
384	675	305159	logic	32768	34050
384	675	305159	buildingId	0	37
384	675	305159	height	8	18
384	675	305159	wallOwner	3	4
385	675	305160	logic	32768	33026
385	675	305160	height	8	18
385	675	305160	wallOwner	3	4
386	675	305161	logic	32768	34050
386	675	305161	buildingId	0	38
386	675	305161	height	8	18
386	675	305161	wallOwner	3	4
387	675	305162	logic	0	1282
387	675	305162	buildingId	0	38
387	675	305162	height	8	18
387	675	305162	wallOwner	3	4
376	676	305400	logic	32768	268468224
376	676	305400	buildingId	0	32
377	676	305401	logic	32768	268468224
377	676	305401	buildingId	0	32
378	676	305402	logic	32768	268468224
378	676	305402	buildingId	0	32
379	676	305403	logic	32768	268468224
379	676	305403	buildingId	0	32
380	676	305404	logic	32768	268468224
380	676	305404	buildingId	0	32
381	676	305405	logic	32768	268468224
381	676	305405	buildingId	0	32
382	676	305406	logic	32768	268468224
382	676	305406	buildingId	0	32
383	676	305407	logic	0	258
383	676	305407	height	8	18
383	676	305407	wallOwner	3	4
384	676	305408	logic	32768	33026
384	676	305408	height	8	18
384	676	305408	wallOwner	3	4
385	676	305409	logic	32768	33026
385	676	305409	height	8	18
385	676	305409	wallOwner	3	4
386	676	305410	logic	32768	33026
386	676	305410	height	8	18
386	676	305410	wallOwner	3	4
387	676	305411	logic	0	258
387	676	305411	height	8	18
387	676	305411	wallOwner	3	4
376	677	305647	logic	32768	268468224
376	677	305647	buildingId	0	32
377	677	305648	logic	32768	268468224
377	677	305648	buildingId	0	32
378	677	305649	logic	32768	268468224
378	677	305649	buildingId	0	32
379	677	305650	logic	32768	268468224
379	677	305650	buildingId	0	32
380	677	305651	logic	32768	268468224
380	677	305651	buildingId	0	32
381	677	305652	logic	32768	268468224
381	677	305652	buildingId	0	32
382	677	305653	logic	32768	268468224
382	677	305653	buildingId	0	32
383	677	305654	logic	0	1282
