# mapFileSha256=b5ab8bcc5c4c2783697eef4bbe692ae829b2c7d59c4aff540f79e140c49417fe
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# playerId=6
# keepX=448
# keepY=636
# nativeOrientation=6
# preBuildSetting=0
# selectedCandidateId=0
# aivJsonSha256=ffa393f8dfb7899742c7647645d3cd3fa582090c7770cf9d32d89c96d46bd658
# postNativeFailureFlag=0
# changedBuildingRecords=9
# selectedFieldsOfFullBuildingRecordArrayComplete=True
# buildingId is one-based
buildingId	phase	aliveState	type	owner	globalId	nativeCleanupLinkId	tileIdBegin	occupyTileGridSize	tileX	tileY
41	before	0	0	0	0	0	0	0	0	0
41	after	1	41	6	465673	465673	293952	7	448	636
42	before	0	0	0	0	0	0	0	0	0
42	after	1	71	6	465674	465673	294603	1	447	638
43	before	0	0	0	0	0	0	0	0	0
43	after	1	73	6	465675	465673	294926	1	447	639
44	before	0	0	0	0	0	0	0	0	0
44	after	1	72	6	465676	465673	295247	1	447	640
45	before	0	0	0	0	0	0	0	0	0
45	after	1	55	6	465677	465673	293944	7	440	636
46	before	0	0	0	0	0	0	0	0	0
46	after	1	10	6	465678	465678	296199	2	448	643
47	before	0	0	0	0	0	0	0	0	0
47	after	1	10	6	465679	465678	296202	2	451	643
48	before	0	0	0	0	0	0	0	0	0
48	after	1	10	6	465680	465678	297132	2	448	646
49	before	0	0	0	0	0	0	0	0	0
49	after	1	10	6	465681	465678	297135	2	451	646
