# capturedAtLocal=2026-09-24T22:59:26.4866505+02:00
# mapLoadSequence=2
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\CrusadesCrossing.map
# mapFileSha256=b5ab8bcc5c4c2783697eef4bbe692ae829b2c7d59c4aff540f79e140c49417fe
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# selectionFound=True
# finalCandidateId=0
# finalOrientation=6
# nativeStartOptions=mode=99,option2F0=0,option2F4=1,option2F8=4294967297
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\abbot2.aivjson
# aivJsonSha256=486ff3d30ba01c407d039d367a53b1391fd9f2feff500eb82e420cb297afdf07
# keepX=210
# keepY=321
# captureSequence=5
# playerId=7
# frameCount=118
# pointerProblemFrames=0
# captureErrorFrames=0
# highlightedMapperFrames=5
# layerChanges=5650
# buildingRecordChanges=59
# beforeCaptureMilliseconds=930,7
# afterCaptureMilliseconds=1068,8
# frameSnapshotsComplete=True
# provenanceComplete=True
captureFrameNumber	startedAtLocal	completedAtLocal	selectionSequence	frameIndex	activeLayoutIndex	mapper	highlightedMapper	status	helper	positionCount	firstPositionIndex	restrictedMode	freeOrForced	returnValue	placementStateAddress	pointerConsistent	added	removed	replaced	changed	captureError
1	2026-09-24T22:59:26.4866505+02:00	2026-09-24T22:59:26.4951557+02:00	13	0	6	0	False	0	0	0	0	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
2	2026-09-24T22:59:26.5041684+02:00	2026-09-24T22:59:26.5116742+02:00	13	1	6	0	False	0	0	0	0	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
3	2026-09-24T22:59:26.5201794+02:00	2026-09-24T22:59:26.5281891+02:00	13	2	6	77	False	1	0	1	116766	0	1	1	0x7FFABBF8EDB0	True	25	0	0	25	
4	2026-09-24T22:59:26.5361908+02:00	2026-09-24T22:59:26.5456980+02:00	13	3	6	80	False	1	0	1	94074	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
5	2026-09-24T22:59:26.5542046+02:00	2026-09-24T22:59:26.5617116+02:00	13	4	6	75	False	1	0	1	91634	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
6	2026-09-24T22:59:26.5712171+02:00	2026-09-24T22:59:26.5797243+02:00	13	5	6	74	False	1	0	1	108046	0	1	1	0x7FFABBF8EDB0	True	9	0	0	9	
7	2026-09-24T22:59:26.5882298+02:00	2026-09-24T22:59:26.5967361+02:00	13	6	6	75	False	1	0	1	104802	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
8	2026-09-24T22:59:26.6052434+02:00	2026-09-24T22:59:26.6137513+02:00	13	7	6	97	False	1	0	1	108067	0	1	1	0x7FFABBF8EDB0	True	169	0	0	169	
9	2026-09-24T22:59:26.6222561+02:00	2026-09-24T22:59:26.6302674+02:00	13	8	6	54	False	1	0	1	120218	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
10	2026-09-24T22:59:26.6387747+02:00	2026-09-24T22:59:26.6467747+02:00	13	9	6	52	True	1	0	1	108053	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
11	2026-09-24T22:59:26.6552810+02:00	2026-09-24T22:59:26.6637883+02:00	13	10	6	52	True	1	0	1	111373	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
12	2026-09-24T22:59:26.6722929+02:00	2026-09-24T22:59:26.6808007+02:00	13	11	6	54	False	1	0	1	110028	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
13	2026-09-24T22:59:26.6893065+02:00	2026-09-24T22:59:26.6978118+02:00	13	12	6	54	False	1	0	1	99059	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
14	2026-09-24T22:59:26.7063168+02:00	2026-09-24T22:59:26.7148232+02:00	13	13	6	52	True	1	0	1	114738	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
15	2026-09-24T22:59:26.7238349+02:00	2026-09-24T22:59:26.7323405+02:00	13	14	6	54	False	1	0	1	125150	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
16	2026-09-24T22:59:26.7408499+02:00	2026-09-24T22:59:26.7483518+02:00	13	15	6	75	False	1	0	1	89226	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
17	2026-09-24T22:59:26.7578577+02:00	2026-09-24T22:59:26.7658612+02:00	13	16	6	52	True	1	0	1	118153	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
18	2026-09-24T22:59:26.7753672+02:00	2026-09-24T22:59:26.7838731+02:00	13	17	6	52	True	1	0	1	121618	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
19	2026-09-24T22:59:26.7923814+02:00	2026-09-24T22:59:26.8003931+02:00	13	18	6	87	False	1	0	1	90417	0	1	1	0x7FFABBF8EDB0	True	100	0	0	100	
20	2026-09-24T22:59:26.8098988+02:00	2026-09-24T22:59:26.8214060+02:00	13	19	6	106	False	1	0	140	228	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
21	2026-09-24T22:59:26.8314164+02:00	2026-09-24T22:59:26.8409240+02:00	13	20	6	81	False	1	0	1	110023	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
22	2026-09-24T22:59:26.8504294+02:00	2026-09-24T22:59:26.8649378+02:00	13	21	6	342	False	1	0	1	102226	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
23	2026-09-24T22:59:26.8744417+02:00	2026-09-24T22:59:26.8819478+02:00	13	22	6	50	False	1	0	1	117447	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
24	2026-09-24T22:59:26.8914533+02:00	2026-09-24T22:59:26.8984644+02:00	13	23	6	54	False	1	0	1	83339	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
25	2026-09-24T22:59:26.9079671+02:00	2026-09-24T22:59:26.9159700+02:00	13	24	6	54	False	1	0	1	107383	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
26	2026-09-24T22:59:26.9249820+02:00	2026-09-24T22:59:26.9324876+02:00	13	25	6	54	False	1	0	1	89230	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
27	2026-09-24T22:59:26.9419936+02:00	2026-09-24T22:59:26.9494990+02:00	13	26	6	95	False	1	0	1	96516	0	1	1	0x7FFABBF8EDB0	True	36	0	0	36	
28	2026-09-24T22:59:26.9580016+02:00	2026-09-24T22:59:26.9660052+02:00	13	27	6	176	False	1	0	1	97813	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
29	2026-09-24T22:59:26.9755107+02:00	2026-09-24T22:59:26.9830163+02:00	13	28	6	176	False	1	0	1	116808	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
30	2026-09-24T22:59:26.9925229+02:00	2026-09-24T22:59:26.9995341+02:00	13	29	6	176	False	1	0	1	112069	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
31	2026-09-24T22:59:27.0080377+02:00	2026-09-24T22:59:27.0160391+02:00	13	30	6	176	False	1	0	1	102244	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
32	2026-09-24T22:59:27.0250514+02:00	2026-09-24T22:59:27.0335577+02:00	13	31	6	76	False	1	0	1	99030	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
33	2026-09-24T22:59:27.0430644+02:00	2026-09-24T22:59:27.0505691+02:00	13	32	6	92	False	1	0	1	113380	0	1	1	0x7FFABBF8EDB0	True	25	0	0	25	
34	2026-09-24T22:59:27.0620743+02:00	2026-09-24T22:59:27.0695854+02:00	13	33	6	54	False	1	0	1	122334	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
35	2026-09-24T22:59:27.0790903+02:00	2026-09-24T22:59:27.0860891+02:00	13	34	6	54	False	1	0	1	123010	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
36	2026-09-24T22:59:27.0960997+02:00	2026-09-24T22:59:27.1036073+02:00	13	35	6	342	False	1	0	1	110032	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
37	2026-09-24T22:59:27.1131124+02:00	2026-09-24T22:59:27.1211250+02:00	13	36	6	330	False	1	0	1	100937	0	1	1	0x7FFABBF8EDB0	True	9	0	0	9	
38	2026-09-24T22:59:27.1301375+02:00	2026-09-24T22:59:27.1376404+02:00	13	37	6	330	False	1	0	1	114046	0	1	1	0x7FFABBF8EDB0	True	9	0	0	9	
39	2026-09-24T22:59:27.1466447+02:00	2026-09-24T22:59:27.1541495+02:00	13	38	6	75	False	1	0	1	104159	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
40	2026-09-24T22:59:27.1626584+02:00	2026-09-24T22:59:27.1701636+02:00	13	39	6	25	False	1	0	19	925	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
41	2026-09-24T22:59:27.1796736+02:00	2026-09-24T22:59:27.1866737+02:00	13	40	6	25	False	1	0	19	440	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
42	2026-09-24T22:59:27.1956818+02:00	2026-09-24T22:59:27.2041908+02:00	13	41	6	25	False	1	0	43	632	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
43	2026-09-24T22:59:27.2126979+02:00	2026-09-24T22:59:27.2202055+02:00	13	42	6	185	False	1	0	1	107418	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
44	2026-09-24T22:59:27.2292180+02:00	2026-09-24T22:59:27.2362177+02:00	13	43	6	184	False	1	0	1	107419	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
45	2026-09-24T22:59:27.2457245+02:00	2026-09-24T22:59:27.2542309+02:00	13	44	6	183	False	1	0	1	107420	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
46	2026-09-24T22:59:27.2627394+02:00	2026-09-24T22:59:27.2712448+02:00	13	45	6	182	False	1	0	1	107421	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
47	2026-09-24T22:59:27.2797526+02:00	2026-09-24T22:59:27.2877520+02:00	13	46	6	181	False	1	0	1	107422	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
48	2026-09-24T22:59:27.2967659+02:00	2026-09-24T22:59:27.3052719+02:00	13	47	6	25	False	1	0	22	459	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
49	2026-09-24T22:59:27.3137812+02:00	2026-09-24T22:59:27.3212872+02:00	13	48	6	25	False	1	0	12	563	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
50	2026-09-24T22:59:27.3302996+02:00	2026-09-24T22:59:27.3388078+02:00	13	49	6	25	False	1	0	30	846	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
51	2026-09-24T22:59:27.3483126+02:00	2026-09-24T22:59:27.3553147+02:00	13	50	6	113	False	1	0	1	129423	0	1	1	0x7FFABBF8EDB0	True	36	0	0	36	
52	2026-09-24T22:59:27.3648214+02:00	2026-09-24T22:59:27.3723269+02:00	13	51	6	144	False	1	0	1	100308	0	1	1	0x7FFABBF8EDB0	True	25	0	0	25	
53	2026-09-24T22:59:27.3818326+02:00	2026-09-24T22:59:27.3893378+02:00	13	52	6	25	False	1	0	19	481	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
54	2026-09-24T22:59:27.3983507+02:00	2026-09-24T22:59:27.4063518+02:00	13	53	6	75	False	1	0	1	101591	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
55	2026-09-24T22:59:27.4148584+02:00	2026-09-24T22:59:27.4223635+02:00	13	54	6	75	False	1	0	1	99055	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
56	2026-09-24T22:59:27.4313749+02:00	2026-09-24T22:59:27.4388816+02:00	13	55	6	50	False	1	0	1	113367	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
57	2026-09-24T22:59:27.4483856+02:00	2026-09-24T22:59:27.4563865+02:00	13	56	6	76	False	1	0	1	117457	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
58	2026-09-24T22:59:27.4658933+02:00	2026-09-24T22:59:27.4743996+02:00	13	57	6	50	False	1	0	1	113363	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
59	2026-09-24T22:59:27.4829046+02:00	2026-09-24T22:59:27.4904106+02:00	13	58	6	76	False	1	0	1	117461	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
