# mapFileSha256=b5ab8bcc5c4c2783697eef4bbe692ae829b2c7d59c4aff540f79e140c49417fe
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# playerId=7
# keepX=217
# keepY=321
# nativeOrientation=6
# preBuildSetting=1
# selectedCandidateId=0
# aivJsonSha256=486ff3d30ba01c407d039d367a53b1391fd9f2feff500eb82e420cb297afdf07
# postNativeFailureFlag=0
# changedBuildingRecords=9
# selectedFieldsOfFullBuildingRecordArrayComplete=True
# buildingId is one-based
buildingId	phase	aliveState	type	owner	globalId	nativeCleanupLinkId	tileIdBegin	occupyTileGridSize	tileX	tileY
829	before	0	0	0	0	0	0	0	0	0
829	after	1	41	7	466729	466729	103501	7	217	321
830	before	0	0	0	0	0	0	0	0	0
830	after	1	71	7	466730	466729	104792	1	216	323
831	before	0	0	0	0	0	0	0	0	0
831	after	1	73	7	466731	466729	105441	1	216	324
832	before	0	0	0	0	0	0	0	0	0
832	after	1	72	7	466732	466729	106092	1	216	325
833	before	0	0	0	0	0	0	0	0	0
833	after	1	55	7	466733	466729	103493	7	209	321
834	before	0	0	0	0	0	0	0	0	0
834	after	1	10	7	466734	466734	108058	2	217	328
835	before	0	0	0	0	0	0	0	0	0
835	after	1	10	7	466735	466734	108061	2	220	328
836	before	0	0	0	0	0	0	0	0	0
836	after	1	10	7	466736	466734	110041	2	217	331
837	before	0	0	0	0	0	0	0	0	0
837	after	1	10	7	466737	466734	110044	2	220	331
