# capturedAtLocal=2026-09-24T22:59:53.8699015+02:00
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\CrusadesCrossing.map
# mapFileSha256=b5ab8bcc5c4c2783697eef4bbe692ae829b2c7d59c4aff540f79e140c49417fe
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=0
# playerId=8
# orientation=4
# keepX=338
# keepY=181
# occupiedCells=1097
tileId	buildingId	ownerId	terrainFlags
92615	32	0	32768
92616	32	0	32768
92617	32	0	32768
92618	32	0	32768
92619	32	0	32768
92620	32	0	32768
92621	32	0	32768
93224	32	0	32768
93225	32	0	32768
93226	32	0	32768
93227	32	0	32768
93228	32	0	32768
93229	32	0	32768
93230	32	0	32768
93835	32	0	0
93836	32	0	0
93837	32	0	0
93838	32	0	1024
93839	32	0	0
93840	32	0	0
93841	32	0	32768
94448	32	2	0
94449	32	2	0
94450	32	2	1024
94451	32	2	1024
94452	32	2	1024
94453	32	0	0
94454	32	0	32768
95063	32	2	0
95064	32	2	32768
95065	32	2	32768
95066	32	2	33792
95067	32	2	0
95068	32	0	0
95069	32	0	32768
95680	32	2	0
95681	32	2	32768
95682	32	2	32768
95683	32	2	32768
95684	32	2	0
95685	32	0	0
95686	32	0	32768
96299	32	2	0
96300	32	2	32768
96301	32	2	32768
96302	32	2	32768
96303	32	2	0
96304	32	0	0
96305	32	0	32768
96922	31	2	1024
96923	30	2	0
96924	29	2	1024
97538	33	3	34050
97539	33	3	34050
97541	34	3	34050
97542	34	3	1282
97543	28	0	268435456
97544	28	0	268435456
97545	28	0	268435456
97546	28	0	268435456
97547	28	0	268435456
97548	28	0	268435456
97549	28	0	268468224
98163	33	3	34050
98164	33	3	34050
98166	34	3	34050
98167	34	3	34050
98168	28	0	268468224
98169	28	0	268468224
98170	28	0	268468224
98171	28	0	268468224
98172	28	0	268468224
98173	28	0	268468224
98174	28	0	268468224
98795	28	0	268468224
98796	28	0	268468224
98797	28	0	268468224
98798	28	0	268468224
98799	28	0	268468224
98800	28	0	268468224
98801	28	0	268468224
99419	35	3	34050
99420	35	3	34050
99422	36	3	34050
99423	36	3	34050
99424	28	0	268468224
99425	28	0	268468224
99426	28	0	268468224
99427	28	0	268468224
99428	28	0	268468224
99429	28	0	268468224
99430	28	0	268468224
100050	35	3	34050
100051	35	3	34050
100053	36	3	34050
100054	36	3	34050
100055	28	0	268468224
100056	28	0	268468224
100057	28	0	268468224
100058	28	0	268468224
100059	28	0	268468224
100060	28	0	268468224
100061	28	0	268468224
100688	28	0	268468224
100689	28	0	268468224
100690	28	0	268468224
100691	28	0	268468224
100692	28	0	268468224
100693	28	0	268468224
100694	28	0	268468224
101323	28	0	268468224
101324	28	0	268468224
101325	28	0	268468224
101326	28	0	268468224
101327	28	0	268468224
101328	28	0	268468224
101329	28	0	268468224
102356	74	0	33792
102357	74	0	33792
102358	74	0	33792
102359	74	0	33792
102360	74	0	33792
102997	74	0	33792
102998	74	0	33792
102999	74	0	33792
103000	74	0	33792
103001	74	0	33792
103493	59	0	32768
103494	59	0	32768
103495	59	0	32768
103496	59	0	32768
103497	59	0	32768
103498	59	0	32768
103499	59	0	32768
103501	55	0	268468224
103502	55	0	268468224
103503	55	0	268468224
103504	55	0	268468224
103505	55	0	268468224
103506	55	0	268468224
103507	55	0	268468224
103640	74	0	33792
103641	74	0	33792
103642	74	0	33792
103643	74	0	33792
103644	74	0	33792
104138	59	0	32768
104139	59	0	32768
104140	59	0	32768
104141	59	0	32768
104142	59	0	32768
104143	59	0	32768
104144	59	0	32768
104146	55	0	268468224
104147	55	0	268468224
104148	55	0	268468224
104149	55	0	268468224
104150	55	0	268468224
104151	55	0	268468224
104152	55	0	268468224
104285	74	0	33792
104286	74	0	33792
104287	74	0	33792
104288	74	0	33792
104289	74	0	33792
104785	59	0	32768
104786	59	0	32768
104787	59	0	32768
104788	59	0	33792
104789	59	0	32768
104790	59	0	32768
104791	59	0	32768
104792	56	0	33792
104793	55	6	268435456
104794	55	6	268435456
104795	55	6	268435456
104796	55	6	268435456
104797	55	6	268435456
104798	55	0	268468224
104799	55	0	268468224
104932	74	0	33792
104933	74	0	33792
104934	74	0	33792
104935	74	0	33792
104936	74	0	33792
105434	59	0	32768
105435	59	0	32768
105436	59	0	33792
105437	59	0	33792
105438	59	0	33792
105439	59	0	32768
105440	59	0	32768
105441	57	0	32768
105442	55	6	268435456
105443	55	6	268468224
105444	55	6	268468224
105445	55	6	268468224
105446	55	6	268435456
105447	55	0	268468224
105448	55	0	268468224
106085	59	0	32768
106086	59	0	32768
106087	59	0	32768
106088	59	0	33792
106089	59	0	32768
106090	59	0	32768
106091	59	0	32768
106092	58	0	33792
106093	55	6	268435456
106094	55	6	268468224
106095	55	6	268468224
106096	55	6	268468224
106097	55	6	268435456
106098	55	0	268468224
106099	55	0	268468224
106738	59	0	32768
106739	59	0	32768
106740	59	0	32768
106741	59	0	32768
106742	59	0	32768
106743	59	0	32768
106744	59	0	32768
106746	55	6	268435456
106747	55	6	268468224
106748	55	6	268468224
106749	55	6	268468224
106750	55	6	268435456
106751	55	0	268468224
106752	55	0	268468224
107393	59	0	32768
107394	59	0	32768
107395	59	0	32768
107396	59	0	32768
107397	59	0	32768
107398	59	0	32768
107399	59	0	32768
107401	55	6	268435456
107402	55	6	268435456
107403	55	6	268435456
107404	55	6	268435456
107405	55	6	268435456
107406	55	0	268468224
107407	55	0	268468224
108058	60	6	34050
108059	60	6	34050
108061	61	6	34050
108062	61	6	34050
108717	60	6	34050
108718	60	6	34050
108720	61	6	34050
108721	61	6	34050
110041	62	6	34050
110042	62	6	34050
110044	63	6	34050
110045	63	6	34050
110706	62	6	34050
110707	62	6	34050
110709	63	6	34050
110710	63	6	34050
114369	85	0	33792
114371	77	0	33792
114372	77	0	33792
114373	77	0	33792
114374	77	0	33792
115048	77	0	33792
115049	77	0	33792
115050	77	0	33792
115051	77	0	33792
115727	77	0	33792
115728	77	0	33792
115729	77	0	33792
115730	77	0	33792
116399	76	0	33792
116400	76	0	33792
116401	76	0	33792
116402	76	0	33792
116408	77	0	33792
116409	77	0	33792
116410	77	0	33792
116411	77	0	33792
116413	81	0	33792
116414	81	0	33792
117082	76	0	33792
117083	76	0	33792
117084	76	0	33792
117085	76	0	33792
117096	81	0	33792
117097	81	0	33792
117108	90	0	33792
117767	76	0	33792
117768	76	0	33792
117769	76	0	33792
117770	76	0	33792
117771	88	0	33792
117779	89	0	33792
118454	76	0	33792
118455	76	0	33792
118456	76	0	33792
118457	76	0	33792
118478	86	0	33792
118483	79	0	33792
118484	79	0	33792
119141	84	0	33792
119172	79	0	33792
119173	79	0	33792
119175	92	0	33792
119835	87	0	33792
119837	82	0	33792
119838	82	0	33792
119842	83	0	33792
120530	82	0	33792
120531	82	0	33792
120555	78	0	33792
120556	78	0	33792
120562	91	0	33792
121250	78	0	33792
121251	78	0	33792
121255	80	0	33792
121256	80	0	33792
121388	108	0	33792
121952	80	0	33792
121953	80	0	33792
122088	103	0	33792
122089	103	0	33792
122090	103	0	33792
122091	103	0	33792
122092	103	0	33792
122787	103	0	33792
122788	103	0	33792
122789	103	0	33792
122790	103	0	33792
122791	103	0	33792
123488	103	0	33792
123489	103	0	33792
123490	103	0	33792
123491	103	0	33792
123492	103	0	33792
123494	109	0	33792
124191	103	0	33792
124192	103	0	33792
124193	103	0	33792
124194	103	0	33792
124195	103	0	33792
124896	103	0	33792
124897	103	0	33792
124898	103	0	33792
124899	103	0	33792
124900	103	0	33792
126313	105	0	33792
127030	104	0	33792
127741	106	0	33792
127742	106	0	33792
128451	107	0	33792
128456	106	0	33792
128457	106	0	33792
130609	102	0	33792
130610	102	0	33792
130611	102	0	33792
130612	102	0	33792
130613	102	0	33792
130614	102	0	33792
130615	102	0	33792
131332	102	0	33792
131333	102	0	33792
131334	102	0	33792
131335	102	0	33792
131336	102	0	33792
131337	102	0	33792
131338	102	0	33792
132057	102	0	33792
132058	102	0	33792
132059	102	0	33792
132060	102	0	33792
132061	102	0	33792
132062	102	0	33792
132063	102	0	33792
132784	102	0	33792
132785	102	0	33792
132786	102	0	33792
132787	102	0	33792
132788	102	0	33792
132789	102	0	33792
132790	102	0	33792
133512	111	0	33792
133513	102	0	33792
133514	102	0	33792
133515	102	0	33792
133516	102	0	33792
133517	102	0	33792
133518	102	0	33792
133519	102	0	33792
134244	102	0	33792
134245	102	0	33792
134246	102	0	33792
134247	102	0	33792
134248	102	0	33792
134249	102	0	33792
134250	102	0	33792
134254	110	0	33792
134977	102	0	33792
134978	102	0	33792
134979	102	0	33792
134980	102	0	33792
134981	102	0	33792
134982	102	0	33792
134983	102	0	33792
149481	1	0	268468224
