# mapFileSha256=b5ab8bcc5c4c2783697eef4bbe692ae829b2c7d59c4aff540f79e140c49417fe
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# playerId=1
# keepX=112
# keepY=386
# nativeOrientation=15
# preBuildSetting=0
# selectedCandidateId=<none>
# aivJsonSha256=<not-available>
# postNativeFailureFlag=0
# changedBuildingRecords=9
# selectedFieldsOfFullBuildingRecordArrayComplete=True
# buildingId is one-based
buildingId	phase	aliveState	type	owner	globalId	nativeCleanupLinkId	tileIdBegin	occupyTileGridSize	tileX	tileY
1	before	0	0	0	0	0	0	0	0	0
1	after	1	41	1	465599	465599	149481	7	112	386
2	before	0	0	0	0	0	0	0	0	0
2	after	1	71	1	465600	465599	154950	1	114	393
3	before	0	0	0	0	0	0	0	0	0
3	after	1	73	1	465601	465599	154951	1	115	393
4	before	0	0	0	0	0	0	0	0	0
4	after	1	72	1	465602	465599	154952	1	116	393
5	before	0	0	0	0	0	0	0	0	0
5	after	1	55	1	465603	465599	155737	7	112	394
6	before	0	0	0	0	0	0	0	0	0
6	after	1	10	1	465604	465604	151040	2	119	388
7	before	0	0	0	0	0	0	0	0	0
7	after	1	10	1	465605	465604	151043	2	122	388
8	before	0	0	0	0	0	0	0	0	0
8	after	1	10	1	465606	465604	153383	2	119	391
9	before	0	0	0	0	0	0	0	0	0
9	after	1	10	1	465607	465604	153386	2	122	391
