# capturedAtLocal=2026-09-24T16:11:20.9769004+02:00
# mapLoadSequence=2
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Crater Lake.map
# mapFileSha256=c5d9906aa37ed96ec1cf9b3eb0c7f6fb5b3e1d8063167fe22337e69c153bb887
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# selectionFound=True
# finalCandidateId=0
# finalOrientation=0
# nativeStartOptions=mode=99,option2F0=0,option2F4=1,option2F8=4294967297
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\nomad4.aivjson
# aivJsonSha256=54a4bef2e38baf573124a9075a95ce0d94a3ea1941282f4af0b09481a421693b
# keepX=423
# keepY=667
# captureSequence=7
# playerId=8
# frameCount=80
# pointerProblemFrames=0
# captureErrorFrames=0
# highlightedMapperFrames=1
# layerChanges=756
# buildingRecordChanges=61
# beforeCaptureMilliseconds=625,4
# afterCaptureMilliseconds=751,4
# frameSnapshotsComplete=True
# provenanceComplete=True
captureFrameNumber	startedAtLocal	completedAtLocal	selectionSequence	frameIndex	activeLayoutIndex	mapper	highlightedMapper	status	helper	positionCount	firstPositionIndex	restrictedMode	freeOrForced	returnValue	placementStateAddress	pointerConsistent	added	removed	replaced	changed	captureError
1	2026-09-24T16:11:20.9769004+02:00	2026-09-24T16:11:20.9844109+02:00	14	0	7	0	False	0	0	0	0	0	1	0	0x7FFAAB78EDB0	True	0	0	0	0	
2	2026-09-24T16:11:20.9927488+02:00	2026-09-24T16:11:21.0007522+02:00	14	1	7	0	False	0	0	0	0	0	1	0	0x7FFAAB78EDB0	True	0	0	0	0	
3	2026-09-24T16:11:21.0107883+02:00	2026-09-24T16:11:21.0186306+02:00	14	2	7	80	False	1	0	1	307836	0	1	1	0x7FFAAB78EDB0	True	16	0	0	16	
4	2026-09-24T16:11:21.0281534+02:00	2026-09-24T16:11:21.0359778+02:00	14	3	7	52	True	1	0	1	305210	0	1	0	0x7FFAAB78EDB0	True	0	0	0	0	
5	2026-09-24T16:11:21.0445202+02:00	2026-09-24T16:11:21.0520402+02:00	14	4	7	54	False	1	0	1	304434	0	1	1	0x7FFAAB78EDB0	True	16	0	0	16	
6	2026-09-24T16:11:21.0616328+02:00	2026-09-24T16:11:21.0701415+02:00	14	5	7	46	False	1	0	8	22	0	1	1	0x7FFAAB78EDB0	True	0	0	0	0	
7	2026-09-24T16:11:21.0787570+02:00	2026-09-24T16:11:21.0872539+02:00	14	6	7	46	False	1	0	5	0	0	1	1	0x7FFAAB78EDB0	True	0	0	0	0	
8	2026-09-24T16:11:21.0966901+02:00	2026-09-24T16:11:21.1045123+02:00	14	7	7	46	False	1	0	10	5	0	1	1	0x7FFAAB78EDB0	True	0	0	0	0	
9	2026-09-24T16:11:21.1141502+02:00	2026-09-24T16:11:21.1206770+02:00	14	8	7	79	False	1	0	1	305711	0	1	1	0x7FFAAB78EDB0	True	100	0	0	100	
10	2026-09-24T16:11:21.1301553+02:00	2026-09-24T16:11:21.1384218+02:00	14	9	7	77	False	1	0	1	307830	0	1	1	0x7FFAAB78EDB0	True	25	0	0	25	
11	2026-09-24T16:11:21.1481851+02:00	2026-09-24T16:11:21.1559492+02:00	14	10	7	46	False	1	0	16	55	0	1	1	0x7FFAAB78EDB0	True	0	0	0	0	
12	2026-09-24T16:11:21.1654852+02:00	2026-09-24T16:11:21.1735012+02:00	14	11	7	46	False	1	0	9	75	0	1	1	0x7FFAAB78EDB0	True	0	0	0	0	
13	2026-09-24T16:11:21.1820200+02:00	2026-09-24T16:11:21.1900368+02:00	14	12	7	54	False	1	0	1	303399	0	1	1	0x7FFAAB78EDB0	True	16	0	0	16	
14	2026-09-24T16:11:21.2000412+02:00	2026-09-24T16:11:21.2080573+02:00	14	13	7	46	False	1	0	4	71	0	1	1	0x7FFAAB78EDB0	True	0	0	0	0	
15	2026-09-24T16:11:21.2170767+02:00	2026-09-24T16:11:21.2247677+02:00	14	14	7	46	False	1	0	19	84	0	1	1	0x7FFAAB78EDB0	True	0	0	0	0	
16	2026-09-24T16:11:21.2331851+02:00	2026-09-24T16:11:21.2425164+02:00	14	15	7	54	False	1	0	1	303417	0	1	1	0x7FFAAB78EDB0	True	16	0	0	16	
17	2026-09-24T16:11:21.2507075+02:00	2026-09-24T16:11:21.2591437+02:00	14	16	7	46	False	1	0	23	30	0	1	1	0x7FFAAB78EDB0	True	0	0	0	0	
18	2026-09-24T16:11:21.2677439+02:00	2026-09-24T16:11:21.2761324+02:00	14	17	7	54	False	1	0	1	302063	0	1	1	0x7FFAAB78EDB0	True	16	0	0	16	
19	2026-09-24T16:11:21.2843849+02:00	2026-09-24T16:11:21.2924083+02:00	14	18	7	54	False	1	0	1	304462	0	1	1	0x7FFAAB78EDB0	True	16	0	0	16	
20	2026-09-24T16:11:21.3019271+02:00	2026-09-24T16:11:21.3095221+02:00	14	19	7	46	False	1	0	2	53	0	1	1	0x7FFAAB78EDB0	True	0	0	0	0	
21	2026-09-24T16:11:21.3190374+02:00	2026-09-24T16:11:21.3270522+02:00	14	20	7	46	False	1	0	7	15	0	1	1	0x7FFAAB78EDB0	True	0	0	0	0	
22	2026-09-24T16:11:21.3365646+02:00	2026-09-24T16:11:21.3445948+02:00	14	21	7	185	False	1	0	1	308516	0	1	1	0x7FFAAB78EDB0	True	0	0	0	0	
23	2026-09-24T16:11:21.3561260+02:00	2026-09-24T16:11:21.3656915+02:00	14	22	7	184	False	1	0	1	308737	0	1	1	0x7FFAAB78EDB0	True	0	0	0	0	
24	2026-09-24T16:11:21.3760953+02:00	2026-09-24T16:11:21.3845966+02:00	14	23	7	183	False	1	0	1	308956	0	1	1	0x7FFAAB78EDB0	True	0	0	0	0	
