# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Crater Lake.map
# mapFileSha256=c5d9906aa37ed96ec1cf9b3eb0c7f6fb5b3e1d8063167fe22337e69c153bb887
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=0
# playerId=8
# keepX=428
# keepY=668
# nativeOrientation=0
# scale=7
# isFree=False
# selectionPlacementState=2
# selectionAccepted=True
# selectionFinalOrientation=0
# finalCandidateId=0
# selectedCandidateId=0
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\nomad4.aivjson
# aivJsonSha256=54a4bef2e38baf573124a9075a95ce0d94a3ea1941282f4af0b09481a421693b
# preNativeFailureFlag=0
# preNativeFailureReasonRaw=0
# preNativeStartCleanupFlag=1
# preNativeDestroyedRecordMarker=1
# postNativeFailureFlag=0
# postNativeFailureReasonRaw=0
# postNativeStartCleanupFlag=0
# postNativeDestroyedRecordMarker=1
# postNativeFailureReason=<not-applicable>
# sampledTiles=320800
# fullMapTileLayersComplete=True
# beforeScanMilliseconds=8.761
# afterScanMilliseconds=10.347
# changedLayerCells=386
# newBuildingCells=117
# replacedBuildingCells=0
# clearedBuildingCells=0
# sampledRegionComplete=True
x	y	tileId	layer	before	after
431	662	301787	logic2	4	2
432	662	301788	logic2	4	2
433	662	301789	logic2	4	2
434	662	301790	logic2	4	2
432	663	302063	logic2	4	2
433	663	302064	logic2	4	2
434	663	302065	logic2	4	2
435	663	302066	logic2	4	2
433	664	302337	logic2	4	2
434	664	302338	logic2	4	2
435	664	302339	logic2	4	2
436	664	302340	logic2	4	2
434	665	302609	logic2	4	2
435	665	302610	logic2	4	2
436	665	302611	logic2	4	2
437	665	302612	logic2	4	2
435	666	302879	logic2	4	2
436	666	302880	logic2	4	2
437	666	302881	logic2	4	2
438	666	302882	logic2	4	2
423	667	303134	logic2	4	2
436	667	303147	logic2	4	2
437	667	303148	logic2	4	2
438	667	303149	logic2	4	2
439	667	303150	logic2	4	2
428	668	303404	logic	32768	268468224
428	668	303404	buildingId	0	66
429	668	303405	logic	0	268435456
429	668	303405	buildingId	0	66
430	668	303406	logic	0	268435456
430	668	303406	buildingId	0	66
431	668	303407	logic	0	268435456
431	668	303407	buildingId	0	66
432	668	303408	logic	0	268435456
432	668	303408	buildingId	0	66
433	668	303409	logic	0	268435456
433	668	303409	buildingId	0	66
434	668	303410	logic	0	268435456
434	668	303410	buildingId	0	66
436	668	303412	logic2	4	2
437	668	303413	logic2	4	2
438	668	303414	logic2	4	2
439	668	303415	logic2	4	2
440	668	303416	logic2	4	2
428	669	303667	logic	32768	268468224
428	669	303667	buildingId	0	66
429	669	303668	logic	0	268435456
429	669	303668	buildingId	0	66
430	669	303669	logic	0	268435456
430	669	303669	buildingId	0	66
431	669	303670	logic	0	268435456
431	669	303670	buildingId	0	66
432	669	303671	logic	0	268435456
432	669	303671	buildingId	0	66
433	669	303672	logic	0	268435456
433	669	303672	buildingId	0	66
434	669	303673	logic	0	268435456
434	669	303673	buildingId	0	66
436	669	303675	logic2	4	2
437	669	303676	logic2	4	2
438	669	303677	logic2	4	2
439	669	303678	logic2	4	2
440	669	303679	logic2	4	2
428	670	303928	logic	32768	268468224
428	670	303928	buildingId	0	66
429	670	303929	logic	0	268435456
429	670	303929	buildingId	0	66
430	670	303930	logic	0	268435456
430	670	303930	buildingId	0	66
431	670	303931	logic	32768	268468224
431	670	303931	buildingId	0	66
432	670	303932	logic	32768	268468224
432	670	303932	buildingId	0	66
433	670	303933	logic	32768	268468224
433	670	303933	buildingId	0	66
434	670	303934	logic	0	268435456
434	670	303934	buildingId	0	66
435	670	303935	logic	0	1282
435	670	303935	buildingId	0	71
435	670	303935	height	80	90
435	670	303935	wallOwner	0	7
436	670	303936	logic	32768	34050
436	670	303936	logic2	4	2
436	670	303936	buildingId	0	71
436	670	303936	height	80	90
436	670	303936	wallOwner	0	7
437	670	303937	logic	32768	33026
437	670	303937	logic2	4	2
437	670	303937	height	80	90
437	670	303937	wallOwner	0	7
438	670	303938	logic	32768	34050
438	670	303938	logic2	4	2
438	670	303938	buildingId	0	72
438	670	303938	height	80	90
438	670	303938	wallOwner	0	7
439	670	303939	logic	32768	34050
439	670	303939	logic2	4	2
439	670	303939	buildingId	0	72
439	670	303939	height	80	90
