# capturedAtLocal=2026-09-24T18:43:52.6550386+02:00
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Craggy Cliffs.map
# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=0
# playerId=4
# candidateId=0
# aivName=Default 2
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\marshal2.aivjson
# aivJsonSha256=08dafe266d71fcd88f105ebca4e0ea76b7c938430010d816e77f50fb8fae60b0
# orientation=0
# originX=334
# originY=472
# keepX=377
# keepY=515
# evaluatedCells=1959
# nativeBlockedCells=0
# resultGridBlockedCells=0
# validatorCalls=1959
# validatorBlockedCells=0
gridRow	gridColumn	worldX	worldY	rawMapper	effectiveMapper	scoreGridValue	resultGridValue	blocked
32	44	378	504	106	106	82	0	False
33	41	375	505	106	106	82	0	False
33	42	376	505	106	106	82	0	False
33	43	377	505	106	106	82	0	False
33	44	378	505	106	106	82	0	False
33	45	379	505	106	106	82	0	False
33	50	384	505	106	106	82	0	False
33	51	385	505	106	106	82	0	False
34	40	374	506	106	106	81	0	False
34	41	375	506	106	106	81	0	False
34	42	376	506	106	106	81	0	False
34	43	377	506	106	106	81	0	False
34	44	378	506	106	106	81	0	False
34	45	379	506	106	106	81	0	False
34	46	380	506	106	106	81	0	False
34	47	381	506	106	106	81	0	False
34	48	382	506	106	106	81	0	False
34	49	383	506	106	106	81	0	False
34	50	384	506	106	106	81	0	False
34	51	385	506	106	106	81	0	False
34	52	386	506	106	106	81	0	False
35	38	372	507	106	106	82	0	False
35	39	373	507	106	106	82	0	False
35	40	374	507	106	106	81	0	False
35	41	375	507	106	106	81	0	False
35	42	376	507	106	106	81	0	False
35	43	377	507	106	106	81	0	False
35	44	378	507	106	106	81	0	False
35	45	379	507	106	106	81	0	False
35	46	380	507	106	106	81	0	False
35	47	381	507	106	106	81	0	False
35	48	382	507	106	106	81	0	False
35	49	383	507	106	106	81	0	False
35	50	384	507	106	106	81	0	False
35	51	385	507	106	106	81	0	False
35	52	386	507	106	106	81	0	False
35	53	387	507	106	106	82	0	False
36	28	362	508	106	106	82	0	False
36	37	371	508	106	106	82	0	False
36	38	372	508	106	106	82	0	False
36	39	373	508	106	106	82	0	False
36	40	374	508	106	106	81	0	False
36	41	375	508	106	106	81	0	False
36	42	376	508	106	106	81	0	False
36	43	377	508	106	106	81	0	False
36	44	378	508	106	106	81	0	False
36	45	379	508	106	106	81	0	False
36	46	380	508	106	106	81	0	False
36	47	381	508	106	106	81	0	False
36	48	382	508	106	106	81	0	False
36	49	383	508	106	106	81	0	False
36	50	384	508	106	106	81	0	False
36	51	385	508	106	106	81	0	False
36	52	386	508	106	106	81	0	False
36	53	387	508	106	106	82	0	False
36	54	388	508	106	106	82	0	False
37	20	354	509	106	106	82	0	False
37	21	355	509	106	106	82	0	False
37	25	359	509	106	106	82	0	False
37	26	360	509	106	106	82	0	False
37	27	361	509	106	106	82	0	False
37	28	362	509	106	106	82	0	False
37	29	363	509	106	106	82	0	False
37	36	370	509	106	106	82	0	False
37	37	371	509	106	106	82	0	False
37	38	372	509	106	106	82	0	False
37	39	373	509	106	106	82	0	False
37	40	374	509	106	106	81	0	False
37	41	375	509	106	106	81	0	False
37	42	376	509	106	106	81	0	False
37	43	377	509	106	106	81	0	False
37	44	378	509	106	106	81	0	False
37	45	379	509	106	106	81	0	False
37	46	380	509	106	106	81	0	False
37	47	381	509	106	106	81	0	False
37	48	382	509	106	106	81	0	False
37	49	383	509	106	106	81	0	False
37	50	384	509	106	106	81	0	False
37	51	385	509	106	106	81	0	False
