# capturedAtLocal=2026-09-24T18:45:23.6292354+02:00
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Craggy Cliffs.map
# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=7
# candidateId=0
# aivName=Default 1
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\jewel1.aivjson
# aivJsonSha256=2965e5952a8b14dd373d05084628ded036ecc933fd2f39b5e4c6cd4df62b7c9d
# orientation=4
# originX=463
# originY=309
# keepX=506
# keepY=352
# evaluatedCells=2249
# nativeBlockedCells=129
# resultGridBlockedCells=51
# validatorCalls=2171
# validatorBlockedCells=51
gridRow	gridColumn	worldX	worldY	rawMapper	effectiveMapper	scoreGridValue	resultGridValue	blocked
8	1	464	317	26	26	108	1	True
8	2	465	317	26	26	107	1	True
8	3	466	317	26	26	107	0	False
8	4	467	317	26	26	107	0	False
8	5	468	317	26	26	107	0	False
8	6	469	317	26	26	107	0	False
8	7	470	317	26	26	107	0	False
8	8	471	317	26	26	107	0	False
9	1	464	318	26	26	108	1	True
9	2	465	318	113	113	36	1	True
9	3	466	318	113	113	36	1	True
9	4	467	318	113	113	36	1	True
9	5	468	318	113	113	36	0	False
9	6	469	318	113	113	36	0	False
9	7	470	318	113	113	36	0	False
9	8	471	318	26	26	106	0	False
9	24	487	318	146	146	31	1	True
9	25	488	318	146	146	31	1	True
9	26	489	318	146	146	31	0	False
9	27	490	318	146	146	31	0	False
9	28	491	318	146	146	31	0	False
9	29	492	318	146	146	31	0	False
9	30	493	318	146	146	31	0	False
10	1	464	319	26	26	108	1	True
10	2	465	319	113	113	36	1	True
10	3	466	319	113	113	36	1	True
10	4	467	319	113	113	36	1	True
10	5	468	319	113	113	36	0	False
10	6	469	319	113	113	36	0	False
10	7	470	319	113	113	36	0	False
10	8	471	319	26	26	106	0	False
10	24	487	319	146	146	31	1	True
10	25	488	319	146	146	31	0	False
10	26	489	319	146	146	31	0	False
10	27	490	319	146	146	31	0	False
10	28	491	319	146	146	31	0	False
10	29	492	319	146	146	31	0	False
10	30	493	319	146	146	31	0	False
11	1	464	320	26	26	108	1	True
11	2	465	320	113	113	36	1	True
11	3	466	320	113	113	36	1	True
11	4	467	320	113	113	36	1	True
11	5	468	320	113	113	36	0	False
11	6	469	320	113	113	36	0	False
11	7	470	320	113	113	36	0	False
11	8	471	320	26	26	49	0	False
11	9	472	320	26	26	49	0	False
11	10	473	320	26	26	49	0	False
11	11	474	320	26	26	49	0	False
11	12	475	320	26	26	49	0	False
11	13	476	320	26	26	49	0	False
11	14	477	320	26	26	49	0	False
11	15	478	320	26	26	49	0	False
11	16	479	320	26	26	49	0	False
11	17	480	320	26	26	49	0	False
11	18	481	320	26	26	49	0	False
11	19	482	320	26	26	49	0	False
11	20	483	320	26	26	49	0	False
11	21	484	320	26	26	49	0	False
11	22	485	320	26	26	49	1	True
11	23	486	320	26	26	49	0	False
11	24	487	320	146	146	31	0	False
11	25	488	320	146	146	31	0	False
11	26	489	320	146	146	31	0	False
11	27	490	320	146	146	31	0	False
11	28	491	320	146	146	31	0	False
11	29	492	320	146	146	31	0	False
11	30	493	320	146	146	31	0	False
11	31	494	320	26	26	50	0	False
11	32	495	320	26	26	50	0	False
11	33	496	320	26	26	50	0	False
11	34	497	320	26	26	50	0	False
11	35	498	320	26	26	50	0	False
11	36	499	320	26	26	50	0	False
11	37	500	320	26	26	50	0	False
11	38	501	320	26	26	50	0	False
11	39	502	320	26	26	50	0	False
11	40	503	320	26	26	50	0	False
11	41	504	320	26	26	50	0	False
11	42	505	320	26	26	50	0	False
11	43	506	320	26	26	81	0	False
11	44	507	320	26	26	81	0	False
12	1	464	321	26	26	108	1	True
12	2	465	321	113	113	36	1	True
12	3	466	321	113	113	36	1	True
12	4	467	321	113	113	36	1	True
12	5	468	321	113	113	36	0	False
12	6	469	321	113	113	36	0	False
12	7	470	321	113	113	36	0	False
12	8	471	321	25	25	29	0	False
12	9	472	321	25	25	29	0	False
12	10	473	321	25	25	29	0	False
12	11	474	321	25	25	29	0	False
12	12	475	321	25	25	29	0	False
12	13	476	321	25	25	29	0	False
12	14	477	321	25	25	29	0	False
12	15	478	321	25	25	29	0	False
12	16	479	321	25	25	29	0	False
12	17	480	321	25	25	29	0	False
12	18	481	321	25	25	29	0	False
12	19	482	321	25	25	29	1	True
12	20	483	321	25	25	29	1	True
12	21	484	321	25	25	29	0	False
12	22	485	321	25	25	29	0	False
12	23	486	321	25	25	29	0	False
12	24	487	321	146	146	31	0	False
12	25	488	321	146	146	31	0	False
12	26	489	321	146	146	31	0	False
12	27	490	321	146	146	31	0	False
12	28	491	321	146	146	31	0	False
12	29	492	321	146	146	31	0	False
12	30	493	321	146	146	31	0	False
12	31	494	321	25	25	29	0	False
12	32	495	321	25	25	29	0	False
12	33	496	321	25	25	29	0	False
12	34	497	321	25	25	29	0	False
12	35	498	321	25	25	29	0	False
12	36	499	321	25	25	29	0	False
12	37	500	321	25	25	29	0	False
12	38	501	321	25	25	29	0	False
12	39	502	321	25	25	29	0	False
12	40	503	321	25	25	29	0	False
12	41	504	321	25	25	29	0	False
12	42	505	321	25	25	16	0	False
12	43	506	321	25	25	51	0	False
12	44	507	321	26	26	83	0	False
13	1	464	322	26	26	108	1	True
13	2	465	322	113	113	36	0	False
13	3	466	322	113	113	36	0	False
13	4	467	322	113	113	36	0	False
13	5	468	322	113	113	36	0	False
13	6	469	322	113	113	36	0	False
13	7	470	322	113	113	36	0	False
13	24	487	322	146	146	31	0	False
13	25	488	322	146	146	31	0	False
13	26	489	322	146	146	31	0	False
13	27	490	322	146	146	31	0	False
13	28	491	322	146	146	31	0	False
13	29	492	322	146	146	31	0	False
13	30	493	322	146	146	31	0	False
13	42	505	322	25	25	16	0	False
13	43	506	322	25	25	51	0	False
13	44	507	322	26	26	83	0	False
14	1	464	323	26	26	108	1	True
14	2	465	323	113	113	36	0	False
14	3	466	323	113	113	36	0	False
14	4	467	323	113	113	36	0	False
14	5	468	323	113	113	36	0	False
14	6	469	323	113	113	36	0	False
14	7	470	323	113	113	36	0	False
14	10	473	323	65	65	80	0	False
14	11	474	323	65	65	80	0	False
14	12	475	323	65	65	80	0	False
14	13	476	323	65	65	80	0	False
14	14	477	323	65	65	80	0	False
14	15	478	323	65	65	80	0	False
14	17	480	323	330	330	103	0	False
14	18	481	323	330	330	103	0	False
14	19	482	323	330	330	103	0	False
14	24	487	323	146	146	31	0	False
14	25	488	323	146	146	31	0	False
14	26	489	323	146	146	31	0	False
14	27	490	323	146	146	31	0	False
14	28	491	323	146	146	31	0	False
14	29	492	323	146	146	31	0	False
14	30	493	323	146	146	31	0	False
14	34	497	323	65	65	61	0	False
14	35	498	323	65	65	61	0	False
14	36	499	323	65	65	61	0	False
14	37	500	323	65	65	61	0	False
14	38	501	323	65	65	61	0	False
14	39	502	323	65	65	61	0	False
14	42	505	323	25	25	16	0	False
14	43	506	323	25	25	51	0	False
14	44	507	323	26	26	83	0	False
15	1	464	324	26	26	109	0	False
15	2	465	324	26	26	109	1	True
15	3	466	324	26	26	109	0	False
15	4	467	324	26	26	55	0	False
15	5	468	324	25	25	26	0	False
15	10	473	324	65	65	80	0	False
15	11	474	324	65	65	80	0	False
15	12	475	324	65	65	80	0	False
15	13	476	324	65	65	80	0	False
15	14	477	324	65	65	80	0	False
15	15	478	324	65	65	80	0	False
15	17	480	324	330	330	103	0	False
15	18	481	324	330	330	103	0	False
15	19	482	324	330	330	103	0	False
15	24	487	324	146	146	31	0	False
15	25	488	324	146	146	31	0	False
15	26	489	324	146	146	31	0	False
15	27	490	324	146	146	31	0	False
15	28	491	324	146	146	31	0	False
15	29	492	324	146	146	31	0	False
15	30	493	324	146	146	31	0	False
15	34	497	324	65	65	61	0	False
15	35	498	324	65	65	61	0	False
15	36	499	324	65	65	61	0	False
15	37	500	324	65	65	61	0	False
15	38	501	324	65	65	61	0	False
15	39	502	324	65	65	61	0	False
15	42	505	324	25	25	16	0	False
15	43	506	324	25	25	51	0	False
15	44	507	324	26	26	83	0	False
16	4	467	325	26	26	55	0	False
16	5	468	325	25	25	26	0	False
16	10	473	325	65	65	80	0	False
16	11	474	325	65	65	80	0	False
16	12	475	325	65	65	80	0	False
16	13	476	325	65	65	80	0	False
16	14	477	325	65	65	80	0	False
16	15	478	325	65	65	80	0	False
16	17	480	325	330	330	103	0	False
16	18	481	325	330	330	103	0	False
16	19	482	325	330	330	103	0	False
16	34	497	325	65	65	61	0	False
16	35	498	325	65	65	61	0	False
16	36	499	325	65	65	61	0	False
16	37	500	325	65	65	61	0	False
16	38	501	325	65	65	61	0	False
16	39	502	325	65	65	61	0	False
16	42	505	325	25	25	16	0	False
16	43	506	325	25	25	51	0	False
16	44	507	325	26	26	83	0	False
17	4	467	326	26	26	55	0	False
17	5	468	326	25	25	26	0	False
17	10	473	326	65	65	80	0	False
17	11	474	326	65	65	80	0	False
17	12	475	326	65	65	80	0	False
17	13	476	326	65	65	80	0	False
17	14	477	326	65	65	80	0	False
17	15	478	326	65	65	80	0	False
17	34	497	326	65	65	61	0	False
17	35	498	326	65	65	61	0	False
17	36	499	326	65	65	61	0	False
17	37	500	326	65	65	61	0	False
17	38	501	326	65	65	61	0	False
17	39	502	326	65	65	61	0	False
17	42	505	326	25	25	16	0	False
17	43	506	326	25	25	51	0	False
17	44	507	326	26	26	83	0	False
18	4	467	327	26	26	55	0	False
18	5	468	327	25	25	26	0	False
18	10	473	327	65	65	80	0	False
18	11	474	327	65	65	80	0	False
18	12	475	327	65	65	80	0	False
18	13	476	327	65	65	80	0	False
18	14	477	327	65	65	80	0	False
18	15	478	327	65	65	80	0	False
18	34	497	327	65	65	61	0	False
18	35	498	327	65	65	61	0	False
18	36	499	327	65	65	61	0	False
18	37	500	327	65	65	61	0	False
18	38	501	327	65	65	61	0	False
18	39	502	327	65	65	61	0	False
18	42	505	327	25	25	16	0	False
18	43	506	327	25	25	51	0	False
18	44	507	327	26	26	83	0	False
19	4	467	328	26	26	55	0	False
19	5	468	328	25	25	26	0	False
19	10	473	328	65	65	80	0	False
19	11	474	328	65	65	80	0	False
19	12	475	328	65	65	80	0	False
19	13	476	328	65	65	80	0	False
19	14	477	328	65	65	80	0	False
19	15	478	328	65	65	80	0	False
19	34	497	328	65	65	61	0	False
19	35	498	328	65	65	61	0	False
19	36	499	328	65	65	61	0	False
19	37	500	328	65	65	61	0	False
19	38	501	328	65	65	61	0	False
19	39	502	328	65	65	61	0	False
19	42	505	328	25	25	16	0	False
19	43	506	328	25	25	51	0	False
19	44	507	328	26	26	83	0	False
19	49	512	328	26	26	112	0	False
19	50	513	328	26	26	112	0	False
19	51	514	328	26	26	112	0	False
19	52	515	328	26	26	112	0	False
19	53	516	328	26	26	112	0	False
19	54	517	328	26	26	112	0	False
19	55	518	328	26	26	112	0	False
19	56	519	328	26	26	112	0	False
20	4	467	329	26	26	55	0	False
20	5	468	329	25	25	26	0	False
20	42	505	329	25	25	16	0	False
20	43	506	329	25	25	51	0	False
20	44	507	329	26	26	83	0	False
20	49	512	329	26	26	110	0	False
