# capturedAtLocal=2026-09-24T18:44:45.2803306+02:00
# mapLoadSequence=6
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Craggy Cliffs.map
# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# selectionFound=True
# finalCandidateId=0
# finalOrientation=2
# nativeStartOptions=mode=99,option2F0=0,option2F4=1,option2F8=4294967297
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\abbot6.aivjson
# aivJsonSha256=caf8ad68fd46638d53f249849eb8a6b13c314b3a886f0bf9377607666d263694
# keepX=481
# keepY=397
# captureSequence=5
# playerId=6
# frameCount=155
# pointerProblemFrames=0
# captureErrorFrames=0
# highlightedMapperFrames=5
# layerChanges=4753
# buildingRecordChanges=55
# beforeCaptureMilliseconds=1195,7
# afterCaptureMilliseconds=1544,7
# frameSnapshotsComplete=True
# provenanceComplete=True
captureFrameNumber	startedAtLocal	completedAtLocal	selectionSequence	frameIndex	activeLayoutIndex	mapper	highlightedMapper	status	helper	positionCount	firstPositionIndex	restrictedMode	freeOrForced	returnValue	placementStateAddress	pointerConsistent	added	removed	replaced	changed	captureError
1	2026-09-24T18:44:45.2803306+02:00	2026-09-24T18:44:45.2878413+02:00	40	0	5	0	False	0	0	0	0	0	1	0	0x7FFAAE2DEDB0	True	0	0	0	0	
2	2026-09-24T18:44:45.2973812+02:00	2026-09-24T18:44:45.3048840+02:00	40	1	5	0	False	0	0	0	0	0	1	0	0x7FFAAE2DEDB0	True	0	0	0	0	
3	2026-09-24T18:44:45.3154424+02:00	2026-09-24T18:44:45.3224445+02:00	40	2	5	80	False	1	0	1	174192	0	1	1	0x7FFAAE2DEDB0	True	16	0	0	16	
4	2026-09-24T18:44:45.3325429+02:00	2026-09-24T18:44:45.3405604+02:00	40	3	5	77	False	1	0	1	174202	0	1	1	0x7FFAAE2DEDB0	True	25	0	0	25	
5	2026-09-24T18:44:45.3495793+02:00	2026-09-24T18:44:45.3575917+02:00	40	4	5	74	False	1	0	1	170348	0	1	1	0x7FFAAE2DEDB0	True	9	0	0	9	
6	2026-09-24T18:44:45.3671530+02:00	2026-09-24T18:44:45.3746553+02:00	40	5	5	54	False	1	0	1	151414	0	1	1	0x7FFAAE2DEDB0	True	16	0	0	16	
7	2026-09-24T18:44:45.3852187+02:00	2026-09-24T18:44:45.3917289+02:00	40	6	5	92	False	1	0	1	159294	0	1	1	0x7FFAAE2DEDB0	True	25	0	0	25	
8	2026-09-24T18:44:45.4017524+02:00	2026-09-24T18:44:45.4102849+02:00	40	7	5	75	False	1	0	1	160089	0	1	1	0x7FFAAE2DEDB0	True	16	0	0	16	
9	2026-09-24T18:44:45.4198008+02:00	2026-09-24T18:44:45.4273090+02:00	40	8	5	52	True	1	0	1	160078	0	1	0	0x7FFAAE2DEDB0	True	0	0	0	0	
10	2026-09-24T18:44:45.4371909+02:00	2026-09-24T18:44:45.4458885+02:00	40	9	5	97	False	1	0	1	149870	0	1	1	0x7FFAAE2DEDB0	True	169	0	0	169	
