# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Crater Lake.map
# mapFileSha256=c5d9906aa37ed96ec1cf9b3eb0c7f6fb5b3e1d8063167fe22337e69c153bb887
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=7
# keepX=385
# keepY=359
# nativeOrientation=4
# scale=7
# isFree=False
# selectionPlacementState=2
# selectionAccepted=True
# selectionFinalOrientation=4
# finalCandidateId=0
# selectedCandidateId=0
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\jewel5.aivjson
# aivJsonSha256=fe15c680d1515b8b401f1edb19b99f79cdb726e0169cf2db096df6c139a46eb8
# preNativeFailureFlag=0
# preNativeFailureReasonRaw=7
# preNativeStartCleanupFlag=1
# preNativeDestroyedRecordMarker=0
# postNativeFailureFlag=0
# postNativeFailureReasonRaw=7
# postNativeStartCleanupFlag=0
# postNativeDestroyedRecordMarker=1
# postNativeFailureReason=<not-applicable>
# sampledTiles=320800
# fullMapTileLayersComplete=True
# beforeScanMilliseconds=7.633
# afterScanMilliseconds=8.872
# changedLayerCells=249
# newBuildingCells=117
# replacedBuildingCells=0
# clearedBuildingCells=0
# sampledRegionComplete=True
x	y	tileId	layer	before	after
385	351	123889	buildingId	0	878
386	351	123890	buildingId	0	878
387	351	123891	buildingId	0	878
388	351	123892	buildingId	0	878
389	351	123893	buildingId	0	878
390	351	123894	buildingId	0	878
391	351	123895	buildingId	0	878
385	352	124594	buildingId	0	878
386	352	124595	buildingId	0	878
387	352	124596	buildingId	0	878
388	352	124597	buildingId	0	878
389	352	124598	buildingId	0	878
390	352	124599	buildingId	0	878
391	352	124600	buildingId	0	878
379	353	125295	logic2	4	2
385	353	125301	buildingId	0	878
386	353	125302	buildingId	0	878
387	353	125303	buildingId	0	878
388	353	125304	logic	32768	33792
388	353	125304	buildingId	0	878
389	353	125305	buildingId	0	878
390	353	125306	buildingId	0	878
391	353	125307	buildingId	0	878
385	354	126010	buildingId	0	878
386	354	126011	buildingId	0	878
387	354	126012	logic	0	1024
387	354	126012	buildingId	0	878
388	354	126013	logic	0	1024
388	354	126013	buildingId	0	878
389	354	126014	logic	0	1024
389	354	126014	buildingId	0	878
390	354	126015	buildingId	0	878
391	354	126016	buildingId	0	878
385	355	126721	buildingId	0	878
386	355	126722	buildingId	0	878
387	355	126723	buildingId	0	878
388	355	126724	logic	0	1024
388	355	126724	buildingId	0	878
389	355	126725	buildingId	0	878
390	355	126726	buildingId	0	878
391	355	126727	buildingId	0	878
385	356	127434	buildingId	0	878
386	356	127435	buildingId	0	878
387	356	127436	buildingId	0	878
388	356	127437	buildingId	0	878
389	356	127438	buildingId	0	878
390	356	127439	buildingId	0	878
391	356	127440	buildingId	0	878
385	357	128149	buildingId	0	878
386	357	128150	buildingId	0	878
387	357	128151	buildingId	0	878
388	357	128152	buildingId	0	878
389	357	128153	buildingId	0	878
390	357	128154	buildingId	0	878
391	357	128155	buildingId	0	878
387	358	128868	logic	32768	33792
387	358	128868	buildingId	0	877
388	358	128869	buildingId	0	876
389	358	128870	logic	32768	33792
389	358	128870	buildingId	0	875
380	359	129580	logic	32768	34050
380	359	129580	buildingId	0	879
380	359	129580	height	80	90
380	359	129580	wallOwner	0	6
381	359	129581	logic	32768	34050
381	359	129581	buildingId	0	879
381	359	129581	height	80	90
381	359	129581	wallOwner	0	6
382	359	129582	logic	32768	33026
382	359	129582	height	80	90
382	359	129582	wallOwner	0	6
383	359	129583	logic	32768	34050
383	359	129583	buildingId	0	880
383	359	129583	height	80	90
383	359	129583	wallOwner	0	6
384	359	129584	logic	32768	34050
384	359	129584	buildingId	0	880
384	359	129584	height	80	90
384	359	129584	wallOwner	0	6
385	359	129585	logic	0	268435456
385	359	129585	buildingId	0	874
386	359	129586	logic	0	268435456
386	359	129586	buildingId	0	874
387	359	129587	logic	0	268435456
387	359	129587	buildingId	0	874
388	359	129588	logic	0	268435456
388	359	129588	buildingId	0	874
389	359	129589	logic	0	268435456
389	359	129589	buildingId	0	874
390	359	129590	logic	0	268435456
390	359	129590	buildingId	0	874
391	359	129591	logic	0	268435456
391	359	129591	buildingId	0	874
380	360	130301	logic	32768	34050
380	360	130301	buildingId	0	879
380	360	130301	height	80	90
380	360	130301	wallOwner	0	6
381	360	130302	logic	32768	34050
381	360	130302	buildingId	0	879
381	360	130302	height	80	90
381	360	130302	wallOwner	0	6
