# capturedAtLocal=2026-09-24T15:31:05.3007497+02:00
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Craggy Cliffs.map
# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=3
# candidateId=0
# aivName=Default 3
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\wolf3.aivjson
# aivJsonSha256=4e2a09090a53e53639c9f8c82e63362d213d53920f327d5d08936f8c02520cb0
# orientation=4
# originX=355
# originY=215
# keepX=398
# keepY=258
# evaluatedCells=3348
# nativeBlockedCells=44
# resultGridBlockedCells=13
# validatorCalls=3317
# validatorBlockedCells=13
gridRow	gridColumn	worldX	worldY	rawMapper	effectiveMapper	scoreGridValue	resultGridValue	blocked
7	34	389	222	99	99	258	0	False
7	38	393	222	99	99	258	0	False
8	31	386	223	99	99	258	0	False
8	39	394	223	99	99	258	0	False
8	51	406	223	99	99	258	0	False
9	39	394	224	99	99	258	0	False
9	48	403	224	99	99	258	0	False
9	65	420	224	99	99	258	0	False
10	34	389	225	99	99	258	0	False
10	37	392	225	99	99	258	0	False
10	38	393	225	99	99	258	0	False
10	39	394	225	99	99	258	0	False
10	44	399	225	99	99	258	0	False
10	48	403	225	99	99	258	0	False
10	49	404	225	99	99	258	0	False
10	56	411	225	99	99	258	0	False
10	57	412	225	99	99	258	0	False
10	60	415	225	99	99	258	0	False
10	66	421	225	99	99	258	0	False
10	69	424	225	99	99	258	0	False
10	70	425	225	99	99	258	0	False
11	25	380	226	99	99	259	0	False
11	33	388	226	99	99	258	0	False
11	43	398	226	99	99	258	0	False
11	55	410	226	99	99	258	0	False
11	56	411	226	99	99	258	0	False
11	63	418	226	99	99	258	0	False
11	68	423	226	99	99	258	1	True
11	70	425	226	99	99	258	0	False
11	71	426	226	99	99	258	0	False
11	74	429	226	99	99	258	0	False
11	75	430	226	99	99	258	0	False
12	27	382	227	99	99	259	0	False
12	31	386	227	99	99	258	0	False
12	36	391	227	99	99	258	0	False
12	37	392	227	99	99	258	0	False
12	54	409	227	99	99	258	0	False
12	60	415	227	99	99	258	0	False
12	76	431	227	99	99	258	0	False
13	24	379	228	99	99	259	0	False
13	29	384	228	99	99	259	0	False
13	31	386	228	99	99	258	0	False
13	32	387	228	99	99	258	0	False
13	42	397	228	99	99	258	0	False
13	46	401	228	99	99	258	0	False
13	51	406	228	99	99	258	0	False
13	60	415	228	99	99	258	0	False
13	64	419	228	99	99	258	0	False
13	66	421	228	99	99	258	0	False
13	68	423	228	99	99	258	0	False
13	70	425	228	99	99	258	1	True
13	71	426	228	99	99	258	1	True
13	74	429	228	99	99	258	0	False
14	24	379	229	99	99	259	0	False
14	26	381	229	99	99	259	0	False
14	29	384	229	99	99	259	0	False
14	31	386	229	99	99	258	0	False
14	33	388	229	99	99	258	0	False
14	39	394	229	99	99	258	0	False
14	42	397	229	99	99	258	0	False
14	45	400	229	99	99	258	0	False
14	50	405	229	99	99	258	0	False
14	56	411	229	99	99	258	0	False
14	59	414	229	99	99	258	0	False
14	63	418	229	99	99	258	0	False
14	70	425	229	99	99	258	0	False
14	72	427	229	99	99	258	1	True
14	73	428	229	99	99	258	0	False
15	23	378	230	99	99	259	0	False
15	27	382	230	99	99	259	0	False
15	31	386	230	99	99	258	0	False
15	71	426	230	99	99	258	0	False
15	72	427	230	99	99	258	1	True
15	76	431	230	99	99	256	0	False
15	78	433	230	99	99	256	0	False
16	23	378	231	99	99	250	0	False
16	24	379	231	99	99	250	0	False
16	33	388	231	35	35	215	0	False
16	34	389	231	35	35	216	0	False
16	35	390	231	35	35	216	0	False
16	36	391	231	35	35	216	0	False
16	37	392	231	35	35	216	0	False
16	38	393	231	35	35	216	0	False
16	39	394	231	35	35	216	0	False
16	40	395	231	35	35	216	0	False
16	41	396	231	35	35	216	0	False
16	42	397	231	35	35	216	0	False
16	43	398	231	35	35	216	0	False
16	44	399	231	35	35	216	0	False
16	45	400	231	35	35	216	0	False
16	46	401	231	35	35	216	0	False
16	47	402	231	35	35	216	0	False
16	48	403	231	35	35	216	0	False
16	49	404	231	35	35	216	0	False
16	50	405	231	35	35	216	0	False
16	51	406	231	35	35	216	0	False
16	52	407	231	35	35	216	0	False
16	53	408	231	35	35	216	0	False
16	54	409	231	35	35	216	0	False
16	55	410	231	35	35	216	0	False
16	56	411	231	35	35	216	0	False
16	57	412	231	35	35	216	0	False
16	58	413	231	35	35	216	0	False
16	59	414	231	35	35	216	0	False
16	60	415	231	35	35	216	0	False
16	61	416	231	35	35	216	0	False
16	62	417	231	35	35	216	0	False
16	63	418	231	35	35	216	0	False
16	64	419	231	35	35	216	0	False
16	65	420	231	35	35	216	0	False
16	66	421	231	35	35	216	0	False
16	67	422	231	35	35	216	0	False
16	68	423	231	35	35	216	0	False
16	69	424	231	35	35	216	0	False
16	70	425	231	35	35	217	0	False
16	74	429	231	99	99	256	1	True
16	75	430	231	99	99	256	0	False
16	78	433	231	99	99	256	0	False
17	22	377	232	99	99	259	0	False
17	23	378	232	99	99	250	0	False
17	24	379	232	99	99	259	0	False
17	28	383	232	99	99	259	0	False
17	32	387	232	35	35	215	0	False
17	33	388	232	46	46	213	0	False
17	34	389	232	46	46	213	0	False
17	35	390	232	46	46	213	0	False
17	36	391	232	46	46	213	0	False
17	37	392	232	46	46	213	0	False
17	38	393	232	46	46	213	0	False
17	39	394	232	46	46	213	0	False
17	40	395	232	46	46	213	0	False
17	41	396	232	46	46	213	0	False
17	42	397	232	46	46	213	0	False
17	43	398	232	46	46	213	0	False
17	44	399	232	46	46	213	0	False
17	45	400	232	46	46	213	0	False
17	46	401	232	46	46	213	0	False
17	47	402	232	46	46	213	0	False
17	48	403	232	46	46	213	0	False
17	49	404	232	46	46	213	0	False
17	50	405	232	46	46	213	0	False
17	51	406	232	46	46	213	0	False
17	52	407	232	46	46	213	0	False
17	53	408	232	46	46	213	0	False
17	54	409	232	46	46	213	0	False
17	55	410	232	46	46	213	0	False
17	56	411	232	46	46	213	0	False
17	57	412	232	46	46	213	0	False
17	58	413	232	46	46	213	0	False
17	59	414	232	46	46	213	0	False
17	60	415	232	46	46	213	0	False
17	61	416	232	46	46	213	0	False
17	62	417	232	46	46	213	0	False
17	63	418	232	46	46	213	0	False
17	64	419	232	46	46	213	0	False
17	65	420	232	46	46	213	0	False
17	66	421	232	46	46	213	0	False
17	67	422	232	46	46	213	0	False
17	68	423	232	46	46	213	0	False
17	69	424	232	46	46	213	0	False
17	70	425	232	46	46	212	0	False
17	71	426	232	35	35	217	0	False
17	77	432	232	99	99	256	0	False
17	80	435	232	99	99	256	0	False
17	81	436	232	99	99	256	0	False
18	18	373	233	99	99	250	0	False
18	23	378	233	99	99	259	0	False
18	24	379	233	99	99	259	0	False
18	25	380	233	99	99	250	0	False
18	27	382	233	99	99	259	0	False
18	31	386	233	35	35	215	0	False
18	32	387	233	46	46	214	0	False
18	71	426	233	46	46	212	0	False
18	72	427	233	35	35	217	0	False
18	79	434	233	99	99	256	0	False
18	81	436	233	99	99	256	0	False
18	83	438	233	99	99	256	0	False
18	84	439	233	99	99	256	0	False
19	17	372	234	99	99	250	0	False
19	20	375	234	99	99	250	0	False
19	23	378	234	99	99	259	0	False
19	24	379	234	99	99	250	0	False
19	30	385	234	35	35	215	0	False
19	31	386	234	46	46	214	0	False
19	34	389	234	26	26	179	0	False
19	35	390	234	26	26	180	0	False
19	36	391	234	26	26	180	0	False
19	37	392	234	26	26	180	0	False
19	38	393	234	26	26	180	0	False
19	39	394	234	26	26	180	0	False
19	40	395	234	26	26	180	0	False
19	41	396	234	26	26	180	0	False
19	42	397	234	26	26	180	0	False
19	43	398	234	26	26	180	0	False
19	44	399	234	26	26	180	0	False
19	45	400	234	26	26	180	0	False
19	46	401	234	26	26	180	0	False
19	47	402	234	26	26	180	0	False
19	48	403	234	26	26	180	0	False
19	49	404	234	26	26	180	0	False
19	50	405	234	26	26	180	0	False
19	51	406	234	26	26	180	0	False
19	52	407	234	26	26	180	0	False
19	53	408	234	26	26	180	0	False
19	54	409	234	26	26	180	0	False
19	55	410	234	26	26	180	0	False
19	56	411	234	26	26	180	0	False
19	57	412	234	26	26	180	0	False
19	58	413	234	26	26	180	0	False
19	59	414	234	26	26	180	0	False
19	60	415	234	26	26	180	0	False
19	61	416	234	26	26	180	0	False
19	62	417	234	26	26	180	0	False
19	63	418	234	26	26	180	0	False
19	64	419	234	26	26	180	0	False
19	65	420	234	26	26	180	0	False
19	66	421	234	26	26	180	0	False
19	67	422	234	26	26	180	0	False
19	68	423	234	26	26	180	0	False
19	69	424	234	26	26	180	0	False
19	72	427	234	46	46	212	0	False
19	73	428	234	35	35	217	0	False
19	76	431	234	99	99	256	1	True
19	78	433	234	99	99	256	0	False
19	80	435	234	99	99	256	0	False
19	81	436	234	99	99	256	0	False
19	85	440	234	99	99	256	0	False
20	14	369	235	99	99	250	0	False
