# capturedAtLocal=2026-09-24T15:27:33.2779533+02:00
# mapLoadSequence=2
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Crater Lake.map
# mapFileSha256=c5d9906aa37ed96ec1cf9b3eb0c7f6fb5b3e1d8063167fe22337e69c153bb887
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# selectionFound=True
# finalCandidateId=0
# finalOrientation=4
# nativeStartOptions=mode=99,option2F0=0,option2F4=1,option2F8=4294967297
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\marshal7.aivjson
# aivJsonSha256=384abb01e5b4c0ff36ceddeac64c3a8dc8151d0113d1189a32d8c7feb9bb337f
# keepX=525
# keepY=274
# captureSequence=3
# playerId=4
# frameCount=80
# pointerProblemFrames=0
# captureErrorFrames=0
# highlightedMapperFrames=2
# layerChanges=3159
# buildingRecordChanges=46
# beforeCaptureMilliseconds=623,7
# afterCaptureMilliseconds=670,2
# frameSnapshotsComplete=True
# provenanceComplete=True
captureFrameNumber	startedAtLocal	completedAtLocal	selectionSequence	frameIndex	activeLayoutIndex	mapper	highlightedMapper	status	helper	positionCount	firstPositionIndex	restrictedMode	freeOrForced	returnValue	placementStateAddress	pointerConsistent	added	removed	replaced	changed	captureError
1	2026-09-24T15:27:33.2779533+02:00	2026-09-24T15:27:33.2874690+02:00	10	0	3	0	False	0	0	0	0	0	1	0	0x7FFAB099EDB0	True	0	0	0	0	
2	2026-09-24T15:27:33.2954092+02:00	2026-09-24T15:27:33.3054244+02:00	10	1	3	0	False	0	0	0	0	0	1	0	0x7FFAB099EDB0	True	0	0	0	0	
3	2026-09-24T15:27:33.3132387+02:00	2026-09-24T15:27:33.3220845+02:00	10	2	3	80	False	1	0	1	79636	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
4	2026-09-24T15:27:33.3301063+02:00	2026-09-24T15:27:33.3386504+02:00	10	3	3	77	False	1	0	1	79630	0	1	1	0x7FFAB099EDB0	True	25	0	0	25	
5	2026-09-24T15:27:33.3466592+02:00	2026-09-24T15:27:33.3595422+02:00	10	4	3	52	True	1	0	1	79646	0	1	0	0x7FFAB099EDB0	True	0	0	0	0	
6	2026-09-24T15:27:33.3700529+02:00	2026-09-24T15:27:33.3786213+02:00	10	5	3	52	True	1	0	1	79641	0	1	0	0x7FFAB099EDB0	True	0	0	0	0	
7	2026-09-24T15:27:33.3868841+02:00	2026-09-24T15:27:33.3957371+02:00	10	6	3	54	False	1	0	1	83656	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
8	2026-09-24T15:27:33.4042494+02:00	2026-09-24T15:27:33.4117589+02:00	10	7	3	54	False	1	0	1	83652	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
9	2026-09-24T15:27:33.4195827+02:00	2026-09-24T15:27:33.4267438+02:00	10	8	3	54	False	1	0	1	83648	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
10	2026-09-24T15:27:33.4353552+02:00	2026-09-24T15:27:33.4425914+02:00	10	9	3	54	False	1	0	1	83644	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
