# capturedAtLocal=2026-09-24T15:27:34.6084411+02:00
# mapLoadSequence=2
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Crater Lake.map
# mapFileSha256=c5d9906aa37ed96ec1cf9b3eb0c7f6fb5b3e1d8063167fe22337e69c153bb887
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# selectionFound=True
# finalCandidateId=0
# finalOrientation=4
# nativeStartOptions=mode=99,option2F0=0,option2F4=1,option2F8=4294967297
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\emir1.aivjson
# aivJsonSha256=ffa393f8dfb7899742c7647645d3cd3fa582090c7770cf9d32d89c96d46bd658
# keepX=406
# keepY=121
# captureSequence=4
# playerId=5
# frameCount=205
# pointerProblemFrames=0
# captureErrorFrames=0
# highlightedMapperFrames=2
# layerChanges=4579
# buildingRecordChanges=72
# beforeCaptureMilliseconds=1565,4
# afterCaptureMilliseconds=1696,3
# frameSnapshotsComplete=True
# provenanceComplete=True
captureFrameNumber	startedAtLocal	completedAtLocal	selectionSequence	frameIndex	activeLayoutIndex	mapper	highlightedMapper	status	helper	positionCount	firstPositionIndex	restrictedMode	freeOrForced	returnValue	placementStateAddress	pointerConsistent	added	removed	replaced	changed	captureError
1	2026-09-24T15:27:34.6084411+02:00	2026-09-24T15:27:34.6154790+02:00	11	0	4	0	False	0	0	0	0	0	1	0	0x7FFAB099EDB0	True	0	0	0	0	
2	2026-09-24T15:27:34.6239874+02:00	2026-09-24T15:27:34.6305079+02:00	11	1	4	0	False	0	0	0	0	0	1	0	0x7FFAB099EDB0	True	0	0	0	0	
3	2026-09-24T15:27:34.6385325+02:00	2026-09-24T15:27:34.6455428+02:00	11	2	4	52	True	1	0	1	15384	0	1	0	0x7FFAB099EDB0	True	0	0	0	0	
4	2026-09-24T15:27:34.6530528+02:00	2026-09-24T15:27:34.6614277+02:00	11	3	4	52	True	1	0	1	14169	0	1	0	0x7FFAB099EDB0	True	0	0	0	0	
5	2026-09-24T15:27:34.6704469+02:00	2026-09-24T15:27:34.6775297+02:00	11	4	4	80	False	1	0	1	13004	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
6	2026-09-24T15:27:34.6855442+02:00	2026-09-24T15:27:34.6930570+02:00	11	5	4	80	False	1	0	1	12108	0	1	0	0x7FFAB099EDB0	True	0	0	0	0	
7	2026-09-24T15:27:34.7011865+02:00	2026-09-24T15:27:34.7107094+02:00	11	6	4	86	False	1	0	1	14915	0	1	1	0x7FFAB099EDB0	True	100	0	0	100	
8	2026-09-24T15:27:34.7187248+02:00	2026-09-24T15:27:34.7267391+02:00	11	7	4	77	False	1	0	1	19621	0	1	1	0x7FFAB099EDB0	True	25	0	0	25	
9	2026-09-24T15:27:34.7346444+02:00	2026-09-24T15:27:34.7416627+02:00	11	8	4	54	False	1	0	1	11264	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
10	2026-09-24T15:27:34.7491728+02:00	2026-09-24T15:27:34.7567022+02:00	11	9	4	54	False	1	0	1	10432	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
11	2026-09-24T15:27:34.7647302+02:00	2026-09-24T15:27:34.7714064+02:00	11	10	4	54	False	1	0	1	10428	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
