# capturedAtLocal=2026-09-24T15:28:18.6858478+02:00
# mapLoadSequence=3
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Crater Lake.map
# mapFileSha256=c5d9906aa37ed96ec1cf9b3eb0c7f6fb5b3e1d8063167fe22337e69c153bb887
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# selectionFound=True
# finalCandidateId=0
# finalOrientation=4
# nativeStartOptions=mode=99,option2F0=0,option2F4=1,option2F8=4294967297
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\marshal2.aivjson
# aivJsonSha256=08dafe266d71fcd88f105ebca4e0ea76b7c938430010d816e77f50fb8fae60b0
# keepX=525
# keepY=274
# captureSequence=3
# playerId=4
# frameCount=108
# pointerProblemFrames=0
# captureErrorFrames=0
# highlightedMapperFrames=2
# layerChanges=3605
# buildingRecordChanges=50
# beforeCaptureMilliseconds=848,1
# afterCaptureMilliseconds=903,9
# frameSnapshotsComplete=True
# provenanceComplete=True
captureFrameNumber	startedAtLocal	completedAtLocal	selectionSequence	frameIndex	activeLayoutIndex	mapper	highlightedMapper	status	helper	positionCount	firstPositionIndex	restrictedMode	freeOrForced	returnValue	placementStateAddress	pointerConsistent	added	removed	replaced	changed	captureError
1	2026-09-24T15:28:18.6858478+02:00	2026-09-24T15:28:18.6928721+02:00	17	0	3	0	False	0	0	0	0	0	1	0	0x7FFAB099EDB0	True	0	0	0	0	
2	2026-09-24T15:28:18.7008885+02:00	2026-09-24T15:28:18.7073928+02:00	17	1	3	0	False	0	0	0	0	0	1	0	0x7FFAB099EDB0	True	0	0	0	0	
3	2026-09-24T15:28:18.7152129+02:00	2026-09-24T15:28:18.7252455+02:00	17	2	3	80	False	1	0	1	80808	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
4	2026-09-24T15:28:18.7332433+02:00	2026-09-24T15:28:18.7403152+02:00	17	3	3	77	False	1	0	1	80236	0	1	1	0x7FFAB099EDB0	True	25	0	0	25	
5	2026-09-24T15:28:18.7483357+02:00	2026-09-24T15:28:18.7553428+02:00	17	4	3	52	True	1	0	1	79646	0	1	0	0x7FFAB099EDB0	True	0	0	0	0	
6	2026-09-24T15:28:18.7638886+02:00	2026-09-24T15:28:18.7749022+02:00	17	5	3	52	True	1	0	1	79641	0	1	0	0x7FFAB099EDB0	True	0	0	0	0	
7	2026-09-24T15:28:18.7838675+02:00	2026-09-24T15:28:18.7918878+02:00	17	6	3	54	False	1	0	1	70915	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
8	2026-09-24T15:28:18.7999085+02:00	2026-09-24T15:28:18.8085889+02:00	17	7	3	54	False	1	0	1	70864	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
9	2026-09-24T15:28:18.8170936+02:00	2026-09-24T15:28:18.8251764+02:00	17	8	3	54	False	1	0	1	68752	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
10	2026-09-24T15:28:18.8337803+02:00	2026-09-24T15:28:18.8407939+02:00	17	9	3	54	False	1	0	1	68803	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
11	2026-09-24T15:28:18.8493241+02:00	2026-09-24T15:28:18.8594821+02:00	17	10	3	54	False	1	0	1	66723	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
12	2026-09-24T15:28:18.8675690+02:00	2026-09-24T15:28:18.8759592+02:00	17	11	3	54	False	1	0	1	66672	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
13	2026-09-24T15:28:18.8844914+02:00	2026-09-24T15:28:18.8919678+02:00	17	12	3	50	False	1	0	1	73597	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
14	2026-09-24T15:28:18.9003964+02:00	2026-09-24T15:28:18.9094136+02:00	17	13	3	50	False	1	0	1	73552	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
15	2026-09-24T15:28:18.9174247+02:00	2026-09-24T15:28:18.9264428+02:00	17	14	3	84	False	1	0	1	75766	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
16	2026-09-24T15:28:18.9353401+02:00	2026-09-24T15:28:18.9432414+02:00	17	15	3	83	False	1	0	1	75751	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
17	2026-09-24T15:28:18.9507601+02:00	2026-09-24T15:28:18.9594762+02:00	17	16	3	81	False	1	0	1	80799	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
18	2026-09-24T15:28:18.9674779+02:00	2026-09-24T15:28:18.9772682+02:00	17	17	3	87	False	1	0	1	70892	0	1	1	0x7FFAB099EDB0	True	100	0	0	100	
19	2026-09-24T15:28:18.9856897+02:00	2026-09-24T15:28:18.9924931+02:00	17	18	3	76	False	1	0	1	75770	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
20	2026-09-24T15:28:19.0016558+02:00	2026-09-24T15:28:19.0081613+02:00	17	19	3	76	False	1	0	1	75747	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
21	2026-09-24T15:28:19.0166732+02:00	2026-09-24T15:28:19.0251905+02:00	17	20	3	92	False	1	0	1	72503	0	1	1	0x7FFAB099EDB0	True	25	0	0	25	
22	2026-09-24T15:28:19.0342051+02:00	2026-09-24T15:28:19.0427305+02:00	17	21	3	65	False	1	0	1	71947	0	1	1	0x7FFAB099EDB0	True	36	0	0	36	
23	2026-09-24T15:28:19.0512392+02:00	2026-09-24T15:28:19.0597684+02:00	17	22	3	25	False	1	0	16	206	0	1	1	0x7FFAB099EDB0	True	0	0	0	0	
24	2026-09-24T15:28:19.0672743+02:00	2026-09-24T15:28:19.0761186+02:00	17	23	3	25	False	1	0	2	199	0	1	1	0x7FFAB099EDB0	True	0	0	0	0	
25	2026-09-24T15:28:19.0846570+02:00	2026-09-24T15:28:19.0934908+02:00	17	24	3	25	False	1	0	7	186	0	1	1	0x7FFAB099EDB0	True	0	0	0	0	
26	2026-09-24T15:28:19.1019742+02:00	2026-09-24T15:28:19.1094820+02:00	17	25	3	25	False	1	0	5	201	0	1	1	0x7FFAB099EDB0	True	0	0	0	0	
27	2026-09-24T15:28:19.1174913+02:00	2026-09-24T15:28:19.1260022+02:00	17	26	3	25	False	1	0	24	222	0	1	1	0x7FFAB099EDB0	True	0	0	0	0	
28	2026-09-24T15:28:19.1350199+02:00	2026-09-24T15:28:19.1420372+02:00	17	27	3	25	False	1	0	6	193	0	1	1	0x7FFAB099EDB0	True	0	0	0	0	
29	2026-09-24T15:28:19.1500554+02:00	2026-09-24T15:28:19.1593698+02:00	17	28	3	25	False	1	0	1	185	0	1	1	0x7FFAB099EDB0	True	0	0	0	0	
30	2026-09-24T15:28:19.1663756+02:00	2026-09-24T15:28:19.1743848+02:00	17	29	3	25	False	1	0	1	184	0	1	1	0x7FFAB099EDB0	True	0	0	0	0	
31	2026-09-24T15:28:19.1828999+02:00	2026-09-24T15:28:19.1899119+02:00	17	30	3	25	False	1	0	18	155	0	1	1	0x7FFAB099EDB0	True	0	0	0	0	
32	2026-09-24T15:28:19.1979257+02:00	2026-09-24T15:28:19.2044327+02:00	17	31	3	25	False	1	0	19	136	0	1	1	0x7FFAB099EDB0	True	0	0	0	0	
33	2026-09-24T15:28:19.2119441+02:00	2026-09-24T15:28:19.2174521+02:00	17	32	3	25	False	1	0	1	173	0	1	1	0x7FFAB099EDB0	True	0	0	0	0	
34	2026-09-24T15:28:19.2274476+02:00	2026-09-24T15:28:19.2360868+02:00	17	33	3	25	False	1	0	7	78	0	1	1	0x7FFAB099EDB0	True	0	0	0	0	
35	2026-09-24T15:28:19.2451713+02:00	2026-09-24T15:28:19.2538388+02:00	17	34	3	25	False	1	0	8	70	0	1	1	0x7FFAB099EDB0	True	0	0	0	0	
36	2026-09-24T15:28:19.2618890+02:00	2026-09-24T15:28:19.2699057+02:00	17	35	3	25	False	1	0	6	85	0	1	1	0x7FFAB099EDB0	True	0	0	0	0	
37	2026-09-24T15:28:19.2774251+02:00	2026-09-24T15:28:19.2863691+02:00	17	36	3	144	False	1	0	1	76332	0	1	1	0x7FFAB099EDB0	True	25	0	0	25	
38	2026-09-24T15:28:19.2943801+02:00	2026-09-24T15:28:19.3019519+02:00	17	37	3	144	False	1	0	1	76286	0	1	1	0x7FFAB099EDB0	True	25	0	0	25	
39	2026-09-24T15:28:19.3099742+02:00	2026-09-24T15:28:19.3175831+02:00	17	38	3	112	False	1	0	1	83654	0	1	1	0x7FFAB099EDB0	True	25	0	0	25	
40	2026-09-24T15:28:19.3255887+02:00	2026-09-24T15:28:19.3348178+02:00	17	39	3	88	False	1	0	1	70379	0	1	1	0x7FFAB099EDB0	True	50	0	0	50	
41	2026-09-24T15:28:19.3424831+02:00	2026-09-24T15:28:19.3519782+02:00	17	40	3	65	False	1	0	1	69311	0	1	1	0x7FFAB099EDB0	True	36	0	0	36	
42	2026-09-24T15:28:19.3636224+02:00	2026-09-24T15:28:19.3751541+02:00	17	41	3	50	False	1	0	1	75774	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
43	2026-09-24T15:28:19.3836745+02:00	2026-09-24T15:28:19.3972979+02:00	17	42	3	50	False	1	0	1	75743	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
44	2026-09-24T15:28:19.4043019+02:00	2026-09-24T15:28:19.4113277+02:00	17	43	3	84	False	1	0	1	70869	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
45	2026-09-24T15:28:19.4197960+02:00	2026-09-24T15:28:19.4288110+02:00	17	44	3	83	False	1	0	1	68234	0	1	1	0x7FFAB099EDB0	True	16	0	0	16	
