# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Crater Lake.map
# mapFileSha256=c5d9906aa37ed96ec1cf9b3eb0c7f6fb5b3e1d8063167fe22337e69c153bb887
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=2
# keepX=248
# keepY=274
# nativeOrientation=6
# scale=7
# isFree=False
# selectionPlacementState=2
# selectionAccepted=True
# selectionFinalOrientation=6
# finalCandidateId=0
# selectedCandidateId=0
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\nizar5.aivjson
# aivJsonSha256=75ec63581c8d2d6a4dcf2a67c44690af4080f597d3356b84503ec68944bb3ca7
# preNativeFailureFlag=0
# preNativeFailureReasonRaw=22
# preNativeStartCleanupFlag=1
# preNativeDestroyedRecordMarker=1
# postNativeFailureFlag=0
# postNativeFailureReasonRaw=22
# postNativeStartCleanupFlag=0
# postNativeDestroyedRecordMarker=1
# postNativeFailureReason=<not-applicable>
# sampledTiles=320800
# fullMapTileLayersComplete=True
# beforeScanMilliseconds=8.830
# afterScanMilliseconds=9.996
# changedLayerCells=327
# newBuildingCells=117
# replacedBuildingCells=0
# clearedBuildingCells=0
# sampledRegionComplete=True
x	y	tileId	layer	before	after
255	269	72755	logic2	8	2
255	270	73296	logic2	8	2
256	270	73297	logic2	8	2
255	271	73839	logic2	8	2
256	271	73840	logic2	8	2
257	271	73841	logic2	8	2
255	272	74384	logic2	8	2
256	272	74385	logic2	8	2
257	272	74386	logic2	8	2
258	272	74387	logic2	8	2
254	273	74930	logic2	8	2
255	273	74931	logic2	8	2
256	273	74932	logic2	8	2
257	273	74933	logic2	8	2
258	273	74934	logic2	8	2
259	273	74935	logic2	8	2
240	274	75465	buildingId	0	16
241	274	75466	buildingId	0	16
242	274	75467	buildingId	0	16
243	274	75468	buildingId	0	16
244	274	75469	buildingId	0	16
245	274	75470	buildingId	0	16
246	274	75471	buildingId	0	16
248	274	75473	logic	32768	268468224
248	274	75473	buildingId	0	12
249	274	75474	logic	32768	268468224
249	274	75474	buildingId	0	12
250	274	75475	logic	32768	268468224
250	274	75475	buildingId	0	12
251	274	75476	logic	32768	268468224
251	274	75476	buildingId	0	12
252	274	75477	logic	32768	268468224
252	274	75477	buildingId	0	12
253	274	75478	logic	32768	268468224
253	274	75478	buildingId	0	12
254	274	75479	logic	32768	268468224
254	274	75479	buildingId	0	12
255	274	75480	logic2	8	2
256	274	75481	logic2	8	2
257	274	75482	logic2	8	2
258	274	75483	logic2	8	2
259	274	75484	logic2	8	2
260	274	75485	logic2	8	2
240	275	76016	buildingId	0	16
241	275	76017	buildingId	0	16
242	275	76018	buildingId	0	16
243	275	76019	buildingId	0	16
