# formatVersion	captureKey	name=value fields (UTF-8, CRLF)
2	MAPPER_APPLEFARM|Generic|Default	buildingHeight=0	column=182	columnOffset=0	constructionOrigImage=tile_sea8 1809	gameMapX=476	gameMapY=411	height=0.25	index=0	positionOffsetX=0	positionOffsetY=0	positionX=32.5	positionY=128.25	positionZ=0	relativeTileX=0	relativeTileY=0	row=388	rowOffset=0	tileColor=1,1,1,1	tileImage=tile_farmland 062	tileTexture=AllTileSprites	tileTransform=1,0,0,0,0,1,0,0.25,0,0,1,0,0,0,0,1	tileX=288	tileY=223	tilemapMaterial=Universal Render Pipeline/2D/Sprite-Unlit-Default	tilemapShader=Universal Render Pipeline/2D/Sprite-Unlit-Default	tilemapSortingLayerId=0	tilemapSortingOrder=-988
2	MAPPER_ARMOURER|Generic|Default	buildingHeight=0	column=185	columnOffset=2	constructionOrigImage=tile_sea8 1837	gameMapX=479	gameMapY=409	height=0.25	index=0	positionOffsetX=0	positionOffsetY=-0.25	positionX=35	positionY=128	positionZ=0	relativeTileX=0	relativeTileY=0	row=389	rowOffset=4	tileColor=1,1,1,1	tileImage=tile_workshops 1573	tileTexture=AllTileSprites	tileTransform=1,0,0,0,0,1,0,0.25,0,0,1,0,0,0,0,1	tileX=290	tileY=220	tilemapMaterial=Universal Render Pipeline/2D/Sprite-Unlit-Default	tilemapShader=Universal Render Pipeline/2D/Sprite-Unlit-Default	tilemapSortingLayerId=0	tilemapSortingOrder=-939
2	MAPPER_ARMOURER|Generic|Default	buildingHeight=0	column=185	columnOffset=2	constructionOrigImage=tile_sea8 1853	gameMapX=480	gameMapY=410	height=0.25	index=1	positionOffsetX=0	positionOffsetY=-0.75	positionX=35	positionY=127.5	positionZ=0	relativeTileX=-1	relativeTileY=-1	row=391	rowOffset=6	tileColor=1,1,1,1	tileImage=tile_workshops 1569	tileTexture=AllTileSprites	tileTransform=1,0,0,0,0,1,0,0.25,0,0,1,0,0,0,0,1	tileX=289	tileY=219	tilemapMaterial=Universal Render Pipeline/2D/Sprite-Unlit-Default	tilemapShader=Universal Render Pipeline/2D/Sprite-Unlit-Default	tilemapSortingLayerId=0	tilemapSortingOrder=-841
2	MAPPER_ARMOURER|Generic|Default	buildingHeight=0	column=185	columnOffset=2	constructionOrigImage=tile_sea8 1861	gameMapX=480	gameMapY=409	height=0.25	index=2	positionOffsetX=0.5	positionOffsetY=-0.5	positionX=35.5	positionY=127.75	positionZ=0	relativeTileX=0	relativeTileY=-1	row=390	rowOffset=5	tileColor=1,1,1,1	tileImage=tile_workshops 1571	tileTexture=AllTileSprites	tileTransform=1,0,0,0,0,1,0,0.25,0,0,1,0,0,0,0,1	tileX=290	tileY=219	tilemapMaterial=Universal Render Pipeline/2D/Sprite-Unlit-Default	tilemapShader=Universal Render Pipeline/2D/Sprite-Unlit-Default	tilemapSortingLayerId=0	tilemapSortingOrder=-890
2	MAPPER_ARMOURER|Generic|Default	buildingHeight=0	column=186	columnOffset=3	constructionOrigImage=tile_sea8 1837	gameMapX=480	gameMapY=408	height=0.25	index=3	positionOffsetX=1	positionOffsetY=-0.25	positionX=36	positionY=128	positionZ=0	relativeTileX=1	relativeTileY=-1	row=389	rowOffset=4	tileColor=1,1,1,1	tileImage=tile_workshops 1574	tileTexture=AllTileSprites	tileTransform=1,0,0,0,0,1,0,0.25,0,0,1,0,0,0,0,1	tileX=291	tileY=219	tilemapMaterial=Universal Render Pipeline/2D/Sprite-Unlit-Default	tilemapShader=Universal Render Pipeline/2D/Sprite-Unlit-Default	tilemapSortingLayerId=0	tilemapSortingOrder=-939
2	MAPPER_ARMOURER|Generic|Default	buildingHeight=0	column=184	columnOffset=1	constructionOrigImage=tile_sea8 1829	gameMapX=479	gameMapY=410	height=0.25	index=4	positionOffsetX=-0.5	positionOffsetY=-0.5	positionX=34.5	positionY=127.75	positionZ=0	relativeTileX=-1	relativeTileY=0	row=390	rowOffset=5	tileColor=1,1,1,1	tileImage=tile_workshops 1570	tileTexture=AllTileSprites	tileTransform=1,0,0,0,0,1,0,0.25,0,0,1,0,0,0,0,1	tileX=289	tileY=220	tilemapMaterial=Universal Render Pipeline/2D/Sprite-Unlit-Default	tilemapShader=Universal Render Pipeline/2D/Sprite-Unlit-Default	tilemapSortingLayerId=0	tilemapSortingOrder=-890
2	MAPPER_ARMOURER|Generic|Default	buildingHeight=0	column=185	columnOffset=2	constructionOrigImage=tile_sea8 1817	gameMapX=479	gameMapY=408	height=0.25	index=5	positionOffsetX=0.5	positionOffsetY=0	positionX=35.5	positionY=128.25	positionZ=0	relativeTileX=1	relativeTileY=0	row=388	rowOffset=3	tileColor=1,1,1,1	tileImage=tile_workshops 1577	tileTexture=AllTileSprites	tileTransform=1,0,0,0,0,1,0,0.25,0,0,1,0,0,0,0,1	tileX=291	tileY=220	tilemapMaterial=Universal Render Pipeline/2D/Sprite-Unlit-Default	tilemapShader=Universal Render Pipeline/2D/Sprite-Unlit-Default	tilemapSortingLayerId=0	tilemapSortingOrder=-988
2	MAPPER_ARMOURER|Generic|Default	buildingHeight=0	column=184	columnOffset=1	constructionOrigImage=tile_sea8 1805	gameMapX=478	gameMapY=410	height=0.25	index=6	positionOffsetX=-1	positionOffsetY=-0.25	positionX=34	positionY=128	positionZ=0	relativeTileX=-1	relativeTileY=1	row=389	rowOffset=4	tileColor=1,1,1,1	tileImage=tile_workshops 1572	tileTexture=AllTileSprites	tileTransform=1,0,0,0,0,1,0,0.25,0,0,1,0,0,0,0,1	tileX=289	tileY=221	tilemapMaterial=Universal Render Pipeline/2D/Sprite-Unlit-Default	tilemapShader=Universal Render Pipeline/2D/Sprite-Unlit-Default	tilemapSortingLayerId=0	tilemapSortingOrder=-939
2	MAPPER_ARMOURER|Generic|Default	buildingHeight=0	column=184	columnOffset=1	constructionOrigImage=tile_sea8 1841	gameMapX=478	gameMapY=409	height=0.25	index=7	positionOffsetX=-0.5	positionOffsetY=0	positionX=34.5	positionY=128.25	positionZ=0	relativeTileX=0	relativeTileY=1	row=388	rowOffset=3	tileColor=1,1,1,1	tileImage=tile_workshops 1576	tileTexture=AllTileSprites	tileTransform=1,0,0,0,0,1,0,0.25,0,0,1,0,0,0,0,1	tileX=290	tileY=221	tilemapMaterial=Universal Render Pipeline/2D/Sprite-Unlit-Default	tilemapShader=Universal Render Pipeline/2D/Sprite-Unlit-Default	tilemapSortingLayerId=0	tilemapSortingOrder=-988
2	MAPPER_ARMOURER|Generic|Default	buildingHeight=0	column=185	columnOffset=2	constructionOrigImage=tile_sea8 1817	gameMapX=478	gameMapY=408	height=0.25	index=8	positionOffsetX=0	positionOffsetY=0.25	positionX=35	positionY=128.5	positionZ=0	relativeTileX=1	relativeTileY=1	row=387	rowOffset=2	tileColor=1,1,1,1	tileImage=tile_workshops 1580	tileTexture=AllTileSprites	tileTransform=1,0,0,0,0,1,0,0.25,0,0,1,0,0,0,0,1	tileX=291	tileY=221	tilemapMaterial=Universal Render Pipeline/2D/Sprite-Unlit-Default	tilemapShader=Universal Render Pipeline/2D/Sprite-Unlit-Default	tilemapSortingLayerId=0	tilemapSortingOrder=-1037
