# formatVersion	mapperValue	mapperName	skin	view	pngFile	pivotX	pivotY	ppu	alphaX	alphaY	alphaWidth	alphaHeight	fragmentSignature
2	72	MAPPER_APPLEFARM	Generic	Default	MAPPER_APPLEFARM_Generic_Default.png	0.5	0.142857149	64	0	0	576	442	A18B032FE9855314
2	84	MAPPER_ARMOURER	Generic	Default	MAPPER_ARMOURER_Generic_Default.png	0.5	0.2674897	64	0	0	256	242	E4B7E675623DA0B1
2	81	MAPPER_ARMOURY	Generic	Default	MAPPER_ARMOURY_Generic_Default.png	0.5	0.2124183	64	0	0	256	304	17B79FD2D46AE67A
2	75	MAPPER_BAKER	Generic	Default	MAPPER_BAKER_Generic_Default.png	0.5	0.246212125	64	0	0	256	264	D2AD74D7C3FCAE14
2	87	MAPPER_BARRACKS_STONE	Generic	ReservationDefault	MAPPER_BARRACKS_STONE_Generic_ReservationDefault.png	0.5	0.3340249	64	0	0	640	481	8413E6E7E21DB9D9
2	86	MAPPER_BARRACKS_WOOD	Generic	ReservationDefault	MAPPER_BARRACKS_WOOD_Generic_ReservationDefault.png	0.5	0.4386921	64	0	0	640	366	59DCA105367AEC5E
2	79	MAPPER_BEDOUIN_STOCKADE	Generic	ReservationDefault	MAPPER_BEDOUIN_STOCKADE_Generic_ReservationDefault.png	0.5	0.35307017	64	0	0	640	455	EF47F80345A4FBC1
2	83	MAPPER_BLACKSMITH	Generic	Default	MAPPER_BLACKSMITH_Generic_Default.png	0.5	0.24714829	64	0	0	256	263	A292B7FC4079941C
2	76	MAPPER_BREWER	Generic	Default	MAPPER_BREWER_Generic_Default.png	0.5	0.240740746	64	0	0	256	270	1B5D1198AA8F4211
2	305	MAPPER_BURNING_STAKE	Generic	Default	MAPPER_BURNING_STAKE_Generic_Default.png	0.5	0.199187	64	0	0	192	245	785A0D407540E30E
2	73	MAPPER_CATTLEFARM	Generic	Default	MAPPER_CATTLEFARM_Generic_Default.png	0.5	0.355429679	64	0	0	640	421	4EE668F266FBA7D9
2	301	MAPPER_CESS_PIT1	Generic	Default	MAPPER_CESS_PIT1_Generic_Default.png	0.5	0.4909091	64	0	0	320	164	36BD4D260912F70F
2	310	MAPPER_CHOPPING_BLOCK	Generic	Default	MAPPER_CHOPPING_BLOCK_Generic_Default.png	0.5	0.3245033	64	0	0	192	150	215CBD191865C4BD
2	95	MAPPER_CHURCH1	European	Default	MAPPER_CHURCH1_European_Default.png	0.5	0.227699533	64	0	0	384	425	E2C50934DFA01D51
2	95	MAPPER_CHURCH1	Islamic	Default	MAPPER_CHURCH1_Islamic_Default.png	0.5	0.224018469	64	0	0	384	432	D98890596D85BBEE
2	96	MAPPER_CHURCH2	European	Default	MAPPER_CHURCH2_European_Default.png	0.5	0.3008299	64	0	0	576	481	B9E5422267ECA44F
2	96	MAPPER_CHURCH2	Islamic	Default	MAPPER_CHURCH2_Islamic_Default.png	0.5	0.240464345	64	0	0	576	602	6B2A6FD2BB374303
2	97	MAPPER_CHURCH3	European	Default	MAPPER_CHURCH3_European_Default.png	0.5	0.26522842	64	0	0	832	787	387133F658AAD18B
2	97	MAPPER_CHURCH3	Islamic	Default	MAPPER_CHURCH3_Islamic_Default.png	0.5	0.19262673	64	0	0	832	1084	F80A1C11301B8688
2	26	MAPPER_CRENAL	Generic	PlacedDefault	MAPPER_CRENAL_Generic_PlacedDefault.png	0.507692337	0.5296167	64	0	0	64	262	A07C6055F26141BF
2	35	MAPPER_CRENAL2	Generic	PlacedDefault	MAPPER_CRENAL2_Generic_PlacedDefault.png	0.507692337	0.634146333	64	0	0	64	197	EC8D869A5F0363CF
2	324	MAPPER_DANCING_BEAR	Generic	Default	MAPPER_DANCING_BEAR_Generic_Default.png	0.5	0.417525768	64	0	0	320	193	02AB2D9ED91CB68E
2	312	MAPPER_DOG_CAGE	Generic	Default	MAPPER_DOG_CAGE_Generic_Default.png	0.5	0.3310811	64	0	0	192	147	DA5899625A170CDD
2	105	MAPPER_DRAWBRIDGE	Generic	DrawbridgeFront	MAPPER_DRAWBRIDGE_Generic_DrawbridgeFront.png	0.5	0.231428578	64	0	0	320	349	89577F20B1DB81F4
2	105	MAPPER_DRAWBRIDGE	Generic	DrawbridgeRear	MAPPER_DRAWBRIDGE_Generic_DrawbridgeRear.png	0.5	0.231428578	64	0	0	320	254	B7E059EF7495F76A
2	307	MAPPER_DUNGEON	Generic	Default	MAPPER_DUNGEON_Generic_Default.png	0.5	0.376744181	64	0	0	320	214	27949B8C84501C45
2	311	MAPPER_DUNKING_STOOL	Generic	Default	MAPPER_DUNKING_STOOL_Generic_Default.png	0.5	0.3632287	64	0	0	320	222	BF238BDB7C3B1730
2	88	MAPPER_ENGINEERS_GUILD	Generic	ReservationFront	MAPPER_ENGINEERS_GUILD_Generic_ReservationFront.png	0.5	0.334254146	64	0	0	480	361	A37DB241B37AC1F0
2	88	MAPPER_ENGINEERS_GUILD	Generic	ReservationRear	MAPPER_ENGINEERS_GUILD_Generic_ReservationRear.png	0.5	0.429078	64	0	1	480	280	95FE1E40D64A1118
2	50	MAPPER_FLETCHER	Generic	Default	MAPPER_FLETCHER_Generic_Default.png	0.5	0.2742616	64	0	0	256	236	5AB40B072B3D6C4E
2	176	MAPPER_GALLOWS	Generic	Default	MAPPER_GALLOWS_Generic_Default.png	0.5	0.12313433	64	0	0	128	267	966A12CD97CDBE32
2	160	MAPPER_GARDEN1	Generic	Default	MAPPER_GARDEN1_Generic_Default.png	0.5	0.333333343	64	0	0	128	98	3271134B9D324429
2	169	MAPPER_GARDEN10	Generic	Default	MAPPER_GARDEN10_Generic_Default.png	0.5	0.3939394	64	0	0	256	164	7B3F6557BE9A2725
2	166	MAPPER_GARDEN7	Generic	Default	MAPPER_GARDEN7_Generic_Default.png	0.5	0.345070422	64	0	0	192	141	4A2463C85CF11956
2	144	MAPPER_GATE_STONE1A	Generic	Default	MAPPER_GATE_STONE1A_Generic_Default.png	0.5	0.1985294	64	0	0	320	407	FC306B6FAD1CD9A5
