rva	name	returnType	parameterTypes	parameterNames	signature
0x85E90	DLL_PreInitMap_Editor	Void	Int32|Int32|Boolean|Boolean|Byte*	mapSize|mapType|siegeThat|multiplayerMap|retData	Void DLL_PreInitMap_Editor(Int32, Int32, Boolean, Boolean, Byte*)
0x85DD0	DLL_PreInitMap_Campaign	Void	Int32	difficulty	Void DLL_PreInitMap_Campaign(Int32)
0x85E00	DLL_PreInitMap_EcoCampaign	Void			Void DLL_PreInitMap_EcoCampaign()
0x817D0	DLL_EcoCampaign_ChangeDifficulty	Void	Int32	difficulty	Void DLL_EcoCampaign_ChangeDifficulty(Int32)
0x817F0	DLL_EcoCampaign_ChangeDifficulty_briefing	Int32	Int32|Int32*	difficulty|retData	Int32 DLL_EcoCampaign_ChangeDifficulty_briefing(Int32, Int32*)
0x863E0	DLL_PreInitMap_SiegeThat	Void	Int32|Int32|Int32|Int32|Int32|Int32|Int32|Int32|Int32|Int32|Int32|Int32|Int32|Boolean	difficulty|playerID|troop0|troop1|troop2|troop3|troop4|troop5|troop6|troop7|troop8|troop9|troop10|advancedMode	Void DLL_PreInitMap_SiegeThat(Int32, Int32, Int32, Int32, Int32, Int32, Int32, Int32, Int32, Int32, Int32, Int32, Int32, Boolean)
0x86080	DLL_PreInitMap_Invasion	Void	Int32|Int32|Byte*	difficulty|restartInfoLength|restartInfo	Void DLL_PreInitMap_Invasion(Int32, Int32, Byte*)
0x85E50	DLL_PreInitMap_EcoMap	Void	Int32	difficulty	Void DLL_PreInitMap_EcoMap(Int32)
0x86120	DLL_PreInitMap_JustBuild	Void	Boolean|Int32|Int32|Int32|Int32|Int32|Int32|Int32|Int32|Int32|Int32|Boolean|Boolean|Boolean|Boolean|Byte*	advancedFreebuild|freebuild_GoldLevel|freebuild_FoodLevel|freebuild_ResourcesLevel|freebuild_WeaponsLevel|freebuild_RandomEvents|freebuild_Invasions|freebuild_InvasionDifficulty|freebuild_Peacetime|freebuild_Opponents|restartInfoLength|removeHostileAnimals|freebuild_Extreme_Troops|freebuild_Extreme_Powers|freebuild_Defeat_On_Death|restartInfo	Void DLL_PreInitMap_JustBuild(Boolean, Int32, Int32, Int32, Int32, Int32, Int32, Int32, Int32, Int32, Int32, Boolean, Boolean, Boolean, Boolean, Byte*)
0x86270	DLL_PreInitMap_Multiplayer	Void	Byte*|Boolean|Int32|Byte*|Int32|Int32|Boolean|Boolean|Boolean	retData|skirmishGame|restartInfoLength|restartInfo|coopTrailID|coopMissionID|trailMakerTestMode|customTrail|customisedExtremeTrail	Void DLL_PreInitMap_Multiplayer(Byte*, Boolean, Int32, Byte*, Int32, Int32, Boolean, Boolean, Boolean)
