HOOK CONTRACTS: 22 signatures checked against installed-build managed metadata
CHECK APIShared\APIShared.csproj: 22 sources, 0 errors
CHECK ExtremePowers\ExtremePowers.API.csproj: 20 sources, 0 errors
CHECK BugfixesAndQoL\BugfixesAndQoL.csproj: 201 sources, 0 errors
CHECK BuildingCosts\BuildingCosts.csproj: 15 sources, 0 errors
CHECK BuildingLimit\BuildingLimit.csproj: 20 sources, 0 errors
CHECK CastlePlanner\CastlePlanner.csproj: 43 sources, 0 errors
CHECK CheatMod\CheatMod.csproj: 12 sources, 0 errors
CHECK ExtendedData\ExtendedData.csproj: 34 sources, 0 errors
CHECK ExtraFeatures\ExtraFeatures.csproj: 58 sources, 0 errors
CHECK ExtremePowers\ExtremePowers.csproj: 17 sources, 0 errors
CHECK ImprovedHunters\ImprovedHunters.csproj: 41 sources, 0 errors
CHECK RandomEvents\RandomEvents.csproj: 35 sources, 0 errors
CHECK SerpsModsHost\SerpsModsHost.csproj: 23 sources, 0 errors
CHECK StartConditions\StartConditions.csproj: 22 sources, 0 errors
CHECK UnitCosts\UnitCosts.csproj: 24 sources, 0 errors
CHECK UnitLimit\UnitLimit.csproj: 30 sources, 0 errors
CHECK Helpers\ActiveAIVDetector\ActiveAIVDetector.csproj: 8 sources, 0 errors
CHECK Testmods\AIAttackTest\AIAttackTest.csproj: 10 sources, 0 errors
CHECK Testmods\AIDefenseTest\AIDefenseTest.csproj: 4 sources, 0 errors
CHECK Testmods\EnemyGatePathfindingTest\EnemyGatePathfindingTest.csproj: 14 sources, 0 errors
CHECK Testmods\MoatMove\MoatMove.csproj: 40 sources, 0 errors
CHECK Testmods\OxTetherIdleFixTest\OxTetherIdleFixTest.csproj: 5 sources, 0 errors
CHECK Testmods\PreplacedTest\PreplacedTest.csproj: 7 sources, 0 errors
CHECK Testmods\SkinTest\SkinTest.csproj: 9 sources, 0 errors
CHECK Testmods\StockpileAccessFixTest\StockpileAccessFixTest.csproj: 7 sources, 0 errors
CHECK Testmods\VirtualUnitsPrototype\VirtualUnitsPrototype.csproj: 13 sources, 0 errors
CHECK _inspect\APISharedTests\APISharedTests.csproj: 2 sources, 0 errors
