"Mod","Assembly","SHA256","Matches"
"APIShared","APIShared.dll","16345A6DD134FD89676EC23093FD1CDC0BB0A0CC832D2C90257294AAFBAC8567","True"
"ActiveAIVDetector","ActiveAIVDetector.dll","9B7C35FDE3430871AFB1CF862B7A6D9BB66223649E19F389E5B933CC3F43F142","True"
"AIAttackTest","AIAttackTest.dll","ED42CA3627B4216A4372818CEAA18CA1CED76A7A1C89D9D3E622BBA98A87B248","True"
"BugfixesAndQoL","BugfixesAndQoL.dll","19FE97700E18129142FC33A5EA23DD829A3009DC390D98C27AAB0B4362290D47","True"
"BuildingCosts","BuildingCosts.dll","DDB24B26A16A936CE2D96BF42F866B0341C2B6AC32C4F9364F42C6856CCD0F6C","True"
"BuildingLimit","BuildingLimit.dll","9275BBFFD28ADB1287879D3A16B59857EFA8F340113372EE89C1E7EB8AC06D36","True"
"CastlePlanner","CastlePlanner.dll","B6204E92E114D2016C11C44B4925A09E5966A2C828F11D455DFB44FB45219FB8","True"
"CheatMod","CheatMod.dll","2552F04BE0B5680C4D27E2F60BC801BA31A95FE58072E81949452F6BB885B792","True"
"ExtendedData","ExtendedData.dll","6CB595A473F3EB8C65B2338DF1A2D17B54BFBC68313FF2345583283CDA7FA7B0","True"
"ExtraFeatures","ExtraFeatures.dll","4E0F08A2B133FA7D23B9D0543557858E9024C9C03C471FABBCB60E28327C4A05","True"
"ExtremePowers","ExtremePowers.dll","20C7DD7E3BCF21B527DB01CBC5D1BD25A104DBA83184F9EFD588B80E52763E91","True"
"ImprovedHunters","ImprovedHunters.dll","10690DD78A75DF3A5A1505D4B98A2D2A530A90AE175C3C60F2C6781A342A7DB3","True"
"RandomEvents","RandomEvents.dll","226C8D3019210892E3D1FA23C1702076AECF348E882BB3A0981121ECB86E446A","True"
"SerpsModsHost","SerpsModsHost.dll","2DA4DAE35AD9FFB9118BD4C3A97DA8537D3C0F80D560253166D675D22C0AA208","True"
"StartConditions","StartConditions.dll","3E6EF125A705AFCE2A9BC118D69F5D2B609EFC5DF72DF105CEECCE57E7B1FCE8","True"
"UnitCosts","UnitCosts.dll","34578FBB60340ECC5E349857DEBAC48A63FC80AFA5CC91CD0BEAB74059EA4497","True"
"UnitLimit","UnitLimit.dll","C00D82C1D21B9C8068B9989870C1FD0BFCB0CE763CFA58AC0E5B5E46B1986CF7","True"
